keyword,guid,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
21vianet,c5776d087c5e02a8d58186a334042e59,21Vianet Group,Consulates,21Vianet Group,,keyword_to_guid_teamblind,489faca7a30e1256f81d38c8860c89ca,keyword_to_guid_teamblind__489faca7a30e1256f81d38c8860c89ca
abbott,d625cbb483cc5cfc4cc85c88d86f34d3,Abbott Laboratories,space,Abbott Laboratories,,keyword_to_guid_teamblind,85f68b724587f17d75725f58db29012c,keyword_to_guid_teamblind__85f68b724587f17d75725f58db29012c
abc,6eef59b51c9224808c07de857d2af840,Disney,ForeignMinistry,Disney,,keyword_to_guid_teamblind,a77450f87def43cbe79f3f494d0c332a,keyword_to_guid_teamblind__a77450f87def43cbe79f3f494d0c332a
acadia healthcare,58f7727140d4d66b81ea3a7b413bec4e,Acadia Healthcare,Consulates,Acadia Healthcare,,keyword_to_guid_teamblind,88b3677f376e9ddc4b3e2785325f08da,keyword_to_guid_teamblind__88b3677f376e9ddc4b3e2785325f08da
acer,c986de33a22102c7d7b4b8148fcf485a,Acer,Pipeline,Acer,,keyword_to_guid_teamblind,1fafb49d0510b71e777743a9b4e9b2b6,keyword_to_guid_teamblind__1fafb49d0510b71e777743a9b4e9b2b6
activision,5f1a65971ad63c9cf9be9b25b89b5e28,Activision Blizzard,Refinery,Activision Blizzard,,keyword_to_guid_teamblind,c87cb90e721691623d804d736e398318,keyword_to_guid_teamblind__c87cb90e721691623d804d736e398318
adobe,aea069334333a347c1433a9a8c0ff7c2,Adobe,CompanyKeyword,Adobe,,keyword_to_guid_teamblind,71f698950c9cdadc3d19bb7411177a78,keyword_to_guid_teamblind__71f698950c9cdadc3d19bb7411177a78
adtalem,a03153bd0b88c5aa0c4015b844de032e,Adtalem Global Education,DiplomaticFacilities,Adtalem Global Education,,keyword_to_guid_teamblind,f0aa9ad0650e70b44c61877da70b6e7f,keyword_to_guid_teamblind__f0aa9ad0650e70b44c61877da70b6e7f
aetna,ade4c68cba85e3beb73a3413c0888b7d,Aetna,Media,Aetna,,keyword_to_guid_teamblind,a090692640b320d9fb346567fe22cc0d,keyword_to_guid_teamblind__a090692640b320d9fb346567fe22cc0d
air canada,e2437347300ecc96b6855502ea951918,Air Canada,Keyphrase,Air Canada,,keyword_to_guid_teamblind,76a25b8511a5f39c1bdc761f65636e4b,keyword_to_guid_teamblind__76a25b8511a5f39c1bdc761f65636e4b
airbnb,549f9e87cdd69547c3f20392345a00b5,Airbnb,Shipping,Airbnb,,keyword_to_guid_teamblind,09e31a5bddc6d6628252a7bff57d5dce,keyword_to_guid_teamblind__09e31a5bddc6d6628252a7bff57d5dce
airbus,252db0d6399cb907417e6bc9b56042d5,Airbus,Keyphrase,Airbus,,keyword_to_guid_teamblind,b110aa10dc3e3aa939ba099440938e65,keyword_to_guid_teamblind__b110aa10dc3e3aa939ba099440938e65
airtel,aeb746a44282235dfa29024bbcf75a60,Bharti Airtel,CompanyKeyword,Bharti Airtel,,keyword_to_guid_teamblind,9ccee7b820781b3a4f42f987a5efc8ab,keyword_to_guid_teamblind__9ccee7b820781b3a4f42f987a5efc8ab
akamai,0c41a8ffd017cc702c77c4879fb77472,Akamai Technologies,LegislativeCommittee,Akamai Technologies,,keyword_to_guid_teamblind,4c5e72151f56d0375ad65a59a7c87e04,keyword_to_guid_teamblind__4c5e72151f56d0375ad65a59a7c87e04
albertsons,949eebc349bda3ce68cb04fe43baa843,Albertsons,CompanyKeyword,Albertsons,,keyword_to_guid_teamblind,767e924278099a2e4f3d05c5c2bf766a,keyword_to_guid_teamblind__767e924278099a2e4f3d05c5c2bf766a
alexion,0561c22457ce25c15c5251b4100d79e7,Alexion Pharmaceuticals,News,Alexion Pharmaceuticals,,keyword_to_guid_teamblind,d704a832f6a812950e2e502282ae05a3,keyword_to_guid_teamblind__d704a832f6a812950e2e502282ae05a3
alibaba,9bd32051d5285fda29726490330c9852,Alibaba,space,Alibaba,,keyword_to_guid_teamblind,02c758bf69c8e228d37ca626297e21fd,keyword_to_guid_teamblind__02c758bf69c8e228d37ca626297e21fd
ally financial inc,dd4bc800f9a4c4d6659f7f7818d8c45d,Ally Financial,IndustryTerm,Ally Financial,,keyword_to_guid_teamblind,fc7809369342e4f094cba19dcc955b79,keyword_to_guid_teamblind__fc7809369342e4f094cba19dcc955b79
alphabet,69bb2b0e88234d04213412ad72e44ee5,Alphabet,Diplomat,Alphabet,,keyword_to_guid_teamblind,49c3fc5da1c39b28dd9e2956e7aec9a9,keyword_to_guid_teamblind__49c3fc5da1c39b28dd9e2956e7aec9a9
altice,345ba5437ab85711e48326c42d053248,Altice USA,Pipeline,Altice USA,,keyword_to_guid_teamblind,f5491c3a0ea401b907f473d115cc7849,keyword_to_guid_teamblind__f5491c3a0ea401b907f473d115cc7849
amazon,32ec5fc746a720416749e18927068772,Amazon,Shipping,Amazon,,keyword_to_guid_teamblind,b3b3a6ac74ecbd56bcdbefa4799fb9df,keyword_to_guid_teamblind__b3b3a6ac74ecbd56bcdbefa4799fb9df
amd,0a35837255a92fa6950dd8c35bf2eede,Advanced Micro Devices,Exec,Advanced Micro Devices,,keyword_to_guid_teamblind,18ac368cbb6ed677f8c934350d8acf7b,keyword_to_guid_teamblind__18ac368cbb6ed677f8c934350d8acf7b
america movil,e555c613094c368b3d64e99253edd1d9,America Movil,Diplomat,America Movil,,keyword_to_guid_teamblind,df80ae07518fde4cb158926cf2fd6f18,keyword_to_guid_teamblind__df80ae07518fde4cb158926cf2fd6f18
american airlines,4c0cfa29b24e5fb16b526d401bf15d77,American Airlines,space,American Airlines,,keyword_to_guid_teamblind,74c33d8b1535bdee3549ef38dfd12f62,keyword_to_guid_teamblind__74c33d8b1535bdee3549ef38dfd12f62
