handle,caption_name,location_lower,include_groups,entity_type,Lat,Lon,,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
mcconnellpress,US Senate Minority Leader McConnell,Kentucky,agency;agency leadership;courthouse,legislator,37.8393332,-84.2700179,,,Legislator,US Senate Minority Leader McConnell,,legislator_dgm_usms_mentioner_entities,b7d5f0d30dbafc2b9e4ec31cf39be706,legislator_dgm_usms_mentioner_entities__b7d5f0d30dbafc2b9e4ec31cf39be706
lucyallan,UK MP Allan,Shropshire,agency;agency leadership;courthouse,legislator,52.7063657,-2.7417849,,,Legislator,UK MP Allan,,legislator_dgm_usms_mentioner_entities,00d05b9f50b946e50b1b22085cec7e08,legislator_dgm_usms_mentioner_entities__00d05b9f50b946e50b1b22085cec7e08
repkenmarchant,US Representative Marchant,Texas,agency;agency leadership;courthouse,legislator,31.9685988,-99.9018131,,,Legislator,US Representative Marchant,,legislator_dgm_usms_mentioner_entities,569ce954e707be38273bc3d14caa9387,legislator_dgm_usms_mentioner_entities__569ce954e707be38273bc3d14caa9387
senatemajldr,US Senate Majority Leader McConnell,Kentucky,agency;agency leadership;courthouse,legislator,37.8393332,-84.2700179,,,Legislator,US Senate Majority Leader McConnell,,legislator_dgm_usms_mentioner_entities,a6708ed6170e628c9c26dc8c22eddf6f,legislator_dgm_usms_mentioner_entities__a6708ed6170e628c9c26dc8c22eddf6f
chuckschumer,US Senate Majority Leader Schumer,New York,agency;agency leadership;courthouse,legislator,40.7127753,-74.0059728,,,Legislator,US Senate Majority Leader Schumer,,legislator_dgm_usms_mentioner_entities,1cd26d9706d7884fd4a180c7ee189441,legislator_dgm_usms_mentioner_entities__1cd26d9706d7884fd4a180c7ee189441
senschumer,US Senate Minority Leader Schumer,New York,agency;agency leadership;courthouse,legislator,40.7127753,-74.0059728,,,Legislator,US Senate Minority Leader Schumer,,legislator_dgm_usms_mentioner_entities,865cb25fa3b0cb42418d5d8abba1f809,legislator_dgm_usms_mentioner_entities__865cb25fa3b0cb42418d5d8abba1f809
amyklobuchar,US Senator Klobuchar,Minnesota,agency;agency leadership;courthouse,legislator,46.729553,-94.6858998,,,Legislator,US Senator Klobuchar,,legislator_dgm_usms_mentioner_entities,fdc5a26c198234e0e41cf6ba21896345,legislator_dgm_usms_mentioner_entities__fdc5a26c198234e0e41cf6ba21896345
senamyklobuchar,US Senator Klobuchar,Minnesota,agency;agency leadership;courthouse,legislator,46.729553,-94.6858998,,,Legislator,US Senator Klobuchar,,legislator_dgm_usms_mentioner_entities,fdc5a26c198234e0e41cf6ba21896345,legislator_dgm_usms_mentioner_entities__fdc5a26c198234e0e41cf6ba21896345
angusformaine,US Senator King,Maine,agency;agency leadership;courthouse,legislator,45.253783,-69.4454689,,,Legislator,US Senator King,,legislator_dgm_usms_mentioner_entities,8eb39d08b6f04230c03650e9e6392198,legislator_dgm_usms_mentioner_entities__8eb39d08b6f04230c03650e9e6392198
senangusking,US Senator King,Maine,agency;agency leadership;courthouse,legislator,45.253783,-69.4454689,,,Legislator,US Senator King,,legislator_dgm_usms_mentioner_entities,8eb39d08b6f04230c03650e9e6392198,legislator_dgm_usms_mentioner_entities__8eb39d08b6f04230c03650e9e6392198
bencardinformd,US Senator Cardin,Maryland,agency;agency leadership;courthouse,legislator,39.0457549,-76.6412712,,,Legislator,US Senator Cardin,,legislator_dgm_usms_mentioner_entities,8c2e1f2e3f1c4f6ff3f9960b32dfdfd2,legislator_dgm_usms_mentioner_entities__8c2e1f2e3f1c4f6ff3f9960b32dfdfd2
senatorcardin,US Senator Cardin,Maryland,agency;agency leadership;courthouse,legislator,39.0457549,-76.6412712,,,Legislator,US Senator Cardin,,legislator_dgm_usms_mentioner_entities,8c2e1f2e3f1c4f6ff3f9960b32dfdfd2,legislator_dgm_usms_mentioner_entities__8c2e1f2e3f1c4f6ff3f9960b32dfdfd2
bensasse,US Senator Sasse,Nebraska,agency;agency leadership;courthouse,legislator,41.4925374,-99.9018131,,,Legislator,US Senator Sasse,,legislator_dgm_usms_mentioner_entities,1b8caf449f6ad2b1cad26a9a008174e9,legislator_dgm_usms_mentioner_entities__1b8caf449f6ad2b1cad26a9a008174e9
sensasse,US Senator Sasse,Nebraska,agency;agency leadership;courthouse,legislator,41.4925374,-99.9018131,,,Legislator,US Senator Sasse,,legislator_dgm_usms_mentioner_entities,1b8caf449f6ad2b1cad26a9a008174e9,legislator_dgm_usms_mentioner_entities__1b8caf449f6ad2b1cad26a9a008174e9
berniesanders,US Senator Sanders,Vermont,agency;agency leadership;courthouse,legislator,44.5588028,-72.5778415,,,Legislator,US Senator Sanders,,legislator_dgm_usms_mentioner_entities,05869ce67d1d5683d20096f8a1a21fe6,legislator_dgm_usms_mentioner_entities__05869ce67d1d5683d20096f8a1a21fe6
sensanders,US Senator Sanders,Vermont,agency;agency leadership;courthouse,legislator,44.5588028,-72.5778415,,,Legislator,US Senator Sanders,,legislator_dgm_usms_mentioner_entities,05869ce67d1d5683d20096f8a1a21fe6,legislator_dgm_usms_mentioner_entities__05869ce67d1d5683d20096f8a1a21fe6
billcassidy,US Senator Cassidy,Louisiana,agency;agency leadership;courthouse,legislator,30.9842977,-91.9623327,,,Legislator,US Senator Cassidy,,legislator_dgm_usms_mentioner_entities,0311347a38842985c3d58a04a8b0781b,legislator_dgm_usms_mentioner_entities__0311347a38842985c3d58a04a8b0781b
senbillcassidy,US Senator Cassidy,Louisiana,agency;agency leadership;courthouse,legislator,30.9842977,-91.9623327,,,Legislator,US Senator Cassidy,,legislator_dgm_usms_mentioner_entities,0311347a38842985c3d58a04a8b0781b,legislator_dgm_usms_mentioner_entities__0311347a38842985c3d58a04a8b0781b
repandrecarson,US Representative Carson,Indiana,agency;agency leadership;courthouse,legislator,40.2671941,-86.1349019,,,Legislator,US Representative Carson,,legislator_dgm_usms_mentioner_entities,9e9022ae6190eb8c2e13336aea2a441e,legislator_dgm_usms_mentioner_entities__9e9022ae6190eb8c2e13336aea2a441e
andre4congress,US Representative Carson,Indiana,agency;agency leadership;courthouse,legislator,40.2671941,-86.1349019,,,Legislator,US Representative Carson,,legislator_dgm_usms_mentioner_entities,9e9022ae6190eb8c2e13336aea2a441e,legislator_dgm_usms_mentioner_entities__9e9022ae6190eb8c2e13336aea2a441e
bobmenendeznj,US Senator Menendez,New Jersey,agency;agency leadership;courthouse,legislator,40.0583238,-74.4056612,,,Legislator,US Senator Menendez,,legislator_dgm_usms_mentioner_entities,c0fadfa586ff7b0893fd111d40eb7944,legislator_dgm_usms_mentioner_entities__c0fadfa586ff7b0893fd111d40eb7944
