keyword,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
from aberdeen,"Lifeboat launched from station in Aberdeen, UK",Wells,"Lifeboat launched from station in Aberdeen, UK",,lifeboat_mentioner,cdc6c2f0ed526de2d9e6d3cad037de8e,lifeboat_mentioner__cdc6c2f0ed526de2d9e6d3cad037de8e
from aberdovey,"Lifeboat launched from station in Aberdovey, UK",Person,"Lifeboat launched from station in Aberdovey, UK",,lifeboat_mentioner,d1828b422f37e3237accea532a2d6022,lifeboat_mentioner__d1828b422f37e3237accea532a2d6022
from abersoch,"Lifeboat launched from station in Abersoch, UK",space,"Lifeboat launched from station in Abersoch, UK",,lifeboat_mentioner,61d3ff859497118a61d76bd4db2011db,lifeboat_mentioner__61d3ff859497118a61d76bd4db2011db
from aberystwyth,"Lifeboat launched from station in Aberystwyth, UK",IndustryTerm,"Lifeboat launched from station in Aberystwyth, UK",,lifeboat_mentioner,279c59fba40f8e248e316ad674f5f7d5,lifeboat_mentioner__279c59fba40f8e248e316ad674f5f7d5
from achill island,"Lifeboat launched from station on Achill Island, Ireland",space,"Lifeboat launched from station on Achill Island, Ireland",,lifeboat_mentioner,4bd35e1874267defbc9fa3647fe24375,lifeboat_mentioner__4bd35e1874267defbc9fa3647fe24375
from aith,"Lifeboat launched from station in Aith, UK",Keyphrase,"Lifeboat launched from station in Aith, UK",,lifeboat_mentioner,b35481315246464a5fb42e2b5e079fdd,lifeboat_mentioner__b35481315246464a5fb42e2b5e079fdd
from aldeburgh,"Lifeboat launched from station in Aldeburgh, UK",ForeignMinister,"Lifeboat launched from station in Aldeburgh, UK",,lifeboat_mentioner,db9dd9681a120a8b6987dc8326697257,lifeboat_mentioner__db9dd9681a120a8b6987dc8326697257
from alderney,"Lifeboat launched from station in Alderney, Guernsey",AAEntity,"Lifeboat launched from station in Alderney, Guernsey",,lifeboat_mentioner,a4f6d9da706c794d833c3e1702b743bc,lifeboat_mentioner__a4f6d9da706c794d833c3e1702b743bc
from amble,"Lifeboat launched from station in Amble, UK",DiplomaticFacilities,"Lifeboat launched from station in Amble, UK",,lifeboat_mentioner,ed42a77b56a38f88ec38ec99c08ec7d3,lifeboat_mentioner__ed42a77b56a38f88ec38ec99c08ec7d3
from angle,"Lifeboat launched from station in Angle, UK",Refinery,"Lifeboat launched from station in Angle, UK",,lifeboat_mentioner,5bf7fed889c5d5ed37a8745442db011a,lifeboat_mentioner__5bf7fed889c5d5ed37a8745442db011a
from anstruther,"Lifeboat launched from station in Anstruther, UK",Pipeline,"Lifeboat launched from station in Anstruther, UK",,lifeboat_mentioner,2ccd6fec656ea3858e2388a1e4d63903,lifeboat_mentioner__2ccd6fec656ea3858e2388a1e4d63903
from appledore,"Lifeboat launched from station in Appledore, UK",CompanyKeyword,"Lifeboat launched from station in Appledore, UK",,lifeboat_mentioner,6396d4dbf4ed7c5bbb8bd44474f39656,lifeboat_mentioner__6396d4dbf4ed7c5bbb8bd44474f39656
from aran islands,"Lifeboat launched from station in Aran Islands, Ireland",Pipeline,"Lifeboat launched from station in Aran Islands, Ireland",,lifeboat_mentioner,54146040fdd725f7c3dc16853dcbb489,lifeboat_mentioner__54146040fdd725f7c3dc16853dcbb489
from arbroath,"Lifeboat launched from station in Arbroath, UK",DiplomaticFacilities,"Lifeboat launched from station in Arbroath, UK",,lifeboat_mentioner,3a8277d85d4706a1b9f83ab497d6d5aa,lifeboat_mentioner__3a8277d85d4706a1b9f83ab497d6d5aa
from arklow,"Lifeboat launched from station in Arklow, Ireland",Consulates,"Lifeboat launched from station in Arklow, Ireland",,lifeboat_mentioner,0c1b02f69bf7867d4da7782e34517869,lifeboat_mentioner__0c1b02f69bf7867d4da7782e34517869
from arran,"Lifeboat launched from station in Arran, UK",Wells,"Lifeboat launched from station in Arran, UK",,lifeboat_mentioner,4cdff765e8e8dfddc2262954962a7331,lifeboat_mentioner__4cdff765e8e8dfddc2262954962a7331
from arranmore,"Lifeboat launched from station in Arranmore, Ireland",CompanyKeyword,"Lifeboat launched from station in Arranmore, Ireland",,lifeboat_mentioner,49938384cfc54df1fe70c877a21ba7a5,lifeboat_mentioner__49938384cfc54df1fe70c877a21ba7a5
from ballycotton,"Lifeboat launched from station in Ballycotton, Ireland",FTO,"Lifeboat launched from station in Ballycotton, Ireland",,lifeboat_mentioner,9bda1302a7f6b5dbbe12be70c63c2e5b,lifeboat_mentioner__9bda1302a7f6b5dbbe12be70c63c2e5b
from ballyglass,"Lifeboat launched from station in Ballyglass, Ireland",FTO,"Lifeboat launched from station in Ballyglass, Ireland",,lifeboat_mentioner,588a2feb4a45e2969444d0694cd7da5a,lifeboat_mentioner__588a2feb4a45e2969444d0694cd7da5a
from baltimore,"Lifeboat launched from station in Baltimore, Ireland",Consulates,"Lifeboat launched from station in Baltimore, Ireland",,lifeboat_mentioner,0a60662419d90afa77bb9332ccb672b3,lifeboat_mentioner__0a60662419d90afa77bb9332ccb672b3
from bangor,"Lifeboat launched from station in Bangor, Northern Ireland",DiplomaticFacilities,"Lifeboat launched from station in Bangor, Northern Ireland",,lifeboat_mentioner,4c8820f874929e4b78a753ddab3a6b94,lifeboat_mentioner__4c8820f874929e4b78a753ddab3a6b94
from barmouth,"Lifeboat launched from station in Barmouth, UK",Wells,"Lifeboat launched from station in Barmouth, UK",,lifeboat_mentioner,e66e6f0e1ccc1f7161be5214797d55c8,lifeboat_mentioner__e66e6f0e1ccc1f7161be5214797d55c8
from barra island,"Lifeboat launched from station on Barra, UK",Consulates,"Lifeboat launched from station on Barra, UK",,lifeboat_mentioner,e57840dc3cfbaa2b76a41c5d4b4b3728,lifeboat_mentioner__e57840dc3cfbaa2b76a41c5d4b4b3728
from barrow,"Lifeboat launched from station in Barrow, UK",Legislator,"Lifeboat launched from station in Barrow, UK",,lifeboat_mentioner,74274587c71b4da6572a10a863edf46b,lifeboat_mentioner__74274587c71b4da6572a10a863edf46b
from barry dock,"Lifeboat launched from station in Barry, UK",CompanyKeyword,"Lifeboat launched from station in Barry, UK",,lifeboat_mentioner,66121c3b064a949d2376bb765b27f7c6,lifeboat_mentioner__66121c3b064a949d2376bb765b27f7c6
from beaumaris,"Lifeboat launched from station in Beaumaris, UK",CompanyKeyword,"Lifeboat launched from station in Beaumaris, UK",,lifeboat_mentioner,496843e0aa64207a652f556bc0aab4ba,lifeboat_mentioner__496843e0aa64207a652f556bc0aab4ba
from bembridge,"Lifeboat launched from station in Bembridge, UK",Refinery,"Lifeboat launched from station in Bembridge, UK",,lifeboat_mentioner,d112cdae91845c6c66e21a0a252d4b94,lifeboat_mentioner__d112cdae91845c6c66e21a0a252d4b94
from berwick upon tweed,"Lifeboat launched from station in Berwick Upon Tweed, UK",space,"Lifeboat launched from station in Berwick Upon Tweed, UK",,lifeboat_mentioner,7cd7bd30da2ba944b92b7f2f750aacb8,lifeboat_mentioner__7cd7bd30da2ba944b92b7f2f750aacb8
from blackpool,"Lifeboat launched from station in Blackpool, UK",space,"Lifeboat launched from station in Blackpool, UK",,lifeboat_mentioner,2dc567913a54f2832f8d86b12db2db0e,lifeboat_mentioner__2dc567913a54f2832f8d86b12db2db0e
from blyth,"Lifeboat launched from station in Blyth, UK",Keyphrase,"Lifeboat launched from station in Blyth, UK",,lifeboat_mentioner,36195155af5618ac1f21db76c1145d49,lifeboat_mentioner__36195155af5618ac1f21db76c1145d49
from borth,"Lifeboat launched from station in Borth, UK",Keyphrase,"Lifeboat launched from station in Borth, UK",,lifeboat_mentioner,41cd29920d3435b58c9e9dcec956aeac,lifeboat_mentioner__41cd29920d3435b58c9e9dcec956aeac
from bridlington,"Lifeboat launched from station in Bridlington, UK",Shipping,"Lifeboat launched from station in Bridlington, UK",,lifeboat_mentioner,0fbf8ade726055e9f03c496a8f59c562,lifeboat_mentioner__0fbf8ade726055e9f03c496a8f59c562
from brighton,"Lifeboat launched from station in Brighton, UK",Person,"Lifeboat launched from station in Brighton, UK",,lifeboat_mentioner,558a42e36e3c89c31239c42ee42816dd,lifeboat_mentioner__558a42e36e3c89c31239c42ee42816dd
from broughty ferry,"Lifeboat launched from station in Broughty Ferry, UK",Shipping,"Lifeboat launched from station in Broughty Ferry, UK",,lifeboat_mentioner,0250a333eb866e04078bfa4f29757a60,lifeboat_mentioner__0250a333eb866e04078bfa4f29757a60
from buckie,"Lifeboat launched from station in Buckie, UK",DiplomaticFacilities,"Lifeboat launched from station in Buckie, UK",,lifeboat_mentioner,04854d2ab6fd169387eaabe4f8a73209,lifeboat_mentioner__04854d2ab6fd169387eaabe4f8a73209
from bude,"Lifeboat launched from station in Bude, UK",Wells,"Lifeboat launched from station in Bude, UK",,lifeboat_mentioner,0e961b0d2ba7874a35298215612dfd6e,lifeboat_mentioner__0e961b0d2ba7874a35298215612dfd6e
from bundoran,"Lifeboat launched from station in Bundoran, Ireland",Organization,"Lifeboat launched from station in Bundoran, Ireland",,lifeboat_mentioner,61f949f8712b070a637c58029e3f6d1f,lifeboat_mentioner__61f949f8712b070a637c58029e3f6d1f
from burnham-on-crouch,"Lifeboat launched from station in Burnham-on-Crouch, UK",News,"Lifeboat launched from station in Burnham-on-Crouch, UK",,lifeboat_mentioner,e8b451430e18e627990d979805103858,lifeboat_mentioner__e8b451430e18e627990d979805103858
from burnham-on-sea,"Lifeboat launched from station in Burnham-on-Sea, UK",AAEntity,"Lifeboat launched from station in Burnham-on-Sea, UK",,lifeboat_mentioner,a14389bef478faa86cfcd78851635a03,lifeboat_mentioner__a14389bef478faa86cfcd78851635a03
from burry port,"Lifeboat launched from station in Burry Port, UK",IndustryTerm,"Lifeboat launched from station in Burry Port, UK",,lifeboat_mentioner,8c0fdb082913ba366286fb8e3a1c4387,lifeboat_mentioner__8c0fdb082913ba366286fb8e3a1c4387
from calshot,"Lifeboat launched from station in Calshot, UK",Diplomat,"Lifeboat launched from station in Calshot, UK",,lifeboat_mentioner,6434bd259da32f383c5b689c28833045,lifeboat_mentioner__6434bd259da32f383c5b689c28833045
from campbeltown,"Lifeboat launched from station in Campbeltown, UK",Wells,"Lifeboat launched from station in Campbeltown, UK",,lifeboat_mentioner,e124a8bb4cb915d4ad010001e7c4b174,lifeboat_mentioner__e124a8bb4cb915d4ad010001e7c4b174
from cardigan,"Lifeboat launched from station in Cardigan, UK",Person,"Lifeboat launched from station in Cardigan, UK",,lifeboat_mentioner,33771f3fd235064955ebce724b89ea3f,lifeboat_mentioner__33771f3fd235064955ebce724b89ea3f
from carrybridge,"Lifeboat launched from station in Carrybridge, Northern Ireland",IndustryTerm,"Lifeboat launched from station in Carrybridge, Northern Ireland",,lifeboat_mentioner,aaede393e4724260490e8722c36260b1,lifeboat_mentioner__aaede393e4724260490e8722c36260b1
from castletownbere,"Lifeboat launched from station in Castletownbere, Ireland",AAEntity,"Lifeboat launched from station in Castletownbere, Ireland",,lifeboat_mentioner,d484bf5813d15f178a243b681133e1b5,lifeboat_mentioner__d484bf5813d15f178a243b681133e1b5
from chiswick,"Lifeboat launched from station in Chiswick, UK",space,"Lifeboat launched from station in Chiswick, UK",,lifeboat_mentioner,1055d2da5f381780d24e7bd2e39b7951,lifeboat_mentioner__1055d2da5f381780d24e7bd2e39b7951
