native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
amerika vətəndaşı,american citizen,Incident involving US citizen reported,1,FVEY/NATO Military and Diplomatic Assets,188262,AAEntity,Incident involving US citizen reported,,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping,02b06c963d0cfb7b7025c1c0df83bbaf,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping__02b06c963d0cfb7b7025c1c0df83bbaf
amerikalı kişi,american citizen,Incident involving US citizen reported,1,FVEY/NATO Military and Diplomatic Assets,188262,Organization,Incident involving US citizen reported,,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping,02b06c963d0cfb7b7025c1c0df83bbaf,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping__02b06c963d0cfb7b7025c1c0df83bbaf
amerikan qadını,american citizen,Incident involving US citizen reported,1,FVEY/NATO Military and Diplomatic Assets,188262,CompanyKeyword,Incident involving US citizen reported,,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping,02b06c963d0cfb7b7025c1c0df83bbaf,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping__02b06c963d0cfb7b7025c1c0df83bbaf
amerika birləşmiş ştatları milli,american citizen,Incident involving US citizen reported,1,FVEY/NATO Military and Diplomatic Assets,188262,News,Incident involving US citizen reported,,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping,02b06c963d0cfb7b7025c1c0df83bbaf,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping__02b06c963d0cfb7b7025c1c0df83bbaf
amerika birləşmiş ştatları vətəndaşı,american citizen,Incident involving US citizen reported,1,FVEY/NATO Military and Diplomatic Assets,188262,News,Incident involving US citizen reported,,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping,02b06c963d0cfb7b7025c1c0df83bbaf,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping__02b06c963d0cfb7b7025c1c0df83bbaf
amerika birləşmiş ştatları vətəndaşları,american citizens,Incident involving US citizens reported,1,FVEY/NATO Military and Diplomatic Assets,188262,ForeignMinistry,Incident involving US citizens reported,,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping,3af5fa91874f9b93077fcfbceb37a1e6,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping__3af5fa91874f9b93077fcfbceb37a1e6
amerikalı kişilər,american citizens,Incident involving US citizens reported,1,FVEY/NATO Military and Diplomatic Assets,188262,Person,Incident involving US citizens reported,,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping,3af5fa91874f9b93077fcfbceb37a1e6,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping__3af5fa91874f9b93077fcfbceb37a1e6
amerikalı qadınlar,american citizens,Incident involving US citizens reported,1,FVEY/NATO Military and Diplomatic Assets,188262,ForeignMinistry,Incident involving US citizens reported,,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping,3af5fa91874f9b93077fcfbceb37a1e6,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping__3af5fa91874f9b93077fcfbceb37a1e6
amerika vətəndaşları,american citizens,Incident involving US citizens reported,1,FVEY/NATO Military and Diplomatic Assets,188262,Wells,Incident involving US citizens reported,,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping,3af5fa91874f9b93077fcfbceb37a1e6,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping__3af5fa91874f9b93077fcfbceb37a1e6
amerika uyrukluları,american citizens,Incident involving US citizens reported,1,FVEY/NATO Military and Diplomatic Assets,188262,Wells,Incident involving US citizens reported,,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping,3af5fa91874f9b93077fcfbceb37a1e6,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping__3af5fa91874f9b93077fcfbceb37a1e6
hücum,attack,Attack reported,3,Crime - Non-Active,188297,Consulates,Attack reported,,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping,e105fb08828f1cf3ffbc3a6718b2d2d4,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping__e105fb08828f1cf3ffbc3a6718b2d2d4
атака,attack,Attack reported,3,Crime - Non-Active,188297,ForeignMinister,Attack reported,,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping,e105fb08828f1cf3ffbc3a6718b2d2d4,local_news_physical_safety_azerbaijan_caption_topic_threshold_mapping__e105fb08828f1cf3ffbc3a6718b2d2d4
