native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
policija,police,Police-involved matter reported,10,Crime - Non-Active,188297,Exec,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policije,police,Police-involved matter reported,10,Crime - Non-Active,188297,Person,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policiju,police,Police-involved matter reported,10,Crime - Non-Active,188297,Keyphrase,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policijom,police,Police-involved matter reported,10,Crime - Non-Active,188297,Consulates,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policiji,police,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinistry,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policijama,police,Police-involved matter reported,10,Crime - Non-Active,188297,DiplomaticFacilities,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajac,officer,Police-involved matter reported,10,Crime - Non-Active,188297,Wells,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajca,officer,Police-involved matter reported,10,Crime - Non-Active,188297,Keyphrase,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajcu,officer,Police-involved matter reported,10,Crime - Non-Active,188297,Person,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajca,officer,Police-involved matter reported,10,Crime - Non-Active,188297,space,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajcem,officer,Police-involved matter reported,10,Crime - Non-Active,188297,LegislativeCommittee,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajka,officer,Police-involved matter reported,10,Crime - Non-Active,188297,Refinery,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajke,officer,Police-involved matter reported,10,Crime - Non-Active,188297,AAEntity,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajku,officer,Police-involved matter reported,10,Crime - Non-Active,188297,Wells,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajkom,officer,Police-involved matter reported,10,Crime - Non-Active,188297,Refinery,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajci,officers,Police-involved matter reported,10,Crime - Non-Active,188297,AAEntity,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajaca,officers,Police-involved matter reported,10,Crime - Non-Active,188297,CompanyKeyword,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajce,officers,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinistry,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajcima,officers,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinister,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajke,officers,Police-involved matter reported,10,Crime - Non-Active,188297,Legislator,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajaka,officers,Police-involved matter reported,10,Crime - Non-Active,188297,CompanyKeyword,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajki,officers,Police-involved matter reported,10,Crime - Non-Active,188297,Pipeline,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajkama,officers,Police-involved matter reported,10,Crime - Non-Active,188297,Person,Police-involved matter reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
mrtav,casualty,Incident with casualties reported,6,Crime - Non-Active,188297,Pipeline,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
mrtva,casualty,Incident with casualties reported,6,Crime - Non-Active,188297,DiplomaticFacilities,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
mrtvim,casualty,Incident with casualties reported,6,Crime - Non-Active,188297,FTO,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
mrtvi,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,DiplomaticFacilities,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
mrtvih,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,space,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
mrtve,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,Legislator,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
mrtvim,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,AAEntity,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
mrtvima,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,CompanyKeyword,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
povrijediti,injure,Incident with casualties reported,6,Crime - Non-Active,188297,Legislator,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
ozlijediti,injure,Incident with casualties reported,6,Crime - Non-Active,188297,Diplomat,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
raniti,injure,Incident with casualties reported,6,Crime - Non-Active,188297,AAEntity,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
povrijeđen,injured,Incident with casualties reported,6,Crime - Non-Active,188297,Refinery,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
povrijeđena,injured,Incident with casualties reported,6,Crime - Non-Active,188297,FTO,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
povrijeđene,injured,Incident with casualties reported,6,Crime - Non-Active,188297,CompanyKeyword,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
povrijeđeni,injured,Incident with casualties reported,6,Crime - Non-Active,188297,space,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
ozlijeđen,injured,Incident with casualties reported,6,Crime - Non-Active,188297,Consulates,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
ozlijeđena,injured,Incident with casualties reported,6,Crime - Non-Active,188297,space,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
ozlijeđene,injured,Incident with casualties reported,6,Crime - Non-Active,188297,CompanyKeyword,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
ozlijeđeni,injured,Incident with casualties reported,6,Crime - Non-Active,188297,ForeignMinister,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
ranjen,injured,Incident with casualties reported,6,Crime - Non-Active,188297,Person,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
ranjena,injured,Incident with casualties reported,6,Crime - Non-Active,188297,FTO,Incident with casualties reported,,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_bosniaandherzegovina_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
