native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
police,police,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinister,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policier,cop,Police-involved matter reported,10,Crime - Non-Active,188297,Shipping,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policière,cop,Police-involved matter reported,10,Crime - Non-Active,188297,DiplomaticFacilities,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
crs,cop,Police-involved matter reported,10,Crime - Non-Active,188297,Pipeline,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
flic,cop,Police-involved matter reported,10,Crime - Non-Active,188297,IndustryTerm,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policiers,cops,Police-involved matter reported,10,Crime - Non-Active,188297,CompanyKeyword,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
police,cops,Police-involved matter reported,10,Crime - Non-Active,188297,FTO,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policières,cops,Police-involved matter reported,10,Crime - Non-Active,188297,FTO,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
flics,cops,Police-involved matter reported,10,Crime - Non-Active,188297,Person,Police-involved matter reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_congo_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
victime,casualty,Incident with casualties reported,7,Crime - Non-Active,188297,ForeignMinister,Incident with casualties reported,,local_news_physical_safety_congo_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_congo_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
