native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
αστυνομία,police,Police-involved matter reported,10,Crime - Non-Active,188297,Legislator,Police-involved matter reported,,local_news_physical_safety_greece_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_greece_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
αστυνομικοί,police,Police-involved matter reported,10,Crime - Non-Active,188297,DiplomaticFacilities,Police-involved matter reported,,local_news_physical_safety_greece_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_greece_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
αστυνομικος,police,Police-involved matter reported,10,Crime - Non-Active,188297,IndustryTerm,Police-involved matter reported,,local_news_physical_safety_greece_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_greece_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
αστυνομικη,police,Police-involved matter reported,10,Crime - Non-Active,188297,IndustryTerm,Police-involved matter reported,,local_news_physical_safety_greece_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_greece_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
αξιωματικός,officer,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinister,Police-involved matter reported,,local_news_physical_safety_greece_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_greece_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
υπάλληλος,officer,Police-involved matter reported,10,Crime - Non-Active,188297,FTO,Police-involved matter reported,,local_news_physical_safety_greece_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_greece_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
αξιωματικοί,officers,Police-involved matter reported,10,Crime - Non-Active,188297,Person,Police-involved matter reported,,local_news_physical_safety_greece_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_greece_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
αξιωματικών,officers,Police-involved matter reported,10,Crime - Non-Active,188297,Pipeline,Police-involved matter reported,,local_news_physical_safety_greece_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_greece_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
μπάτσος,cop,Police-involved matter reported,10,Crime - Non-Active,188297,Keyphrase,Police-involved matter reported,,local_news_physical_safety_greece_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_greece_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
αστυφύλαξ,cop,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinistry,Police-involved matter reported,,local_news_physical_safety_greece_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_greece_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
