native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
rendőrség,police,Police-involved matter reported,10,Crime - Non-Active,188297,LegislativeCommittee,Police-involved matter reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_hungary_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
körletrend,police,Police-involved matter reported,10,Crime - Non-Active,188297,Keyphrase,Police-involved matter reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_hungary_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
rendőri,police,Police-involved matter reported,10,Crime - Non-Active,188297,DiplomaticFacilities,Police-involved matter reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_hungary_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
tiszt,officer,Police-involved matter reported,10,Crime - Non-Active,188297,Consulates,Police-involved matter reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_hungary_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
tisztek,officers,Police-involved matter reported,10,Crime - Non-Active,188297,Shipping,Police-involved matter reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_hungary_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
zsaru,cop,Police-involved matter reported,10,Crime - Non-Active,188297,Legislator,Police-involved matter reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_hungary_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
zsaruk,cops,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinistry,Police-involved matter reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_hungary_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
rendőr,policeman,Police-involved matter reported,10,Crime - Non-Active,188297,FTO,Police-involved matter reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_hungary_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
rendőrnő,policewoman,Police-involved matter reported,10,Crime - Non-Active,188297,Refinery,Police-involved matter reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_hungary_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
rendőrök,policemen,Police-involved matter reported,10,Crime - Non-Active,188297,Pipeline,Police-involved matter reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_hungary_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
rendőrnő,policewomen,Police-involved matter reported,10,Crime - Non-Active,188297,Diplomat,Police-involved matter reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_hungary_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
sérülés,casualty,Incident with casualties reported,6,Crime - Non-Active,188297,DiplomaticFacilities,Incident with casualties reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_hungary_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
veszteség,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,FTO,Incident with casualties reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_hungary_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
sérülése,injure,Incident with casualties reported,6,Crime - Non-Active,188297,News,Incident with casualties reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_hungary_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
sérült,injured,Incident with casualties reported,6,Crime - Non-Active,188297,Diplomat,Incident with casualties reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_hungary_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
gyilkosság,murder,Incident with casualties reported,6,Crime - Non-Active,188297,Person,Incident with casualties reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_hungary_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
meggyilkolt,murdered,Incident with casualties reported,6,Crime - Non-Active,188297,Exec,Incident with casualties reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_hungary_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
megöl,kill,Incident with casualties reported,6,Crime - Non-Active,188297,Consulates,Incident with casualties reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_hungary_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
gyilkolás,killing,Incident with casualties reported,6,Crime - Non-Active,188297,IndustryTerm,Incident with casualties reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_hungary_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
elesett,killed,Incident with casualties reported,6,Crime - Non-Active,188297,ForeignMinister,Incident with casualties reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_hungary_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
áldozat,victim,Incident with casualties reported,6,Crime - Non-Active,188297,Refinery,Incident with casualties reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_hungary_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
áldozatai,victims,Incident with casualties reported,6,Crime - Non-Active,188297,LegislativeCommittee,Incident with casualties reported,,local_news_physical_safety_hungary_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_hungary_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
