native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
lögreglan,police,Police-involved matter reported,10,Crime - Non-Active,188297,Pipeline,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
liðsforingi,officer,Police-involved matter reported,10,Crime - Non-Active,188297,FTO,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
lögreglu,police,Police-involved matter reported,10,Crime - Non-Active,188297,Person,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
lögregluþjónar,police,Police-involved matter reported,10,Crime - Non-Active,188297,LegislativeCommittee,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
lögreglunnar,police,Police-involved matter reported,10,Crime - Non-Active,188297,LegislativeCommittee,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
lögregla,policeman,Police-involved matter reported,10,Crime - Non-Active,188297,LegislativeCommittee,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
yfirmenn,officers,Police-involved matter reported,10,Crime - Non-Active,188297,Media,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
lögga,cop,Police-involved matter reported,10,Crime - Non-Active,188297,DiplomaticFacilities,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
lögguna,cops,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinister,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
lögreglumaðu,policeman,Police-involved matter reported,10,Crime - Non-Active,188297,Refinery,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
lögreglukonan,policewoman,Police-involved matter reported,10,Crime - Non-Active,188297,space,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
lögreglumenn,policemen,Police-involved matter reported,10,Crime - Non-Active,188297,Organization,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policewomen,policewomen,Police-involved matter reported,10,Crime - Non-Active,188297,CompanyKeyword,Police-involved matter reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_iceland_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
slys,casualty,Incident with casualties reported,6,Crime - Non-Active,188297,Refinery,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
mannfall,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,space,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
skaða,injure,Incident with casualties reported,6,Crime - Non-Active,188297,IndustryTerm,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
slasaður,injured,Incident with casualties reported,6,Crime - Non-Active,188297,CompanyKeyword,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
morð,murder,Incident with casualties reported,6,Crime - Non-Active,188297,DiplomaticFacilities,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
myrtur,murdered,Incident with casualties reported,6,Crime - Non-Active,188297,AAEntity,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
drepa,kill,Incident with casualties reported,6,Crime - Non-Active,188297,Pipeline,Incident with casualties reported,,local_news_physical_safety_iceland_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_iceland_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
