native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
police,police,Police-involved matter reported,10,Crime - Non-Active,188297,IndustryTerm,Police-involved matter reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policier,cop,Police-involved matter reported,10,Crime - Non-Active,188297,space,Police-involved matter reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policière,cop,Police-involved matter reported,10,Crime - Non-Active,188297,DiplomaticFacilities,Police-involved matter reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
crs,cop,Police-involved matter reported,10,Crime - Non-Active,188297,space,Police-involved matter reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
flic,cop,Police-involved matter reported,10,Crime - Non-Active,188297,Person,Police-involved matter reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policiers,cops,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinister,Police-involved matter reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
police,cops,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinister,Police-involved matter reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policières,cops,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinister,Police-involved matter reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
flics,cops,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinister,Police-involved matter reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
victime,casualty,Incident with casualties reported,6,Crime - Non-Active,188297,ForeignMinistry,Incident with casualties reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
mort,casualty,Incident with casualties reported,6,Crime - Non-Active,188297,Refinery,Incident with casualties reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
morte,casualty,Incident with casualties reported,6,Crime - Non-Active,188297,Organization,Incident with casualties reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
blessé,casualty,Incident with casualties reported,6,Crime - Non-Active,188297,Exec,Incident with casualties reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
tué,casualty,Incident with casualties reported,6,Crime - Non-Active,188297,Shipping,Incident with casualties reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
victimes,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,Organization,Incident with casualties reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
morts,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,News,Incident with casualties reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
mortes,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,Media,Incident with casualties reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
pertes,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,Legislator,Incident with casualties reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
blessés,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,ForeignMinister,Incident with casualties reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
tués,casualties,Incident with casualties reported,6,Crime - Non-Active,188297,Legislator,Incident with casualties reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
blessé,injured,Incident with casualties reported,6,Crime - Non-Active,188297,Refinery,Incident with casualties reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
blessée,injured,Incident with casualties reported,6,Crime - Non-Active,188297,Shipping,Incident with casualties reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
blessés,injured,Incident with casualties reported,6,Crime - Non-Active,188297,Legislator,Incident with casualties reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
blessées,injured,Incident with casualties reported,6,Crime - Non-Active,188297,FTO,Incident with casualties reported,,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping,d5478d4ac02869050574031e2936edb7,local_news_physical_safety_luxembourg_caption_topic_threshold_mapping__d5478d4ac02869050574031e2936edb7
