native_language,english_term,caption_text,incident_tier,topic_tags,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
polícia,police,Police-involved matter reported,10,Crime - Non-Active,188297,Media,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
polície,police,Police-involved matter reported,10,Crime - Non-Active,188297,Consulates,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
polícii,police,Police-involved matter reported,10,Crime - Non-Active,188297,Media,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
políciu,police,Police-involved matter reported,10,Crime - Non-Active,188297,DiplomaticFacilities,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
polícii,police,Police-involved matter reported,10,Crime - Non-Active,188297,Organization,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
políciou,police,Police-involved matter reported,10,Crime - Non-Active,188297,DiplomaticFacilities,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajná,police,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinister,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
policajnej,police,Police-involved matter reported,10,Crime - Non-Active,188297,FTO,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
dôstojník,officer,Police-involved matter reported,10,Crime - Non-Active,188297,Keyphrase,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
dôstojníka,officer,Police-involved matter reported,10,Crime - Non-Active,188297,Exec,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
dôstojníkovi,officer,Police-involved matter reported,10,Crime - Non-Active,188297,LegislativeCommittee,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
dôstojníka,officer,Police-involved matter reported,10,Crime - Non-Active,188297,Consulates,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
dôstojníkovi,officer,Police-involved matter reported,10,Crime - Non-Active,188297,space,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
dôstojníkom,officer,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinistry,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
dôstojníčka,officer,Police-involved matter reported,10,Crime - Non-Active,188297,Wells,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
dôstojníčky,officer,Police-involved matter reported,10,Crime - Non-Active,188297,CompanyKeyword,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
dôstojníčke,officer,Police-involved matter reported,10,Crime - Non-Active,188297,ForeignMinister,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
dôstojníčku,officer,Police-involved matter reported,10,Crime - Non-Active,188297,Wells,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
dôstojníčke,officer,Police-involved matter reported,10,Crime - Non-Active,188297,Refinery,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
dôstojníčkou,officer,Police-involved matter reported,10,Crime - Non-Active,188297,Consulates,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
dôstojníci,officers,Police-involved matter reported,10,Crime - Non-Active,188297,Person,Police-involved matter reported,,local_news_physical_safety_slovakia_caption_topic_threshold_mapping,653b1b448f7fccbfac997a57a6345e08,local_news_physical_safety_slovakia_caption_topic_threshold_mapping__653b1b448f7fccbfac997a57a6345e08
