keyword,guid,caption_name,topic_guid,topic_name,concatenated,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
3m,48562aee0bffd911051ef423793942e0,3M,214218,Reputation,hashtagContains:3M,LegislativeCommittee,3M,,lte_hashtag_contains_mapping,d8589a20d5ff2f308381aa7aa75b9a27,lte_hashtag_contains_mapping__d8589a20d5ff2f308381aa7aa75b9a27
mikeroman,48562aee0bffd911051ef423793942e0,3M CEO Mike Roman,214218,Reputation,hashtagContains:MikeRoman,AAEntity,3M CEO Mike Roman,,lte_hashtag_contains_mapping,885414b81ad391cbb77bff0cf95bb5a3,lte_hashtag_contains_mapping__885414b81ad391cbb77bff0cf95bb5a3
activisionblizzard,5f1a65971ad63c9cf9be9b25b89b5e28,Activision Blizzard,214218,Reputation,hashtagContains:ActivisionBlizzard,DiplomaticFacilities,Activision Blizzard,,lte_hashtag_contains_mapping,c87cb90e721691623d804d736e398318,lte_hashtag_contains_mapping__c87cb90e721691623d804d736e398318
bobbykotick,5f1a65971ad63c9cf9be9b25b89b5e28,Activision Blizzard CEO Bobby Kotick,214218,Reputation,hashtagContains:BobbyKotick,Wells,Activision Blizzard CEO Bobby Kotick,,lte_hashtag_contains_mapping,832a4b4ca7f5f0467a2a4c4b2b988490,lte_hashtag_contains_mapping__832a4b4ca7f5f0467a2a4c4b2b988490
aetna,ade4c68cba85e3beb73a3413c0888b7d,Aetna,214218,Reputation,hashtagContains:Aetna,FTO,Aetna,,lte_hashtag_contains_mapping,a090692640b320d9fb346567fe22cc0d,lte_hashtag_contains_mapping__a090692640b320d9fb346567fe22cc0d
markbertolini,ade4c68cba85e3beb73a3413c0888b7d,Aetna CEO Mark Bertolini,214218,Reputation,hashtagContains:MarkBertolini,Diplomat,Aetna CEO Mark Bertolini,,lte_hashtag_contains_mapping,080c16b587ce8268d81e741bebb30f0d,lte_hashtag_contains_mapping__080c16b587ce8268d81e741bebb30f0d
airbus,252db0d6399cb907417e6bc9b56042d5,Airbus,214218,Reputation,hashtagContains:Airbus,LegislativeCommittee,Airbus,,lte_hashtag_contains_mapping,b110aa10dc3e3aa939ba099440938e65,lte_hashtag_contains_mapping__b110aa10dc3e3aa939ba099440938e65
guillaumefaury,252db0d6399cb907417e6bc9b56042d5,Airbus CEO Guillaume Faury,214218,Reputation,hashtagContains:GuillaumeFaury,Shipping,Airbus CEO Guillaume Faury,,lte_hashtag_contains_mapping,9cf5454a03550e2fc8b8509f0aeaeea6,lte_hashtag_contains_mapping__9cf5454a03550e2fc8b8509f0aeaeea6
amazon,"d71e902f67e79b2f1e56c393f7c5f41f,32ec5fc746a720416749e18927068772",Amazon,214218,Reputation,hashtagContains:Amazon,Shipping,Amazon,,lte_hashtag_contains_mapping,b3b3a6ac74ecbd56bcdbefa4799fb9df,lte_hashtag_contains_mapping__b3b3a6ac74ecbd56bcdbefa4799fb9df
jeffbezos,"d71e902f67e79b2f1e56c393f7c5f41f,32ec5fc746a720416749e18927068772",Amazon CEO Jeff Bezos,214218,Reputation,hashtagContains:JeffBezos,News,Amazon CEO Jeff Bezos,,lte_hashtag_contains_mapping,e838c6d24206295ddb514a103176564b,lte_hashtag_contains_mapping__e838c6d24206295ddb514a103176564b
bezos,"d71e902f67e79b2f1e56c393f7c5f41f,32ec5fc746a720416749e18927068772",Amazon CEO Bezos,214218,Reputation,hashtagContains:Bezos,ForeignMinister,Amazon CEO Bezos,,lte_hashtag_contains_mapping,a9f58969574329835000031c22840bf1,lte_hashtag_contains_mapping__a9f58969574329835000031c22840bf1
wholefoods,"d71e902f67e79b2f1e56c393f7c5f41f,32ec5fc746a720416749e18927068772",Amazon,214218,Reputation,hashtagContains:WholeFoods,Wells,Amazon,,lte_hashtag_contains_mapping,b3b3a6ac74ecbd56bcdbefa4799fb9df,lte_hashtag_contains_mapping__b3b3a6ac74ecbd56bcdbefa4799fb9df
johnmackey,"d71e902f67e79b2f1e56c393f7c5f41f,32ec5fc746a720416749e18927068772",Amazon CEO John Mackey,214218,Reputation,hashtagContains:JohnMackey,Keyphrase,Amazon CEO John Mackey,,lte_hashtag_contains_mapping,ba71b9f606f96b47365119248a7e141c,lte_hashtag_contains_mapping__ba71b9f606f96b47365119248a7e141c
aws,"d71e902f67e79b2f1e56c393f7c5f41f,32ec5fc746a720416749e18927068772",Amazon,214218,Reputation,hashtagContains:AWS,Pipeline,Amazon,,lte_hashtag_contains_mapping,b3b3a6ac74ecbd56bcdbefa4799fb9df,lte_hashtag_contains_mapping__b3b3a6ac74ecbd56bcdbefa4799fb9df
amgen,cbbf605ac8c153dab40ee70a8371ed1b,Amgen,214218,Reputation,hashtagContains:Amgen,Wells,Amgen,,lte_hashtag_contains_mapping,c142e310cf1889900ac13cc74784585c,lte_hashtag_contains_mapping__c142e310cf1889900ac13cc74784585c
robertbradway,cbbf605ac8c153dab40ee70a8371ed1b,Amgen CEO Robert Bradway,214218,Reputation,hashtagContains:RobertBradway,News,Amgen CEO Robert Bradway,,lte_hashtag_contains_mapping,6ce52147fabffc8dabcc80777aa79a25,lte_hashtag_contains_mapping__6ce52147fabffc8dabcc80777aa79a25
apple,2adac6e9b077021a8c4e5de1a3aa057b,Apple,214218,Reputation,hashtagContains:Apple,DiplomaticFacilities,Apple,,lte_hashtag_contains_mapping,9f6290f4436e5a2351f12e03b6433c3c,lte_hashtag_contains_mapping__9f6290f4436e5a2351f12e03b6433c3c
timcook,2adac6e9b077021a8c4e5de1a3aa057b,Apple CEO Tim Cook,214218,Reputation,hashtagContains:TimCook,AAEntity,Apple CEO Tim Cook,,lte_hashtag_contains_mapping,29c29a08ea64b57a60247a8debe51498,lte_hashtag_contains_mapping__29c29a08ea64b57a60247a8debe51498
dropbox,75a6131f845974797c5c2823b234ec0f,Dropbox,214218,Reputation,hashtagContains:Dropbox,CompanyKeyword,Dropbox,,lte_hashtag_contains_mapping,f92aa92725095d5531f54b4589d99264,lte_hashtag_contains_mapping__f92aa92725095d5531f54b4589d99264
drewhouston,75a6131f845974797c5c2823b234ec0f,Dropbox CEO Drew Houston,214218,Reputation,hashtagContains:DrewHouston,IndustryTerm,Dropbox CEO Drew Houston,,lte_hashtag_contains_mapping,8a86b67b99ed3f357e82aec92617e7e9,lte_hashtag_contains_mapping__8a86b67b99ed3f357e82aec92617e7e9
generalelectric,322ac38925c136d0cdf64421568a1bf7,General Electric,214218,Reputation,hashtagContains:GeneralElectric,AAEntity,General Electric,,lte_hashtag_contains_mapping,b7dd9335262c963353fe9f12165a5a86,lte_hashtag_contains_mapping__b7dd9335262c963353fe9f12165a5a86
lawrenceculp,322ac38925c136d0cdf64421568a1bf7,General Electric CEO Lawrence Culp,214218,Reputation,hashtagContains:LawrenceCulp,Diplomat,General Electric CEO Lawrence Culp,,lte_hashtag_contains_mapping,4e29f2ce257ff9a45227fb36d7f7ac98,lte_hashtag_contains_mapping__4e29f2ce257ff9a45227fb36d7f7ac98
larryculp,322ac38925c136d0cdf64421568a1bf7,General Electric CEO Lawrence Culp,214218,Reputation,hashtagContains:LarryCulp,LegislativeCommittee,General Electric CEO Lawrence Culp,,lte_hashtag_contains_mapping,4e29f2ce257ff9a45227fb36d7f7ac98,lte_hashtag_contains_mapping__4e29f2ce257ff9a45227fb36d7f7ac98
freddiemac,2f73a63fa56565bb8209179dfe056f48,Freddie Mac,214218,Reputation,hashtagContains:FreddieMac,Shipping,Freddie Mac,,lte_hashtag_contains_mapping,99fc3471b2182beaebe91a3f43131979,lte_hashtag_contains_mapping__99fc3471b2182beaebe91a3f43131979
michaelhutchins,2f73a63fa56565bb8209179dfe056f48,Freddie Mac CEO Michael Hutchins,214218,Reputation,hashtagContains:MichaelHutchins,LegislativeCommittee,Freddie Mac CEO Michael Hutchins,,lte_hashtag_contains_mapping,603235708e09ecc475e849119a6f76e4,lte_hashtag_contains_mapping__603235708e09ecc475e849119a6f76e4
panasonic,300414e91c9cf1d0de9a668688a8db4b,Panasonic,214218,Reputation,hashtagContains:Panasonic,Consulates,Panasonic,,lte_hashtag_contains_mapping,4db2eb60906233021c65b511fe814034,lte_hashtag_contains_mapping__4db2eb60906233021c65b511fe814034
michaelmoskowitz,300414e91c9cf1d0de9a668688a8db4b,Panasonic CEO Michael Moskowitz,214218,Reputation,hashtagContains:MichaelMoskowitz,Person,Panasonic CEO Michael Moskowitz,,lte_hashtag_contains_mapping,f0a3ecdea2fb63e998b5be76ad742ede,lte_hashtag_contains_mapping__f0a3ecdea2fb63e998b5be76ad742ede
at&t,eb4c37efac8ef073aaf6d5e9f4120e0a,AT&T,214218,Reputation,hashtagContains:AT&T,Pipeline,AT&T,,lte_hashtag_contains_mapping,b74e69c4545cf7fc29395289f96240c2,lte_hashtag_contains_mapping__b74e69c4545cf7fc29395289f96240c2
johnstankey,eb4c37efac8ef073aaf6d5e9f4120e0a,AT&T CEO John Stankey,214218,Reputation,hashtagContains:JohnStankey,DiplomaticFacilities,AT&T CEO John Stankey,,lte_hashtag_contains_mapping,11e3de2f0e97704ef52e7c07e310df4c,lte_hashtag_contains_mapping__11e3de2f0e97704ef52e7c07e310df4c
kohls,bebe2053a8d82be1e8c0986f277a27ba,Kohl's,214218,Reputation,hashtagContains:Kohls,Pipeline,Kohl's,,lte_hashtag_contains_mapping,f47914299f3d8460ea82dd21f435b624,lte_hashtag_contains_mapping__f47914299f3d8460ea82dd21f435b624
michellegass,bebe2053a8d82be1e8c0986f277a27ba,Kohl's CEO Michelle Gass,214218,Reputation,hashtagContains:MichelleGass,Organization,Kohl's CEO Michelle Gass,,lte_hashtag_contains_mapping,c9d6e510591a4b874450ed51e89d0525,lte_hashtag_contains_mapping__c9d6e510591a4b874450ed51e89d0525
baesystems,68de11995b3eaa7243a40b135a58219b,BAE Systems,214218,Reputation,hashtagContains:BAESystems,ForeignMinister,BAE Systems,,lte_hashtag_contains_mapping,48c7e055cb46ce0c9f686921c0ac63b2,lte_hashtag_contains_mapping__48c7e055cb46ce0c9f686921c0ac63b2
