caption_name_lowercased,caption_name,category,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
walmart,Walmart,company,space,walmart,,malicious_forums_hyperspecific_exceptions,04a8ca7bf49e7ecb4a32451676e929f0,malicious_forums_hyperspecific_exceptions__04a8ca7bf49e7ecb4a32451676e929f0
tesla,Tesla,company,Legislator,tesla,,malicious_forums_hyperspecific_exceptions,bc250e0d83c37b0953ada14e7bbc1dfd,malicious_forums_hyperspecific_exceptions__bc250e0d83c37b0953ada14e7bbc1dfd
amazon,Amazon,company,Refinery,amazon,,malicious_forums_hyperspecific_exceptions,2d0d4809e6bdb6f4db3e547f27b1873c,malicious_forums_hyperspecific_exceptions__2d0d4809e6bdb6f4db3e547f27b1873c
blackrock,BlackRock,company,ForeignMinistry,blackrock,,malicious_forums_hyperspecific_exceptions,3cd7253955a5abe349700d757b6ac6ec,malicious_forums_hyperspecific_exceptions__3cd7253955a5abe349700d757b6ac6ec
mcdonald's,McDonald's,company,Keyphrase,mcdonald's,,malicious_forums_hyperspecific_exceptions,e30ab0c4da38f9d8e3220f4080ae9454,malicious_forums_hyperspecific_exceptions__e30ab0c4da38f9d8e3220f4080ae9454
youtube,YouTube,company,Legislator,youtube,,malicious_forums_hyperspecific_exceptions,ba9bf05693b9fa202d922dd43a08f281,malicious_forums_hyperspecific_exceptions__ba9bf05693b9fa202d922dd43a08f281
novavax,Novavax,company,LegislativeCommittee,novavax,,malicious_forums_hyperspecific_exceptions,de8920251f4cbb432f1cf76c085ee9c7,malicious_forums_hyperspecific_exceptions__de8920251f4cbb432f1cf76c085ee9c7
gamestop,GameStop,company,Media,gamestop,,malicious_forums_hyperspecific_exceptions,548fcc570f3cdce01c20a3c8f1e624f6,malicious_forums_hyperspecific_exceptions__548fcc570f3cdce01c20a3c8f1e624f6
international olympic committee,International Olympic Committee,company,Refinery,international olympic committee,,malicious_forums_hyperspecific_exceptions,057857ad08fc07d3d4a5aa8d275cf021,malicious_forums_hyperspecific_exceptions__057857ad08fc07d3d4a5aa8d275cf021
microsoft,Microsoft,company,Diplomat,microsoft,,malicious_forums_hyperspecific_exceptions,5f532a3fc4f1ea403f37070f59a7a53a,malicious_forums_hyperspecific_exceptions__5f532a3fc4f1ea403f37070f59a7a53a
