keyword,caption_name,topic_id,location,guid,groups,entity_type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
dong-feng 21,Dong-Feng 21 ballistic missile,188258;188253,a1433,,,antisatsystem,Antisatsystem,Dong-Feng 21 ballistic missile,,milpress_mentionee,7434ec27231441ace2cb675e361c98e4,milpress_mentionee__7434ec27231441ace2cb675e361c98e4
sc-19,SC-19 anti-ballistic missile interceptor,188258;188253,a1433,,,antisatsystem,Antisatsystem,SC-19 anti-ballistic missile interceptor,,milpress_mentionee,aa3617a0089a917f0e2018ea7ba0b3ec,milpress_mentionee__aa3617a0089a917f0e2018ea7ba0b3ec
hq-19,HQ-19 anti-ballistic missile interceptor,188258;188253,a1433,,,antisatsystem,Antisatsystem,HQ-19 anti-ballistic missile interceptor,,milpress_mentionee,7342ccf094d519afb83950765d74ab33,milpress_mentionee__7342ccf094d519afb83950765d74ab33
hq-9,HQ-9 surface to air missile,188258;188253,a1433,,,antisatsystem,Antisatsystem,HQ-9 surface to air missile,,milpress_mentionee,3e2272c0983d5c5b647063239de5ca52,milpress_mentionee__3e2272c0983d5c5b647063239de5ca52
naryad,Naryad anti-satellite system,188261;188253;188257,a708,,,antisatsystem,Antisatsystem,Naryad anti-satellite system,,milpress_mentionee,af1722e8fdf8b5bb0df72d6dbac60d09,milpress_mentionee__af1722e8fdf8b5bb0df72d6dbac60d09
cosmos 2519,Cosmos 2519 co-orbital anti-satellite system,188261;188253;188257,a708,,,antisatsystem,Antisatsystem,Cosmos 2519 co-orbital anti-satellite system,,milpress_mentionee,3a5e552c5cbc1df1608d02f6fced8012,milpress_mentionee__3a5e552c5cbc1df1608d02f6fced8012
cosmos 2521,Cosmos 2521 co-orbital anti-satellite system,188261;188253;188257,a708,,,antisatsystem,Antisatsystem,Cosmos 2521 co-orbital anti-satellite system,,milpress_mentionee,8ea3825f736082b2247ed39edd9edac9,milpress_mentionee__8ea3825f736082b2247ed39edd9edac9
cosmos 2523,Cosmos 2523 co-orbital anti-satellite system,188261;188253;188257,a708,,,antisatsystem,Antisatsystem,Cosmos 2523 co-orbital anti-satellite system,,milpress_mentionee,01714e51f4cfde2ad5398bc95193788e,milpress_mentionee__01714e51f4cfde2ad5398bc95193788e
cosmos 2542,Cosmos 2542 co-orbital anti-satellite system,188261;188253;188257,a708,,,antisatsystem,Antisatsystem,Cosmos 2542 co-orbital anti-satellite system,,milpress_mentionee,074e9f1c2c6d667d8a7b7b44cfd0ee7d,milpress_mentionee__074e9f1c2c6d667d8a7b7b44cfd0ee7d
cosmos 2543,Cosmos 2543 co-orbital anti-satellite system,188261;188253;188257,a708,,,antisatsystem,Antisatsystem,Cosmos 2543 co-orbital anti-satellite system,,milpress_mentionee,bf2ff6cea728d6e51e18f44d61f261c8,milpress_mentionee__bf2ff6cea728d6e51e18f44d61f261c8
cosmos 2535,Cosmos 2535 co-orbital anti-satellite system,188261;188253;188257,a708,,,antisatsystem,Antisatsystem,Cosmos 2535 co-orbital anti-satellite system,,milpress_mentionee,c3a2169c8627fccd81bbaa5ed566bf0e,milpress_mentionee__c3a2169c8627fccd81bbaa5ed566bf0e
cosmos 2536,Cosmos 2536 co-orbital anti-satellite system,188261;188253;188257,a708,,,antisatsystem,Antisatsystem,Cosmos 2536 co-orbital anti-satellite system,,milpress_mentionee,bb7e5d5af30938be1ebcbbbcc5f9d5f0,milpress_mentionee__bb7e5d5af30938be1ebcbbbcc5f9d5f0
9m730 burevestnik,9M730 Burevestnik nuclear-powered cruise missile,188258;188253,a708,,,antisatsystem,Antisatsystem,9M730 Burevestnik nuclear-powered cruise missile,,milpress_mentionee,9fc029c5b3854de1952d0cbdfd91086a,milpress_mentionee__9fc029c5b3854de1952d0cbdfd91086a
a-235 pl-19 nudol,A-235 PL-19 Nudol anti-satellite missile system,188261;188253;188257,a708,,,antisatsystem,Antisatsystem,A-235 PL-19 Nudol anti-satellite missile system,,milpress_mentionee,ba194df9e636d29ab607cdf986ef4e2d,milpress_mentionee__ba194df9e636d29ab607cdf986ef4e2d
