handle,caption_name,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
eslavin_stripes,Defense reporter,,AAEntity,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
john_vandiver,Defense reporter,,CompanyKeyword,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
cygnusx112,Defense reporter,,DiplomaticFacilities,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
arawnsley,Defense reporter,,Wells,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
cavasships,Defense reporter,,IndustryTerm,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
combatair,Defense reporter,,Shipping,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
marcusreports,Defense reporter,,FTO,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
phildstewart,Defense reporter,,AAEntity,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
mgerrydoyle,Defense reporter,,Consulates,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
aviation_intel,Defense reporter,,Pipeline,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
thebaseleg,Defense reporter,,Consulates,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
dperi84,Defense reporter,,Person,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
p_vineeta,Defense reporter,,Person,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
writetake,Defense reporter,,LegislativeCommittee,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
pradiprsagar,Defense reporter,,Media,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
manupubby,Defense reporter,,Pipeline,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
sneheshphilip,Defense reporter,,News,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
opallrome,Defense reporter,,Person,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
judaharigross,Defense reporter,,Shipping,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
kimgamel,Defense reporter,,Diplomat,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
joshjonsmith,Defense reporter,,ForeignMinistry,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
mahmouedgamal44,Defense reporter,,Pipeline,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
janearraf,Defense reporter,,CompanyKeyword,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
naveed360,Defense reporter,,Legislator,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
asirifernandolk,Defense reporter,,DiplomaticFacilities,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
kianpourworld,Defense reporter,,Keyphrase,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
rupaharia,Defense reporter,,DiplomaticFacilities,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
los_fisher,Defense reporter,,FTO,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
chrisg_nsf,Defense reporter,,Legislator,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
sandra_i_erwin,Defense reporter,,CompanyKeyword,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
topol_mss27,Defense reporter,,FTO,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
acapaccio,Defense reporter,,IndustryTerm,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
adegrandpre,Defense reporter,,Consulates,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
amyfiscus,Defense reporter,,Media,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
andclev,Defense reporter,,Keyphrase,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
andrewtilghman,Defense reporter,,DiplomaticFacilities,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
avweekguy,Defense reporter,,News,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
avweekleeann,Defense reporter,,Refinery,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
beverstine,Defense reporter,,AAEntity,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
carlababbvoa,Defense reporter,,Refinery,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
carlwoog,Defense reporter,,Refinery,Defense reporter,,milpress_mentionereng,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionereng__aaacac6e3e713fe9a68334b9c381dfbd
