handle,caption_name,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
vguillermard,Defense reporter,,News,Defense reporter,,milpress_mentionerfor,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionerfor__aaacac6e3e713fe9a68334b9c381dfbd
vincentlamigeon,Defense reporter,,Wells,Defense reporter,,milpress_mentionerfor,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionerfor__aaacac6e3e713fe9a68334b9c381dfbd
henrikenhmann,Defense reporter,,FTO,Defense reporter,,milpress_mentionerfor,aaacac6e3e713fe9a68334b9c381dfbd,milpress_mentionerfor__aaacac6e3e713fe9a68334b9c381dfbd
defensearab,Arab Defense News,,Keyphrase,Arab Defense News,,milpress_mentionerfor,c220cf7009be12677b4e0ed2d734e20f,milpress_mentionerfor__c220cf7009be12677b4e0ed2d734e20f
zvezdanews,Zvezda News,,Legislator,Zvezda News,,milpress_mentionerfor,83f01930c5f27f05dbfefa84c776d5bd,milpress_mentionerfor__83f01930c5f27f05dbfefa84c776d5bd
defpostmedia,DefPost,,Legislator,DefPost,,milpress_mentionerfor,204f8946ed67e5035fa9099dcf8c5921,milpress_mentionerfor__204f8946ed67e5035fa9099dcf8c5921
oedosoldier,Military analyst,,Wells,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
bunkeralpha,Military analyst,,space,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
0space0,Military analyst,,space,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
jpg2t785,Military analyst,,Organization,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
rikwoertman,Military analyst,,Diplomat,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
leifnixon,Military analyst,,LegislativeCommittee,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
serkanngzli,Military analyst,,Wells,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
rebeccarambar,Military analyst,,DiplomaticFacilities,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
finnbswl,Military analyst,,space,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
ajdpresse,Military analyst,,Pipeline,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
defense137,Military analyst,,AAEntity,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
fotoflota,Military analyst,,FTO,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
fauteuilcolbert,Military analyst,,ForeignMinistry,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
pescaraspotters,Military analyst,,Diplomat,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
zelenyikoteyka,Military analyst,,Organization,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
gepardtatze,Military analyst,,Pipeline,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
eat_sleep_mcm,Military analyst,,ForeignMinistry,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
racki173,Military analyst,,FTO,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
madeindeunavy,Military analyst,,LegislativeCommittee,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
svenreh,Military analyst,,space,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
stam_a337,Military analyst,,space,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
deptula_david,Military analyst,,AAEntity,Military analyst,,milpress_mentionerfor,c54146d8d3da14428863e9de81d8e317,milpress_mentionerfor__c54146d8d3da14428863e9de81d8e317
argenelespacio,Argentina En El Epsacio,,Media,Argentina En El Epsacio,,milpress_mentionerfor,145f5069122ac9f41e331a27cce6afb7,milpress_mentionerfor__145f5069122ac9f41e331a27cce6afb7
spacelabsbrazil,Space Labs Brazil,,Keyphrase,Space Labs Brazil,,milpress_mentionerfor,dbaceab914f4488a0d6aa2eb2648fe24,milpress_mentionerfor__dbaceab914f4488a0d6aa2eb2648fe24
quebecscience,Quebec Science,,Pipeline,Quebec Science,,milpress_mentionerfor,31aed04fb2735d9f04f00e2165f06128,milpress_mentionerfor__31aed04fb2735d9f04f00e2165f06128
skaigr,Skai,skai;water,Media,Skai,,milpress_mentionerfor,f6907d2b03e110de86bb458bdac4ec20,milpress_mentionerfor__f6907d2b03e110de86bb458bdac4ec20
tx_spacenews,TV Tokyo,tvtokyo;water,Organization,TV Tokyo,,milpress_mentionerfor,3d95b7e518373a70aa342d8ed498ce9d,milpress_mentionerfor__3d95b7e518373a70aa342d8ed498ce9d
aucklandspace,Auckland Space,aucklandspace;water,News,Auckland Space,,milpress_mentionerfor,977f863764b69a30d3fa79f9d7a9b997,milpress_mentionerfor__977f863764b69a30d3fa79f9d7a9b997
spaceappsphil,NASA Space Apps Philippines,nasaspaceappsphilippines;water,Legislator,NASA Space Apps Philippines,,milpress_mentionerfor,b06d15ab6497f431b3ef8c3fcec89b02,milpress_mentionerfor__b06d15ab6497f431b3ef8c3fcec89b02
portugalspace,Portugal Space,portugalspace;water,Wells,Portugal Space,,milpress_mentionerfor,b7122ac26426a6514a7eabda576b11ad,milpress_mentionerfor__b7122ac26426a6514a7eabda576b11ad
lentaruofficial,Lenta Russia,lentarussia;water,Legislator,Lenta Russia,,milpress_mentionerfor,fcc120351d7a5cb48e5474804825a4f2,milpress_mentionerfor__fcc120351d7a5cb48e5474804825a4f2
rianru,RIA Novosti,rianovosti;water,News,RIA Novosti,,milpress_mentionerfor,46c0daaa502e56ee1eea2538afc65f9e,milpress_mentionerfor__46c0daaa502e56ee1eea2538afc65f9e
onlarissa,On Larissa,,ForeignMinister,On Larissa,,milpress_mentionerfor,5d17d95fbd86762c403bb97463c042b9,milpress_mentionerfor__5d17d95fbd86762c403bb97463c042b9
radio999bg,Radio 999,,AAEntity,Radio 999,,milpress_mentionerfor,4f04abdca3ba50662587c5bf20c1f80b,milpress_mentionerfor__4f04abdca3ba50662587c5bf20c1f80b
rhamnascoop,Rhamna Scoop,,Consulates,Rhamna Scoop,,milpress_mentionerfor,b364228308f281ce75fb2d6244e27585,milpress_mentionerfor__b364228308f281ce75fb2d6244e27585
lc_nl,Leeuwarder Courant,,AAEntity,Leeuwarder Courant,,milpress_mentionerfor,284b71a6f9256691b635c286015328ba,milpress_mentionerfor__284b71a6f9256691b635c286015328ba
harjuelu,Harju Elu,,Media,Harju Elu,,milpress_mentionerfor,ba99c2d2ae9e528fe6d5ade73b714279,milpress_mentionerfor__ba99c2d2ae9e528fe6d5ade73b714279
denniksme,My Zvolen,,Wells,My Zvolen,,milpress_mentionerfor,1c89a25ea1b8491323d53e0922f9598d,milpress_mentionerfor__1c89a25ea1b8491323d53e0922f9598d
denikcz,Denik,,ForeignMinister,Denik,,milpress_mentionerfor,f991ab68cd41d1798601440df93b571c,milpress_mentionerfor__f991ab68cd41d1798601440df93b571c
