keyword,caption_name,Caption Example,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
methylphenidate,methylphenidate,"""methylphenidate""",Keyphrase,methylphenidate,,narco_dgm_mapping,291caa562bec61361e7a40c3a29c9ad7,narco_dgm_mapping__291caa562bec61361e7a40c3a29c9ad7
heroin mixed with marijuana,heroin mixed with marijuana,"""heroin mixed with marijuana""",Wells,heroin mixed with marijuana,,narco_dgm_mapping,c25979cee6804d99bcf4922ccd9caa17,narco_dgm_mapping__c25979cee6804d99bcf4922ccd9caa17
heroin,heroin,"""heroin""",LegislativeCommittee,heroin,,narco_dgm_mapping,66c4e6fa3361e746620634353e6f15e3,narco_dgm_mapping__66c4e6fa3361e746620634353e6f15e3
fentanyl,fentanyl,"""fentanyl""",IndustryTerm,fentanyl,,narco_dgm_mapping,a2266bea0e0b9ec32d8dcd7ee86c12a5,narco_dgm_mapping__a2266bea0e0b9ec32d8dcd7ee86c12a5
xanax,xanax,"""xanax""",IndustryTerm,xanax,,narco_dgm_mapping,e47388012bbe22589ec4af96e2808e4e,narco_dgm_mapping__e47388012bbe22589ec4af96e2808e4e
acetaminophen-hydrocodone,acetaminophen-hydrocodone,"""acetaminophen-hydrocodone""",Wells,acetaminophen-hydrocodone,,narco_dgm_mapping,4d7a13a8a396d265a350ccc04dfadb86,narco_dgm_mapping__4d7a13a8a396d265a350ccc04dfadb86
acetyl fentanyl,acetyl fentanyl,"""acetyl fentanyl""",DiplomaticFacilities,acetyl fentanyl,,narco_dgm_mapping,b5d815dd7e2361af8ad3aecee06eca15,narco_dgm_mapping__b5d815dd7e2361af8ad3aecee06eca15
cocaine,cocaine,"""cocaine""",Wells,cocaine,,narco_dgm_mapping,627b30a713d41bcf4a7bb4765c90bd9e,narco_dgm_mapping__627b30a713d41bcf4a7bb4765c90bd9e
opium,opium,"""opium""",Organization,opium,,narco_dgm_mapping,6afc16e4d47b14fa1a0834cdf66001c8,narco_dgm_mapping__6afc16e4d47b14fa1a0834cdf66001c8
benzodiazepine,benzodiazepine,"""benzodiazepine""",Exec,benzodiazepine,,narco_dgm_mapping,41c16e99779b1fa0c0873a314f61efc8,narco_dgm_mapping__41c16e99779b1fa0c0873a314f61efc8
benzodiazepines,benzodiazepines,"""benzodiazepines""",Keyphrase,benzodiazepines,,narco_dgm_mapping,0d9dcacde917e68ad4765ea4060e9780,narco_dgm_mapping__0d9dcacde917e68ad4765ea4060e9780
oxycodone,oxycodone,"""oxycodone""",Keyphrase,oxycodone,,narco_dgm_mapping,d5d554790c974e8783821dfd8e208252,narco_dgm_mapping__d5d554790c974e8783821dfd8e208252
diazepam,diazepam,"""diazepam""",Keyphrase,diazepam,,narco_dgm_mapping,60e35ca8363a9f9dff8868112a0a5369,narco_dgm_mapping__60e35ca8363a9f9dff8868112a0a5369
hydrocodone,hydrocodone,"""hydrocodone""",Wells,hydrocodone,,narco_dgm_mapping,22c8bb0ff4da51126ae2ba746ab01fdf,narco_dgm_mapping__22c8bb0ff4da51126ae2ba746ab01fdf
morphine,morphine,"""morphine""",CompanyKeyword,morphine,,narco_dgm_mapping,ddf2805b5fff8b11b77adf537cd43c66,narco_dgm_mapping__ddf2805b5fff8b11b77adf537cd43c66
