handle,caption_name,location_lower,include_groups,entity_type,location,lat,long,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
1tvnewsaf,Afghan news outlet 1TV,afghanistan,agriculture minister;agriculture ministry,hnmn,Afghanistan,33.93911,67.709953,,Hnmn,Afghan news outlet 1TV,,noneng_dgm_agr_mentioner_entities,5cd9d1dd9873f43d6a9737a29b581570,noneng_dgm_agr_mentioner_entities__5cd9d1dd9873f43d6a9737a29b581570
ariananews_,Afghan news outlet Ariana News,afghanistan,agriculture minister;agriculture ministry,hnmn,Afghanistan,33.93911,67.709953,,Hnmn,Afghan news outlet Ariana News,,noneng_dgm_agr_mentioner_entities,a3f4dcce9cd57c452d1fedc4b41eac26,noneng_dgm_agr_mentioner_entities__a3f4dcce9cd57c452d1fedc4b41eac26
pajhwok,Afghan news outlet Pajhwok Afghan News,afghanistan,agriculture minister;agriculture ministry,hnmn,Afghanistan,33.93911,67.709953,,Hnmn,Afghan news outlet Pajhwok Afghan News,,noneng_dgm_agr_mentioner_entities,2f7725581a6210badd1e4ddade147dd4,noneng_dgm_agr_mentioner_entities__2f7725581a6210badd1e4ddade147dd4
shamshadnetwork,Afghan news outlet Shamshad Radio & Television Network,afghanistan,agriculture minister;agriculture ministry,hnmn,Afghanistan,33.93911,67.709953,,Hnmn,Afghan news outlet Shamshad Radio & Television Network,,noneng_dgm_agr_mentioner_entities,852f6497fbe4d313d99c43c73f1a8ccf,noneng_dgm_agr_mentioner_entities__852f6497fbe4d313d99c43c73f1a8ccf
tolonews,Afghan news outlet TOLOnews,afghanistan,agriculture minister;agriculture ministry,hnmn,Afghanistan,33.93911,67.709953,,Hnmn,Afghan news outlet TOLOnews,,noneng_dgm_agr_mentioner_entities,592978ef3a3e0f2d6d5ad41ec52a11cc,noneng_dgm_agr_mentioner_entities__592978ef3a3e0f2d6d5ad41ec52a11cc
balkanwebcom,Albanian news outlet BalkanWeb,albania,agriculture minister;agriculture ministry,hnmn,Albania,41.153332,20.168331,,Hnmn,Albanian news outlet BalkanWeb,,noneng_dgm_agr_mentioner_entities,afb00bb0c807c88555ee490be640fa84,noneng_dgm_agr_mentioner_entities__afb00bb0c807c88555ee490be640fa84
gazetaexpress,Albanian news outlet Gazeta Express,albania,agriculture minister;agriculture ministry,hnmn,Albania,41.153332,20.168331,,Hnmn,Albanian news outlet Gazeta Express,,noneng_dgm_agr_mentioner_entities,b059be5386c4652a1d872e2861dc51f6,noneng_dgm_agr_mentioner_entities__b059be5386c4652a1d872e2861dc51f6
gazeta_panorama,Albanian news outlet Gazeta Panorama,albania,agriculture minister;agriculture ministry,hnmn,Albania,41.153332,20.168331,,Hnmn,Albanian news outlet Gazeta Panorama,,noneng_dgm_agr_mentioner_entities,476051b57319e128edd15b41ce13e290,noneng_dgm_agr_mentioner_entities__476051b57319e128edd15b41ce13e290
shqiptaregazeta,Albanian news outlet Gazeta Shqiptare,albania,agriculture minister;agriculture ministry,hnmn,Albania,41.153332,20.168331,,Hnmn,Albanian news outlet Gazeta Shqiptare,,noneng_dgm_agr_mentioner_entities,4a2839788bcf029c1f5e60dfe3990b71,noneng_dgm_agr_mentioner_entities__4a2839788bcf029c1f5e60dfe3990b71
oranewsrtv,Albanian news outlet Ora News,albania,agriculture minister;agriculture ministry,hnmn,Albania,41.153332,20.168331,,Hnmn,Albanian news outlet Ora News,,noneng_dgm_agr_mentioner_entities,3b4820b43b225fb65f7c21ae21c79912,noneng_dgm_agr_mentioner_entities__3b4820b43b225fb65f7c21ae21c79912
