handle,caption_name,location_lower,exclude_groups,include_groups,entity_type,location,lat,long,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
agriculturaar,Argentinian agriculture ministry,argentina,argentina;country;stateprovince,,agriculture ministry,Argentina,-38.416097,-63.616672,AgricultureMinistry,Argentinian agriculture ministry,,noneng_dgm_agr_mentioner_government,d0a4ec4c3220e9c8397cd0fb9a39ba01,noneng_dgm_agr_mentioner_government__d0a4ec4c3220e9c8397cd0fb9a39ba01
mapa_brasil,Brazilian Ministry of Agriculture,brazil,brazil;country;stateprovince,,agriculture ministry,Brazil,-14.235004,-51.92528,AgricultureMinistry,Brazilian Ministry of Agriculture,,noneng_dgm_agr_mentioner_government,59cda43e69b377509263abcdf1d1a738,noneng_dgm_agr_mentioner_government__59cda43e69b377509263abcdf1d1a738
aac_canada,Canadian Department of Agriculture and Agri-Food,canada,canada;country;stateprovince,,agriculture ministry,Canada,56.130366,-106.346771,AgricultureMinistry,Canadian Department of Agriculture and Agri-Food,,noneng_dgm_agr_mentioner_government,40206f168fcfb17cdba239a40961557f,noneng_dgm_agr_mentioner_government__40206f168fcfb17cdba239a40961557f
agri_gouv,French Ministry of Agriculture and Food,france,france;country;stateprovince,,agriculture ministry,France,46.227638,2.213749,AgricultureMinistry,French Ministry of Agriculture and Food,,noneng_dgm_agr_mentioner_government,f93ce164cf146b353b770492f0c1f930,noneng_dgm_agr_mentioner_government__f93ce164cf146b353b770492f0c1f930
bmel,German Federal Ministry of Food and Agriculture,germany,germany;country;stateprovince,,agriculture ministry,Germany,51.165691,10.451526,AgricultureMinistry,German Federal Ministry of Food and Agriculture,,noneng_dgm_agr_mentioner_government,6468065b579a00e483d04da1cc106be9,noneng_dgm_agr_mentioner_government__6468065b579a00e483d04da1cc106be9
agrigoi,Indian agriculture ministry,india,india;country;stateprovince,,agriculture ministry,India,20.593684,78.96288,AgricultureMinistry,Indian agriculture ministry,,noneng_dgm_agr_mentioner_government,d00bbd679e4ba5fc22d35625f5588af3,noneng_dgm_agr_mentioner_government__d00bbd679e4ba5fc22d35625f5588af3
kementan,Indonesian agriculture ministry,indonesia,indonesia;country;stateprovince,,agriculture ministry,Indonesia,-0.789275,113.921327,AgricultureMinistry,Indonesian agriculture ministry,,noneng_dgm_agr_mentioner_government,952535fd3d139d75d571df768e185d6c,noneng_dgm_agr_mentioner_government__952535fd3d139d75d571df768e185d6c
mipaaf_,Italian agriculture ministry,italy,italy;country;stateprovince,,agriculture ministry,Italy,41.87194,12.56738,AgricultureMinistry,Italian agriculture ministry,,noneng_dgm_agr_mentioner_government,dfc039a26db89c6fc7a60da6384d4ad4,noneng_dgm_agr_mentioner_government__dfc039a26db89c6fc7a60da6384d4ad4
maff_japan,Japanese agriculture ministry,japan,japan;country;stateprovince,,agriculture ministry,Japan,36.204824,138.252924,AgricultureMinistry,Japanese agriculture ministry,,noneng_dgm_agr_mentioner_government,0815e2d433a42a3762d03ef3e89155dd,noneng_dgm_agr_mentioner_government__0815e2d433a42a3762d03ef3e89155dd
mafrakorea,South Korean agriculture ministry,south korea,south korea;country;stateprovince,,agriculture ministry,South Korea,35.907757,127.766922,AgricultureMinistry,South Korean agriculture ministry,,noneng_dgm_agr_mentioner_government,0c290ef102ea64722e3f36022096a195,noneng_dgm_agr_mentioner_government__0c290ef102ea64722e3f36022096a195
