handle,caption_name,location_lower,include_groups,entity_type,Lat,Lon,,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
pekairport,Beijing Capital International Airport,beijing,agency;agency leadership;tsa iir;airport security;pre checks,airport,40.0798573,116.6031121,,,Airport,Beijing Capital International Airport,,noneng_dgm_tsa_mentioner_entities,ed30cac461223ce59cc9245136ad673f,noneng_dgm_tsa_mentioner_entities__ed30cac461223ce59cc9245136ad673f
dxb,Dubai International Airport,dubai,agency;agency leadership;tsa iir;airport security;pre checks,airport,25.2531745,55.3656728,,,Airport,Dubai International Airport,,noneng_dgm_tsa_mentioner_entities,a67f5a8abc1c0bffea5775eb43cdbaca,noneng_dgm_tsa_mentioner_entities__a67f5a8abc1c0bffea5775eb43cdbaca
haneda_official,Tokyo International Airport,tokyo,agency;agency leadership;tsa iir;airport security;pre checks,airport,35.5493932,139.7798386,,,Airport,Tokyo International Airport,,noneng_dgm_tsa_mentioner_entities,b3e964488f539118a11402af487bd0b6,noneng_dgm_tsa_mentioner_entities__b3e964488f539118a11402af487bd0b6
parisaeroport,Paris Charles de Gaulle Airport,paris,agency;agency leadership;tsa iir;airport security;pre checks,airport,49.0096739,2.547966,,,Airport,Paris Charles de Gaulle Airport,,noneng_dgm_tsa_mentioner_entities,1d7c647cce6b446c16554364103e826a,noneng_dgm_tsa_mentioner_entities__1d7c647cce6b446c16554364103e826a
schiphol,Amsterdam Airport Schiphol,amsterdam,agency;agency leadership;tsa iir;airport security;pre checks,airport,52.3105386,4.7682744,,,Airport,Amsterdam Airport Schiphol,,noneng_dgm_tsa_mentioner_entities,816ee56665fdadf89c8eda1dbda09693,noneng_dgm_tsa_mentioner_entities__816ee56665fdadf89c8eda1dbda09693
hkairport,Hong Kong International Airport,hong kong,agency;agency leadership;tsa iir;airport security;pre checks,airport,22.308047,113.9184808,,,Airport,Hong Kong International Airport,,noneng_dgm_tsa_mentioner_entities,f88cd6fa9d3fc972303b713a43bc5b8b,noneng_dgm_tsa_mentioner_entities__f88cd6fa9d3fc972303b713a43bc5b8b
airport_fra,Frankfurt Airport,frankfurt,agency;agency leadership;tsa iir;airport security;pre checks,airport,50.0379326,8.5621518,,,Airport,Frankfurt Airport,,noneng_dgm_tsa_mentioner_entities,6fe5c075d1ef054e2b9d0274e6fc22fe,noneng_dgm_tsa_mentioner_entities__6fe5c075d1ef054e2b9d0274e6fc22fe
delhiairport,Indira Gandhi International Airport,new delhi,agency;agency leadership;tsa iir;airport security;pre checks,airport,28.5561624,77.0999578,,,Airport,Indira Gandhi International Airport,,noneng_dgm_tsa_mentioner_entities,63a3ccbcbbd4c1bc7d20441da10cc230,noneng_dgm_tsa_mentioner_entities__63a3ccbcbbd4c1bc7d20441da10cc230
changiairport,Singapore Changi Airport,singapore,agency;agency leadership;tsa iir;airport security;pre checks,airport,1.3644202,103.9915308,,,Airport,Singapore Changi Airport,,noneng_dgm_tsa_mentioner_entities,bd88d9590ed4eb5330c84f494a6b7584,noneng_dgm_tsa_mentioner_entities__bd88d9590ed4eb5330c84f494a6b7584
suvarnabhumiair,Suvarnabhumi Airport,bangkok,agency;agency leadership;tsa iir;airport security;pre checks,airport,13.6899991,100.7501124,,,Airport,Suvarnabhumi Airport,,noneng_dgm_tsa_mentioner_entities,99b5e10bcf2db49c0968e7a1dcabb89e,noneng_dgm_tsa_mentioner_entities__99b5e10bcf2db49c0968e7a1dcabb89e
cgk_ap2,Soekarno–Hatta International Airport,jakarta,agency;agency leadership;tsa iir;airport security;pre checks,airport,-6.1275282,106.6537058,,,Airport,Soekarno–Hatta International Airport,,noneng_dgm_tsa_mentioner_entities,b29e6f40350ed281083b58a696e52c2b,noneng_dgm_tsa_mentioner_entities__b29e6f40350ed281083b58a696e52c2b
igairport,Istanbul Airport,istanbul,agency;agency leadership;tsa iir;airport security;pre checks,airport,41.2599,28.7427,,,Airport,Istanbul Airport,,noneng_dgm_tsa_mentioner_entities,83cc0a62d551db6b13a0e12817bed1f6,noneng_dgm_tsa_mentioner_entities__83cc0a62d551db6b13a0e12817bed1f6
aicm_mx,Mexico City International Airport,mexico city,agency;agency leadership;tsa iir;airport security;pre checks,airport,19.4360762,-99.0719083,,,Airport,Mexico City International Airport,,noneng_dgm_tsa_mentioner_entities,09bc471e4505c5e9b565707ef052369c,noneng_dgm_tsa_mentioner_entities__09bc471e4505c5e9b565707ef052369c
