icao,iata,location,caption_name,country,location_name,lat,lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
oabn,BIM,Bamyan,Bamyan Airport,Afghanistan,"Bamyan Airport, Bamyan, Afghanistan",34.8128608,67.828122,Shipping,Bamyan Airport,,notam_icao_to_location,e934e718c9b1e7c111f89668d15a2bed,notam_icao_to_location__e934e718c9b1e7c111f89668d15a2bed
oabt,BST,Bost,Bost Airport,Afghanistan,"Bost Airport, Bost, Afghanistan",31.5604442,64.3649483,LegislativeCommittee,Bost Airport,,notam_icao_to_location,3d5005f49dbef3790f0e841e446c16cd,notam_icao_to_location__3d5005f49dbef3790f0e841e446c16cd
oaix,BPM,Bagram,Bagram Air Base,Afghanistan,"Bagram Air Base, Bagram, Afghanistan",34.9402503,69.2549736,Media,Bagram Air Base,,notam_icao_to_location,35baf855de1d612b6b264b756c3de810,notam_icao_to_location__35baf855de1d612b6b264b756c3de810
oacc,CCN,Charkhcharan,Chaghcharan Airport,Afghanistan,"Chaghcharan Airport, Charkhcharan, Afghanistan",34.5270183,65.2753188,Organization,Chaghcharan Airport,,notam_icao_to_location,7c377971bda46fc5f2974f18bb39d148,notam_icao_to_location__7c377971bda46fc5f2974f18bb39d148
oafz,FBD,Fayzabad,Fayzabad Airport,Afghanistan,"Fayzabad Airport, Fayzabad, Afghanistan",37.1215042,70.5190562,ForeignMinistry,Fayzabad Airport,,notam_icao_to_location,589dc788755efe1b1732e7f9b7b7a4ee,notam_icao_to_location__589dc788755efe1b1732e7f9b7b7a4ee
oafr,FAH,Farah,Farah Airport,Afghanistan,"Farah Airport, Farah, Afghanistan",32.368134,62.1615256,Consulates,Farah Airport,,notam_icao_to_location,74f254f8979170a7f98a74cea987b43b,notam_icao_to_location__74f254f8979170a7f98a74cea987b43b
oagz,GRG,Gardez,Gardez Airport,Afghanistan,"Gardez Airport, Gardez, Afghanistan",33.6280483,69.2378384,Wells,Gardez Airport,,notam_icao_to_location,3955f1e963e5fa1dda203b05ac323ecd,notam_icao_to_location__3955f1e963e5fa1dda203b05ac323ecd
oahr,HEA,Herat,Herat Airport,Afghanistan,"Herat Airport, Herat, Afghanistan",34.2132522,62.2259634,Consulates,Herat Airport,,notam_icao_to_location,3cb2b84e956eb370e2546ebaa2cf536b,notam_icao_to_location__3cb2b84e956eb370e2546ebaa2cf536b
oajl,JAA,Jalalabad,Jalalabad Airport,Afghanistan,"Jalalabad Airport, Jalalabad, Afghanistan",34.4020585,70.4973401,FTO,Jalalabad Airport,,notam_icao_to_location,949185e9f1067db8186ee695ca6703f1,notam_icao_to_location__949185e9f1067db8186ee695ca6703f1
oakb,KBL,Kabul,Hamid Karzai Airport,Afghanistan,"Hamid Karzai Airport, Kabul, Afghanistan",34.5614444,69.2100623,FTO,Hamid Karzai Airport,,notam_icao_to_location,f5a854216edc302394266eca839507de,notam_icao_to_location__f5a854216edc302394266eca839507de
oakn,KDH,Kandahar,Kandahar Airport,Afghanistan,"Kandahar Airport, Kandahar, Afghanistan",31.5022998,65.8507244,Legislator,Kandahar Airport,,notam_icao_to_location,2aeea0a654d871f6fad19fff6bdcfe7b,notam_icao_to_location__2aeea0a654d871f6fad19fff6bdcfe7b
oaks,KHT,Khost,Khost Airport,Afghanistan,"Khost Airport, Khost, Afghanistan",33.3368438,69.9595153,LegislativeCommittee,Khost Airport,,notam_icao_to_location,e3ac6fd27fc743aad59490dca311c582,notam_icao_to_location__e3ac6fd27fc743aad59490dca311c582
oahn,KWH,Khwahan,Khwahan Airport,Afghanistan,"Khwahan Airport, Khwahan, Afghanistan",37.8921452,70.2037578,FTO,Khwahan Airport,,notam_icao_to_location,0096be96fd66a81d581725949c8a29a4,notam_icao_to_location__0096be96fd66a81d581725949c8a29a4
oauz,UND,Kunduz,Kunduz Airport,Afghanistan,"Kunduz Airport, Kunduz, Afghanistan",36.6632762,68.9107399,Pipeline,Kunduz Airport,,notam_icao_to_location,270e65722c601d77a082e5d01738ca60,notam_icao_to_location__270e65722c601d77a082e5d01738ca60
oamn,MMZ,Maymana,Maymana Airport,Afghanistan,"Maymana Airport, Maymana, Afghanistan",35.9265263,64.7658821,ForeignMinistry,Maymana Airport,,notam_icao_to_location,7c3f6593330062bb76da763b221b231e,notam_icao_to_location__7c3f6593330062bb76da763b221b231e
oams,MZR,Mazar-i-Sharif,Mazar-i-Sharif Airport,Afghanistan,"Mazar-i-Sharif Airport, Mazar-i-Sharif, Afghanistan",36.6926167,67.1179511,Person,Mazar-i-Sharif Airport,,notam_icao_to_location,ac0dcbf4cc7b9df25a1c0f5f73aa320b,notam_icao_to_location__ac0dcbf4cc7b9df25a1c0f5f73aa320b
oasn,SGA,Sheghnan,Sheghnan Airport,Afghanistan,"Sheghnan Airport, Sheghnan, Afghanistan",37.6907163,71.097317,Exec,Sheghnan Airport,,notam_icao_to_location,eb10336aa304a61d2e42a15b0cdd8ff8,notam_icao_to_location__eb10336aa304a61d2e42a15b0cdd8ff8
oazj,ZAJ,Zaranj,Zaranj Airport,Afghanistan,"Zaranj Airport, Zaranj, Afghanistan",30.9728397,61.8657817,Consulates,Zaranj Airport,,notam_icao_to_location,822f3ca0aad60e5491471f3a57696829,notam_icao_to_location__822f3ca0aad60e5491471f3a57696829
lati,TIA,Tirana,Tirana Airport,Albania,"Tirana Airport, Tirana, Albania",41.4191153,19.7134771,Person,Tirana Airport,,notam_icao_to_location,dc9e195c72beac2d055f8cf148735546,notam_icao_to_location__dc9e195c72beac2d055f8cf148735546
daua,AZR,Adrar,Touat-Cheikh Sidi Mohamed Belkebir Airport,Algeria,"Touat-Cheikh Sidi Mohamed Belkebir Airport, Adrar, Algeria",27.8412452,-0.1880881,Media,Touat-Cheikh Sidi Mohamed Belkebir Airport,,notam_icao_to_location,d01549f9c537ca49dcb1c5b840217ccf,notam_icao_to_location__d01549f9c537ca49dcb1c5b840217ccf
daag,ALG,Algiers,Houari Boumediene Airport,Algeria,"Houari Boumediene Airport, Algiers, Algeria",36.6979218,3.2068672,Exec,Houari Boumediene Airport,,notam_icao_to_location,97921b95256dd48125635cb10f41170d,notam_icao_to_location__97921b95256dd48125635cb10f41170d
dabb,AAE,Annaba,Rabah Bitat Airport,Algeria,"Rabah Bitat Airport, Annaba, Algeria",36.8241923,7.8213134,Exec,Rabah Bitat Airport,,notam_icao_to_location,ce7c679a9680d474327390dee704f364,notam_icao_to_location__ce7c679a9680d474327390dee704f364
daae,BJA,Bejaia,Soummam-Abane Ramdane Airport,Algeria,"Soummam-Abane Ramdane Airport, Bejaia, Algeria",36.7153777,5.0712886,Wells,Soummam-Abane Ramdane Airport,,notam_icao_to_location,b35ff3139581a86fed2f2129aaf850e5,notam_icao_to_location__b35ff3139581a86fed2f2129aaf850e5
datm,BMW,Bordj Mokhtar,Bordj Mokhtar Airport,Algeria,"Bordj Mokhtar Airport, Bordj Mokhtar, Algeria",21.3715706,0.923961,FTO,Bordj Mokhtar Airport,,notam_icao_to_location,8f6d023ef113ffc26b2749f3e7a4829f,notam_icao_to_location__8f6d023ef113ffc26b2749f3e7a4829f
daad,BUJ,Bou Saada,Bou Saada Airport,Algeria,"Bou Saada Airport, Bou Saada, Algeria",35.3244113,4.2001583,Keyphrase,Bou Saada Airport,,notam_icao_to_location,c5fe8e68a8701c33852bb7ca4f1e6635,notam_icao_to_location__c5fe8e68a8701c33852bb7ca4f1e6635
dabc,CZL,Constantine,Mohamed Boudiaf Airport,Algeria,"Mohamed Boudiaf Airport, Constantine, Algeria",36.2834707,6.622142,AAEntity,Mohamed Boudiaf Airport,,notam_icao_to_location,de6517915932b06dff748b01543f3ddc,notam_icao_to_location__de6517915932b06dff748b01543f3ddc
daaj,DJG,Djanet,Tiska Airport,Algeria,"Tiska Airport, Djanet, Algeria",24.2866977,9.460322,ForeignMinistry,Tiska Airport,,notam_icao_to_location,88911f26731d085759241eee9e6cde45,notam_icao_to_location__88911f26731d085759241eee9e6cde45
daue,ELG,El Golea,El Meniaa Airport,Algeria,"El Meniaa Airport, El Golea, Algeria",30.5715451,2.8688733,Person,El Meniaa Airport,,notam_icao_to_location,dab4bcb868fbe2b45554b634da43ccc3,notam_icao_to_location__dab4bcb868fbe2b45554b634da43ccc3
dauo,ELU,El Oued,Guemar Airport,Algeria,"Guemar Airport, El Oued, Algeria",33.5112255,6.7846501,Wells,Guemar Airport,,notam_icao_to_location,77c454de9a5ce340a697bc37f4e6bb49,notam_icao_to_location__77c454de9a5ce340a697bc37f4e6bb49
daug,GHA,Ghardaia,Noumerat-Moufdi Zakaria Airport,Algeria,"Noumerat-Moufdi Zakaria Airport, Ghardaia, Algeria",32.3784904,3.8015247,Organization,Noumerat-Moufdi Zakaria Airport,,notam_icao_to_location,f15885724f362f2fc1bb7e094ec0e77f,notam_icao_to_location__f15885724f362f2fc1bb7e094ec0e77f
dauh,HME,Hassi Messaoud,Oued Irara - Krim Belkacem Airport,Algeria,"Oued Irara - Krim Belkacem Airport, Hassi Messaoud, Algeria",31.6659983,6.1476216,FTO,Oued Irara - Krim Belkacem Airport,,notam_icao_to_location,eef5ba10102465659fe46f091ba1a58b,notam_icao_to_location__eef5ba10102465659fe46f091ba1a58b
datg,INF,In Guezzam,In Guezzam Airport,Algeria,"In Guezzam Airport, In Guezzam, Algeria",19.5635334,5.751027,Legislator,In Guezzam Airport,,notam_icao_to_location,c59aa9589fefba76917bc5b1bb5b5419,notam_icao_to_location__c59aa9589fefba76917bc5b1bb5b5419
