keyword,caption_name,topic_id,type,groups,guid,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
@adnocdist,Emirati state-owned fuel distributor ADNOC Distribution,188162;188132;188121,company handle,adnocdist;adnoc distribution;adnocgroup;abu dhabi national oil company;adnoc;abu dhabi national oil,,CompanyHandle,Emirati state-owned fuel distributor ADNOC Distribution,,og_mentionee_headsofstate,19b440a0fe5456d545d71105ded743d3,og_mentionee_headsofstate__19b440a0fe5456d545d71105ded743d3
@adnocgroup,state-owned Abu Dhabi National Oil Company,188162;188132;188121,company handle,adnocdist;adnoc distribution;adnocgroup;abu dhabi national oil company;adnoc;abu dhabi national oil,26411ae12978b6fa0facf82928dc0903,CompanyHandle,state-owned Abu Dhabi National Oil Company,,og_mentionee_headsofstate,b6438064357c4e0c268f72409028235e,og_mentionee_headsofstate__b6438064357c4e0c268f72409028235e
@akerbpasa,Norwegian oil and gas company Aker BP,188162;188132,company handle,aker bp,,CompanyHandle,Norwegian oil and gas company Aker BP,,og_mentionee_headsofstate,e3d35a7baddded76c3d401fa7444414c,og_mentionee_headsofstate__e3d35a7baddded76c3d401fa7444414c
@alyeskapipeline,US oil pipeline operator Alyeska Pipeline Service Company,188162;188132,company handle,alyeskapipeline;alyeska pipeline service company,,CompanyHandle,US oil pipeline operator Alyeska Pipeline Service Company,,og_mentionee_headsofstate,58fe31acdec210b17bcb8a200f34869e,og_mentionee_headsofstate__58fe31acdec210b17bcb8a200f34869e
@anteroresources,US oil and gas company Antero Resources,188162;188132,company handle,anteroresources;antero resources,742400f6f3e7a58b1c050c3d80631608,CompanyHandle,US oil and gas company Antero Resources,,og_mentionee_headsofstate,3932bec7a8e5076e7214547e9f7e395d,og_mentionee_headsofstate__3932bec7a8e5076e7214547e9f7e395d
@apachecorp,US oil and gas company Apache Corporation,188162;188132,company handle,apa coproration;apachecorp;apache corporation,06fbeced9dbd80bad1f9fbedb6201aea,CompanyHandle,US oil and gas company Apache Corporation,,og_mentionee_headsofstate,67ab59b7a3956a8c4447957eaa809182,og_mentionee_headsofstate__67ab59b7a3956a8c4447957eaa809182
@apagroup,Australian gas pipeline operator APA Group,188162;188132,company handle,apagroup;apa group,4035379a173088766523c464fa17c850,CompanyHandle,Australian gas pipeline operator APA Group,,og_mentionee_headsofstate,38e53cb49167c7e3ae1096a3e534fa3e,og_mentionee_headsofstate__38e53cb49167c7e3ae1096a3e534fa3e
@aramco,Saudi Aramco,188162;188132,company handle,aramco;saudi aramco,7d761b144698b75868118d3b8de3087c,CompanyHandle,Saudi Aramco,,og_mentionee_headsofstate,5778598f60e078e154f54113db7e1f07,og_mentionee_headsofstate__5778598f60e078e154f54113db7e1f07
@bakerhughesco,US oil and gas company Baker Hughes,188162;188132,company handle,bakerhughesco;baker hughes,384ae2e6daea3075beaa74be884c0475,CompanyHandle,US oil and gas company Baker Hughes,,og_mentionee_headsofstate,ccfe4b92af54e45dc38cc3e059276bd3,og_mentionee_headsofstate__ccfe4b92af54e45dc38cc3e059276bd3
@bapco,state-owned Bahrain Petroleum Company,188162;188132;188121,company handle,bapco;bahrain petroleum company,,CompanyHandle,state-owned Bahrain Petroleum Company,,og_mentionee_headsofstate,72efe7ed3f61d098681311f90d1e647b,og_mentionee_headsofstate__72efe7ed3f61d098681311f90d1e647b
@bapco_bahrain,state-owned Bahrain Petroleum Company,188162;188132;188121,company handle,bapco_bahrain;bahrain petroleum company,,CompanyHandle,state-owned Bahrain Petroleum Company,,og_mentionee_headsofstate,df37c38f8856607b2716f85f47507f6a,og_mentionee_headsofstate__df37c38f8856607b2716f85f47507f6a
@bhenergy,US oil and gas company Black Hills Energy,188162;188132,company handle,bhenergy;black hills energy,,CompanyHandle,US oil and gas company Black Hills Energy,,og_mentionee_headsofstate,9c6c9bd84def88d6a72e71cb81154826,og_mentionee_headsofstate__9c6c9bd84def88d6a72e71cb81154826
@bp_america,BP America,188162;188132,company handle,bp;bp_america;bp america,38d8b69ed5061389a56cf5a9dad770db,CompanyHandle,BP America,,og_mentionee_headsofstate,e99b44c9b5cef52951d102437c98a93c,og_mentionee_headsofstate__e99b44c9b5cef52951d102437c98a93c
@bp_australia,BP Australia,188162;188132,company handle,bp;bp_australia;bp australia,38d8b69ed5061389a56cf5a9dad770db,CompanyHandle,BP Australia,,og_mentionee_headsofstate,da9e89c40e05cdd3969a2c62fda3941e,og_mentionee_headsofstate__da9e89c40e05cdd3969a2c62fda3941e
@bp_india,BP India,188162;188132,company handle,bp;bp_india;bp india,38d8b69ed5061389a56cf5a9dad770db,CompanyHandle,BP India,,og_mentionee_headsofstate,f886ab0de0cf101577302d78c6730642,og_mentionee_headsofstate__f886ab0de0cf101577302d78c6730642
@bp_indonesia,BP Indonesia,188162;188132,company handle,bp;bp_indonesia;bp indonesia,38d8b69ed5061389a56cf5a9dad770db,CompanyHandle,BP Indonesia,,og_mentionee_headsofstate,6775bec26dedc1c689ff17829caa05f8,og_mentionee_headsofstate__6775bec26dedc1c689ff17829caa05f8
@bp_middleeast,BP Middle East,188162;188132,company handle,bp;bp_middleeast;bp middle east,38d8b69ed5061389a56cf5a9dad770db,CompanyHandle,BP Middle East,,og_mentionee_headsofstate,2be801599d3c5c0f3caeba12affb6f7a,og_mentionee_headsofstate__2be801599d3c5c0f3caeba12affb6f7a
@bp_oman,BP Oman,188162;188132,company handle,bp;bp_oman;bp oman,38d8b69ed5061389a56cf5a9dad770db,CompanyHandle,BP Oman,,og_mentionee_headsofstate,751ac144f0c9930257b14d1bb34d4799,og_mentionee_headsofstate__751ac144f0c9930257b14d1bb34d4799
