keyword,caption_name,topic_id,type,groups,guid,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
#aasta hansteen,Aasta Hansteen spar,188162;188132,o&g field,aasta hansteen;aasta hansteen spar,,O&gField,Aasta Hansteen spar,,og_mentionee_v3,ae1597e0720561a55d4d5cae217ebf26,og_mentionee_v3__83f906e2067248bf5c81868eec4ea4d3
aasta hansteen,Aasta Hansteen spar,188162;188132,o&g field,aasta hansteen;aasta hansteen spar,,O&gField,Aasta Hansteen spar,,og_mentionee_v3,7126c604246ac12fd5de7b1d96775c42,og_mentionee_v3__83f906e2067248bf5c81868eec4ea4d3
#abadan refinery,Abadan refinery,188162;188132,refinery,abadan refinery;abadan refinery,,Refinery,Abadan refinery,,og_mentionee_v3,bb2f9f9be265577e291c3448cca12878,og_mentionee_v3__e6b7d924d9b4a030d50add4c287b10be
#abadan-raffinaderij,Abadan refinery,188162;188132,refinery,abadan-raffinaderij;abadan refinery,,Refinery,Abadan refinery,,og_mentionee_v3,f6001de6b37f8fb3f16102a1d303f5ad,og_mentionee_v3__e6b7d924d9b4a030d50add4c287b10be
#kilang abadan,Abadan refinery,188162;188132,refinery,kilang abadan;abadan refinery,,Refinery,Abadan refinery,,og_mentionee_v3,75a9b84ee6fb4ea7975bcbfbd5d00d29,og_mentionee_v3__e6b7d924d9b4a030d50add4c287b10be
#raffinerie d'abadan,Abadan refinery,188162;188132,refinery,raffinerie d'abadan;abadan refinery,,Refinery,Abadan refinery,,og_mentionee_v3,81b71a57bb6990731760e24aa5f7add0,og_mentionee_v3__e6b7d924d9b4a030d50add4c287b10be
abadan refinery,Abadan refinery,188162;188132,refinery,abadan refinery;abadan refinery,,Refinery,Abadan refinery,,og_mentionee_v3,d9e7c754b61741ea93fb70ad713cf703,og_mentionee_v3__e6b7d924d9b4a030d50add4c287b10be
abadan-raffinaderij,Abadan refinery,188162;188132,refinery,abadan-raffinaderij;abadan refinery,,Refinery,Abadan refinery,,og_mentionee_v3,e618bcd466666174cd6a6ef9beadce97,og_mentionee_v3__e6b7d924d9b4a030d50add4c287b10be
kilang abadan,Abadan refinery,188162;188132,refinery,kilang abadan;abadan refinery,,Refinery,Abadan refinery,,og_mentionee_v3,08c19c41966355cb0c84effe24b3e0eb,og_mentionee_v3__e6b7d924d9b4a030d50add4c287b10be
raffinerie d'abadan,Abadan refinery,188162;188132,refinery,raffinerie d'abadan;abadan refinery,,Refinery,Abadan refinery,,og_mentionee_v3,2a6536c9f75137c7c5211cb42d3ebcd8,og_mentionee_v3__e6b7d924d9b4a030d50add4c287b10be
پالایشگاه آبادان‎,Abadan refinery,188162;188132,refinery,پالایشگاه آبادان‎;abadan refinery,,Refinery,Abadan refinery,,og_mentionee_v3,5c51cd4d67a0304c14c27413e1db2ac2,og_mentionee_v3__e6b7d924d9b4a030d50add4c287b10be
پالایشگاه نفت آبادان,Abadan refinery,188162;188132,refinery,پالایشگاه نفت آبادان;abadan refinery,,Refinery,Abadan refinery,,og_mentionee_v3,68cea74f86f7ef85b1d5930736a8f170,og_mentionee_v3__e6b7d924d9b4a030d50add4c287b10be
#abidjan refinery,Abidjan refinery,188162;188132,refinery,abidjan refinery;abidjan refinery,,Refinery,Abidjan refinery,,og_mentionee_v3,eaf59ffd484ccd4067396f6935ba82b6,og_mentionee_v3__353a190e27a79dc717542af1409a4b8f
abidjan refinery,Abidjan refinery,188162;188132,refinery,abidjan refinery;abidjan refinery,,Refinery,Abidjan refinery,,og_mentionee_v3,2b67c3f96aa848693059c95ea30b625d,og_mentionee_v3__353a190e27a79dc717542af1409a4b8f
#abqaiq field,Abqaiq oil field,188162;188132,o&g field,abqaiq field;abqaiq oil field,,O&gField,Abqaiq oil field,,og_mentionee_v3,6d5f947c5515834ff9f5aa4c86045b0e,og_mentionee_v3__1caa8bbc866be9b15a839009a89a4763
#abqaiq oil field,Abqaiq oil field,188162;188132,o&g field,abqaiq oil field;abqaiq oil field,,O&gField,Abqaiq oil field,,og_mentionee_v3,18c9923e152add3d2afbb33f05145b1a,og_mentionee_v3__1caa8bbc866be9b15a839009a89a4763
#abqaiq oilfield,Abqaiq oil field,188162;188132,o&g field,abqaiq oilfield;abqaiq oil field,,O&gField,Abqaiq oil field,,og_mentionee_v3,5cd47f3e72f091c0f395616bd8fb0112,og_mentionee_v3__1caa8bbc866be9b15a839009a89a4763
abqaiq field,Abqaiq oil field,188162;188132,o&g field,abqaiq field;abqaiq oil field,,O&gField,Abqaiq oil field,,og_mentionee_v3,22a4acdff65db5a15db357f8eda069d3,og_mentionee_v3__1caa8bbc866be9b15a839009a89a4763
abqaiq oil field,Abqaiq oil field,188162;188132,o&g field,abqaiq oil field;abqaiq oil field,,O&gField,Abqaiq oil field,,og_mentionee_v3,5704e45f211b9c14f3cb463325e334a1,og_mentionee_v3__1caa8bbc866be9b15a839009a89a4763
abqaiq oilfield,Abqaiq oil field,188162;188132,o&g field,abqaiq oilfield;abqaiq oil field,,O&gField,Abqaiq oil field,,og_mentionee_v3,4092f8cd4eb01a2592cdea198998fd6b,og_mentionee_v3__1caa8bbc866be9b15a839009a89a4763
abqaiq yanbu pipeline,Abqaiq-Yanbu pipeline,188162;188132,pipeline,abqaiq yanbu;abqaiq-yanbu pipeline,,Pipeline,Abqaiq-Yanbu pipeline,,og_mentionee_v3,37f24c890e70e325b38c54adfa9caf9d,og_mentionee_v3__5e6cae99bb656eb03e986a964d295381
#abu dhabi refinery,Abu Dhabi refinery,188162;188132,refinery,abu dhabi refinery;abu dhabi refinery,,Refinery,Abu Dhabi refinery,,og_mentionee_v3,09f710691bb8230aab84e01ffb8f6b35,og_mentionee_v3__468fa8d1a263d2b2d11edd839cabea47
abu dhabi refinery,Abu Dhabi refinery,188162;188132,refinery,abu dhabi refinery;abu dhabi refinery,,Refinery,Abu Dhabi refinery,,og_mentionee_v3,6db2a4706abc9c3789f4f5ccc580daa9,og_mentionee_v3__468fa8d1a263d2b2d11edd839cabea47
#abu qir gas fields,Abu Qir gas field,188162;188132,o&g field,abu qir gas fields;abu qir gas field,,O&gField,Abu Qir gas field,,og_mentionee_v3,29010364ef1b12a982b758a729a6ca96,og_mentionee_v3__fb4a488d76cf9d0d92a729fa20478050
