handle,caption_name,location,location_lower,type,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
nicolas_gandini,Commodities reporter,Argentina,argentina,reporter,Reporter,Commodities reporter,,og_mentioner_v3,5379aca1a47b0cc12507e91d6bfc41a0,og_mentioner_v3__5379aca1a47b0cc12507e91d6bfc41a0
rbellato8,Commodities reporter,Argentina,argentina,reporter,Reporter,Commodities reporter,,og_mentioner_v3,5379aca1a47b0cc12507e91d6bfc41a0,og_mentioner_v3__5379aca1a47b0cc12507e91d6bfc41a0
aygunbadalova,Commodities reporter,Azerbaijan,azerbaijan,reporter,Reporter,Commodities reporter,,og_mentioner_v3,5379aca1a47b0cc12507e91d6bfc41a0,og_mentioner_v3__5379aca1a47b0cc12507e91d6bfc41a0
yesar,Commodities analyst,Baghdad,baghdad,analyst,Analyst,Commodities analyst,,og_mentioner_v3,1bc573730d2c69bfbde661212e5f76b5,og_mentioner_v3__1bc573730d2c69bfbde661212e5f76b5
sarahchen,Commodities reporter,beijing,beijing,reporter,Reporter,Commodities reporter,,og_mentioner_v3,5379aca1a47b0cc12507e91d6bfc41a0,og_mentioner_v3__5379aca1a47b0cc12507e91d6bfc41a0
jebblount,Commodities reporter,Brazil,brazil,reporter,Reporter,Commodities reporter,,og_mentioner_v3,5379aca1a47b0cc12507e91d6bfc41a0,og_mentioner_v3__5379aca1a47b0cc12507e91d6bfc41a0
robnikolewski,Commodities reporter,california,california,reporter,Reporter,Commodities reporter,,og_mentioner_v3,5379aca1a47b0cc12507e91d6bfc41a0,og_mentioner_v3__5379aca1a47b0cc12507e91d6bfc41a0
deon_daugherty,Commodities reporter,houston,houston,reporter,Reporter,Commodities reporter,,og_mentioner_v3,5379aca1a47b0cc12507e91d6bfc41a0,og_mentioner_v3__5379aca1a47b0cc12507e91d6bfc41a0
mariannaparraga,Commodities reporter,Houston,houston,reporter,Reporter,Commodities reporter,,og_mentioner_v3,5379aca1a47b0cc12507e91d6bfc41a0,og_mentioner_v3__5379aca1a47b0cc12507e91d6bfc41a0
chigrl,Commodities analyst,illinois,illinois,analyst,Analyst,Commodities analyst,,og_mentioner_v3,1bc573730d2c69bfbde661212e5f76b5,og_mentioner_v3__1bc573730d2c69bfbde661212e5f76b5
gasbuddyguy,Commodities analyst,illinois,illinois,Analyst,Analyst,Commodities analyst,,og_mentioner_v3,1bc573730d2c69bfbde661212e5f76b5,og_mentioner_v3__1bc573730d2c69bfbde661212e5f76b5
