handle,caption_name,location_lower,include_groups,entity_type,Lat,Lon,,exclude_groups,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
washingtonpost,Washington Post,united states,agency;agency leadership;courthouse,beltway press,37.09024,-95.712891,,,BeltwayPress,Washington Post,,press_dgm_usms_mentioner_entities,b6acee444fc2c8bb14ab06ad50055933,press_dgm_usms_mentioner_entities__b6acee444fc2c8bb14ab06ad50055933
politico,Politico,united states,agency;agency leadership;courthouse,beltway press,37.09024,-95.712891,,,BeltwayPress,Politico,,press_dgm_usms_mentioner_entities,6f47622c8d3144c1e61af453f81bf36b,press_dgm_usms_mentioner_entities__6f47622c8d3144c1e61af453f81bf36b
axios,Axios,united states,agency;agency leadership;courthouse,beltway press,37.09024,-95.712891,,,BeltwayPress,Axios,,press_dgm_usms_mentioner_entities,d3e28535c74ccee29182aeb3cf837e98,press_dgm_usms_mentioner_entities__d3e28535c74ccee29182aeb3cf837e98
thehill,The Hill,united states,agency;agency leadership;courthouse,beltway press,37.09024,-95.712891,,,BeltwayPress,The Hill,,press_dgm_usms_mentioner_entities,0714848efe34bb22b8a04020bbedb5a9,press_dgm_usms_mentioner_entities__0714848efe34bb22b8a04020bbedb5a9
cspan,CSPAN,united states,agency;agency leadership;courthouse,beltway press,37.09024,-95.712891,,,BeltwayPress,CSPAN,,press_dgm_usms_mentioner_entities,6f6fb4a8b377bdfdb607bd4b5a6f3d5b,press_dgm_usms_mentioner_entities__6f6fb4a8b377bdfdb607bd4b5a6f3d5b
diplomat_apac,The Diplomat,japan,agency;agency leadership;courthouse,beltway press,36.204824,138.252924,,,BeltwayPress,The Diplomat,,press_dgm_usms_mentioner_entities,9ef19ed74f0a85f7f5d8be676c7acd18,press_dgm_usms_mentioner_entities__9ef19ed74f0a85f7f5d8be676c7acd18
theeconomist,The Economist,uk,agency;agency leadership;courthouse,beltway press,55.378051,-3.435973,,,BeltwayPress,The Economist,,press_dgm_usms_mentioner_entities,5b7d7203aa01ebb6f0cb34fb37fed7e6,press_dgm_usms_mentioner_entities__5b7d7203aa01ebb6f0cb34fb37fed7e6
lmdiplo,Le Monde Diplomatique,uk,agency;agency leadership;courthouse,beltway press,55.378051,-3.435973,,,BeltwayPress,Le Monde Diplomatique,,press_dgm_usms_mentioner_entities,5cdcd28dbd1f990ea054514cb812109a,press_dgm_usms_mentioner_entities__5cdcd28dbd1f990ea054514cb812109a
foreignpolicy,Foreign Policy,united states,agency;agency leadership;courthouse,beltway press,37.09024,-95.712891,,,BeltwayPress,Foreign Policy,,press_dgm_usms_mentioner_entities,8deaa8bde66cc6bf6ffc7d4e48c82f68,press_dgm_usms_mentioner_entities__8deaa8bde66cc6bf6ffc7d4e48c82f68
foreignaffairs,Foreign Affairs,united states,agency;agency leadership;courthouse,beltway press,37.09024,-95.712891,,,BeltwayPress,Foreign Affairs,,press_dgm_usms_mentioner_entities,29b6111bdd9db643cb5f26b0e8a80961,press_dgm_usms_mentioner_entities__29b6111bdd9db643cb5f26b0e8a80961
diplocourier,Diplomatic Courier,united states,agency;agency leadership;courthouse,beltway press,37.09024,-95.712891,,,BeltwayPress,Diplomatic Courier,,press_dgm_usms_mentioner_entities,9ed60cb8d27e48fdb8e7c3232e21232a,press_dgm_usms_mentioner_entities__9ed60cb8d27e48fdb8e7c3232e21232a
wajournal,World Affairs Journal,united states,agency;agency leadership;courthouse,beltway press,37.09024,-95.712891,,,BeltwayPress,World Affairs Journal,,press_dgm_usms_mentioner_entities,b6b3acaba792bf6d50a7faac09b0ef48,press_dgm_usms_mentioner_entities__b6b3acaba792bf6d50a7faac09b0ef48
aeifdp,AEI Foreign Policy,united states,agency;agency leadership;courthouse,beltway press,37.09024,-95.712891,,,BeltwayPress,AEI Foreign Policy,,press_dgm_usms_mentioner_entities,bb251038cba74f80b3d0093579a5631f,press_dgm_usms_mentioner_entities__bb251038cba74f80b3d0093579a5631f
csis,CSIS,united states,agency;agency leadership;courthouse,beltway press,37.09024,-95.712891,,,BeltwayPress,CSIS,,press_dgm_usms_mentioner_entities,1f34bb90e260a3a344ce082b526c16ae,press_dgm_usms_mentioner_entities__1f34bb90e260a3a344ce082b526c16ae
brookingsinst,Brookings Institution,united states,agency;agency leadership;courthouse,beltway press,37.09024,-95.712891,,,BeltwayPress,Brookings Institution,,press_dgm_usms_mentioner_entities,61b9ea7431a070e138a17cdbf52cf2ee,press_dgm_usms_mentioner_entities__61b9ea7431a070e138a17cdbf52cf2ee
cgdev,Center for Global Development,united states,agency;agency leadership;courthouse,beltway press,37.09024,-95.712891,,,BeltwayPress,Center for Global Development,,press_dgm_usms_mentioner_entities,bbeaccd4ad85579ac87bec62c1c4bc44,press_dgm_usms_mentioner_entities__bbeaccd4ad85579ac87bec62c1c4bc44
