keyword,keys,location,lat,lon,ranking,caption_text,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
(abbeydale; field),(Abbeydale; field),"Great Yarmouth, UK",52.5945959,1.729322063,1,"in Abbeydale gas field in North Sea, off UK",Legislator,"in Abbeydale gas field in North Sea, off UK",,radio_nav_warnings_locations_mapping,e2b12aa879f1f9de30a193e752805f16,radio_nav_warnings_locations_mapping__e2b12aa879f1f9de30a193e752805f16
(alison; field),(Alison; field),"Great Yarmouth, UK",52.5945959,1.729322063,1,"in Alison gas field in North Sea, off UK",Media,"in Alison gas field in North Sea, off UK",,radio_nav_warnings_locations_mapping,a85b2ae3c25e52d88f4e28e4daeefbdb,radio_nav_warnings_locations_mapping__a85b2ae3c25e52d88f4e28e4daeefbdb
(amethyst; field),(Amethyst; field),"Great Yarmouth, UK",52.5945959,1.729322063,1,"in Amethyst gas field in North Sea, off UK",ForeignMinister,"in Amethyst gas field in North Sea, off UK",,radio_nav_warnings_locations_mapping,c0d6849f3bbf278d0b4743f7b8098e98,radio_nav_warnings_locations_mapping__c0d6849f3bbf278d0b4743f7b8098e98
(anglia; field),(Anglia; field),"Great Yarmouth, UK",52.5945959,1.729322063,1,"in Anglia gas field in North Sea, off UK",Shipping,"in Anglia gas field in North Sea, off UK",,radio_nav_warnings_locations_mapping,20955b0d3aa9c8b5cdf15b177818d83e,radio_nav_warnings_locations_mapping__20955b0d3aa9c8b5cdf15b177818d83e
(ann; field),(Ann; field),"Great Yarmouth, UK",52.5945959,1.729322063,1,"in Ann gas field in North Sea, off UK",Wells,"in Ann gas field in North Sea, off UK",,radio_nav_warnings_locations_mapping,c4ccd3a2c96af24feac1a4fc02438cb7,radio_nav_warnings_locations_mapping__c4ccd3a2c96af24feac1a4fc02438cb7
(annabel; field),(Annabel; field),"Great Yarmouth, UK",52.5945959,1.729322063,1,"in Annabel gas field in North Sea, off UK",News,"in Annabel gas field in North Sea, off UK",,radio_nav_warnings_locations_mapping,5420609aec98ed93902f8d6373461d2e,radio_nav_warnings_locations_mapping__5420609aec98ed93902f8d6373461d2e
(apollo; field),(Apollo; field),"Great Yarmouth, UK",52.5945959,1.729322063,1,"in Apollo gas field in North Sea, off UK",ForeignMinistry,"in Apollo gas field in North Sea, off UK",,radio_nav_warnings_locations_mapping,f763a7ce3f5eb9e29365c2f3a7794fa4,radio_nav_warnings_locations_mapping__f763a7ce3f5eb9e29365c2f3a7794fa4
(artemis; field),(Artemis; field),"Great Yarmouth, UK",52.5945959,1.729322063,1,"in Artemis gas field in North Sea, off UK",DiplomaticFacilities,"in Artemis gas field in North Sea, off UK",,radio_nav_warnings_locations_mapping,33b179a487b74112a3dc6050c61cc65c,radio_nav_warnings_locations_mapping__33b179a487b74112a3dc6050c61cc65c
(arthur; field),(Arthur; field),"Great Yarmouth, UK",52.5945959,1.729322063,1,"in Arthur gas field in North Sea, off UK",IndustryTerm,"in Arthur gas field in North Sea, off UK",,radio_nav_warnings_locations_mapping,bf914daaee251c70a30c3fd09a4a8d11,radio_nav_warnings_locations_mapping__bf914daaee251c70a30c3fd09a4a8d11
(atlas; field),(Atlas; field),"Great Yarmouth, UK",52.5945959,1.729322063,1,"in Atlas gas field in North Sea, off UK",Pipeline,"in Atlas gas field in North Sea, off UK",,radio_nav_warnings_locations_mapping,d7ea831a0d385b146d14ebd290061298,radio_nav_warnings_locations_mapping__d7ea831a0d385b146d14ebd290061298
