keyword,keys,location,lat,lon,ranking,caption_text,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
kara,kara,"Novy, Yamalo-Nenets Autonomous Okrug, Russia",67.69294926,72.93897991,2,"in Kara Sea, off Russia",Organization,"in Kara Sea, off Russia",,radio_nav_warnings_locations_russia_mapping,a31dc22c99fa660141b31bbce99e982d,radio_nav_warnings_locations_russia_mapping__a31dc22c99fa660141b31bbce99e982d
laptev,laptev,"Tiksi, Sakha Republic, Russia",71.63026003,128.8758665,2,"in Laptev Sea, off Russia",space,"in Laptev Sea, off Russia",,radio_nav_warnings_locations_russia_mapping,89361671611ba8cb90f8aeedb23c3c00,radio_nav_warnings_locations_russia_mapping__89361671611ba8cb90f8aeedb23c3c00
barents,barents,"Murmansk, Murmansk Oblast, Russia",68.96188888,33.05829979,2,"in Barents Sea, off Russia",Refinery,"in Barents Sea, off Russia",,radio_nav_warnings_locations_russia_mapping,e3d2022275d19bc5b1fdac515f490338,radio_nav_warnings_locations_russia_mapping__e3d2022275d19bc5b1fdac515f490338
white,white,"Arkhangelsk, Arkhangelsk Oblast, Russia",64.5361408,40.55323205,2,"in White Sea, off Russia",ForeignMinister,"in White Sea, off Russia",,radio_nav_warnings_locations_russia_mapping,b043607f88c367725354577669f81198,radio_nav_warnings_locations_russia_mapping__b043607f88c367725354577669f81198
barents sea northern part,barents sea northern part,"Murmansk, Murmansk Oblast, Russia",68.96188888,33.05829979,1,"in northern Barents Sea, off Russia",Shipping,"in northern Barents Sea, off Russia",,radio_nav_warnings_locations_russia_mapping,980d72cdffa6cc1bcd09d939274eb99d,radio_nav_warnings_locations_russia_mapping__980d72cdffa6cc1bcd09d939274eb99d
chyoshskaya guba,chyoshskaya guba,"Murmansk, Murmansk Oblast, Russia",68.96188888,33.05829979,1,"in Chyoshskaya Guba, off Russia",Refinery,"in Chyoshskaya Guba, off Russia",,radio_nav_warnings_locations_russia_mapping,2805d5413ddfa43923e1e609e8dadb13,radio_nav_warnings_locations_russia_mapping__2805d5413ddfa43923e1e609e8dadb13
rybachiy peninsula,rybachiy peninsula,"Rybachiy Peninsula, Russia",69.68665416,32.97353508,1,"off Rybachiy Peninsula, Russia",News,"off Rybachiy Peninsula, Russia",,radio_nav_warnings_locations_russia_mapping,b5e46ab44164737a5d1fec2886440515,radio_nav_warnings_locations_russia_mapping__b5e46ab44164737a5d1fec2886440515
north-east kara sea,north-east kara sea,"Dikson, Krasnoyarsk Krai, Russia",73.50754987,80.51682786,1,"in northeast Kara Sea, off Russia",DiplomaticFacilities,"in northeast Kara Sea, off Russia",,radio_nav_warnings_locations_russia_mapping,e36cdadfb492202ca2d3039b1dd7b20f,radio_nav_warnings_locations_russia_mapping__e36cdadfb492202ca2d3039b1dd7b20f
northeastward rubachiy peninsula,northeastward rubachiy peninsula,"Rybachiy Peninsula, Russia",69.68665416,32.97353508,1,"off Rybachiy Peninsula, Russia",FTO,"off Rybachiy Peninsula, Russia",,radio_nav_warnings_locations_russia_mapping,b5e46ab44164737a5d1fec2886440515,radio_nav_warnings_locations_russia_mapping__b5e46ab44164737a5d1fec2886440515
northern barents sea,northern barents sea,"Vardo, Norway",70.37037534,31.11205846,1,"in Northern Barents Sea, off Norway",ForeignMinister,"in Northern Barents Sea, off Norway",,radio_nav_warnings_locations_russia_mapping,3468fb1c5d6e38be903598737290fbc7,radio_nav_warnings_locations_russia_mapping__3468fb1c5d6e38be903598737290fbc7
