keyword,keys,location,lat,lon,ranking,caption_text,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
eastern north pacific. california,eastern north pacific. california,"Long Beach, CA",33.76312183,-118.2106216,1,"in eastern North Pacific, off California",space,"in eastern North Pacific, off California",,radio_nav_warnings_locations_russia_usa_mapping,27a4a39fc7358a6ffb30c94e0cbe75c4,radio_nav_warnings_locations_russia_usa_mapping__27a4a39fc7358a6ffb30c94e0cbe75c4
gulf of alaska,gulf of alaska,"Anchorage, AK",61.23980131,-149.8855962,2,in Gulf of Alaska,space,in Gulf of Alaska,,radio_nav_warnings_locations_russia_usa_mapping,e176c47dd851b641c4f61f96f9bdc1f8,radio_nav_warnings_locations_russia_usa_mapping__e176c47dd851b641c4f61f96f9bdc1f8
bering sea,bering sea,"Anchorage, AK",61.23980131,-149.8855962,2,"in Bering Sea, off Alaska",DiplomaticFacilities,"in Bering Sea, off Alaska",,radio_nav_warnings_locations_russia_usa_mapping,0ac380570f3dac15868f4efeefe4179e,radio_nav_warnings_locations_russia_usa_mapping__0ac380570f3dac15868f4efeefe4179e
eastern north pacific. el salvador,eastern north pacific. el salvador,"Acajutia, El Salvador",13.57484463,-89.83315831,1,"in eastern North Pacific, off El Salvador",ForeignMinistry,"in eastern North Pacific, off El Salvador",,radio_nav_warnings_locations_russia_usa_mapping,d7fb4a78e6c1c6b988388a7ebf9239b4,radio_nav_warnings_locations_russia_usa_mapping__d7fb4a78e6c1c6b988388a7ebf9239b4
eastern north pacific. colombia,eastern north pacific. colombia,"Buenaventura, Colombia",3.887864594,-77.04817946,1,"in eastern North Pacific, off Colombia",DiplomaticFacilities,"in eastern North Pacific, off Colombia",,radio_nav_warnings_locations_russia_usa_mapping,d138b4a00e91f37b733ba811825feac4,radio_nav_warnings_locations_russia_usa_mapping__d138b4a00e91f37b733ba811825feac4
eastern south pacific. equador,eastern south pacific. equador,"Guayaquil, Ecuador",-2.123332676,-79.92243341,1,"in eastern South Pacific, off Ecuador",Shipping,"in eastern South Pacific, off Ecuador",,radio_nav_warnings_locations_russia_usa_mapping,77351bde4a2d1bfc70ff22b3cecbad44,radio_nav_warnings_locations_russia_usa_mapping__77351bde4a2d1bfc70ff22b3cecbad44
bering strait,bering strait,"Anchorage, AK",61.23980131,-149.8855962,2,"in Bering Sea, off Alaska",ForeignMinistry,"in Bering Sea, off Alaska",,radio_nav_warnings_locations_russia_usa_mapping,0ac380570f3dac15868f4efeefe4179e,radio_nav_warnings_locations_russia_usa_mapping__0ac380570f3dac15868f4efeefe4179e
hawaii,hawaii,"Honololu, HI",21.32135235,-157.8839111,2,off Hawaii,Exec,off Hawaii,,radio_nav_warnings_locations_russia_usa_mapping,5e4669b0b81c9d699f6ae2514f7435ee,radio_nav_warnings_locations_russia_usa_mapping__5e4669b0b81c9d699f6ae2514f7435ee
eastern north pacific. mexico,eastern north pacific. mexico,"Lazaro Cardenas, Mexico",17.9239275,-102.174929,1,"in eastern North Pacific, off Mexico",IndustryTerm,"in eastern North Pacific, off Mexico",,radio_nav_warnings_locations_russia_usa_mapping,3f89d9ff5f8286d84bb31eff57c04b70,radio_nav_warnings_locations_russia_usa_mapping__3f89d9ff5f8286d84bb31eff57c04b70
golfo de california,golfo de california,"Isla San Marcos, Mexico",27.18855534,-112.0814186,1,"in Gulfo de California, off Mexico",Exec,"in Gulfo de California, off Mexico",,radio_nav_warnings_locations_russia_usa_mapping,9f78784ff7e39d79500ccf602b82f012,radio_nav_warnings_locations_russia_usa_mapping__9f78784ff7e39d79500ccf602b82f012
gulf of panama,gulf of panama,"Panama City, Panama",8.943957041,-79.55547702,1,"in Gulf of Panama, off Panama",DiplomaticFacilities,"in Gulf of Panama, off Panama",,radio_nav_warnings_locations_russia_usa_mapping,590defb9cc2eb6e8c3a220e0caff2ae1,radio_nav_warnings_locations_russia_usa_mapping__590defb9cc2eb6e8c3a220e0caff2ae1
north pacific,north pacific,"Honololu, HI",21.32135235,-157.8839111,3,in North Pacific,AAEntity,in North Pacific,,radio_nav_warnings_locations_russia_usa_mapping,3db8565b3a9bb67054e713bd71b6cecb,radio_nav_warnings_locations_russia_usa_mapping__3db8565b3a9bb67054e713bd71b6cecb
north pacific. alaska,north pacific. alaska,"Anchorage, AK",61.23980131,-149.8855962,1,"in North Pacific, off Alaska",Diplomat,"in North Pacific, off Alaska",,radio_nav_warnings_locations_russia_usa_mapping,37df8372960fb80731d11a1c102ce2c9,radio_nav_warnings_locations_russia_usa_mapping__37df8372960fb80731d11a1c102ce2c9
eastern north pacific. oregon,eastern north pacific. oregon,"Coos Bay, OR",43.36762709,-124.2166959,1,"in eastern North Pacific, off Oregon",Media,"in eastern North Pacific, off Oregon",,radio_nav_warnings_locations_russia_usa_mapping,68c641ec2fa9a8ec12f5259cfb5215db,radio_nav_warnings_locations_russia_usa_mapping__68c641ec2fa9a8ec12f5259cfb5215db
eastern north pacific,eastern north pacific. california,"Long Beach, CA",33.76312183,-118.2106216,2,in eastern North Pacific,Consulates,in eastern North Pacific,,radio_nav_warnings_locations_russia_usa_mapping,af13ca6652c13946d84fe8c5e8ffd24a,radio_nav_warnings_locations_russia_usa_mapping__af13ca6652c13946d84fe8c5e8ffd24a
