key,caption_text,threshold,topic,ranking,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
seismic survey,due to seismic survey,Signal,188131,3,Diplomat,due to seismic survey,,radio_nav_warnings_mapping,971aab0e86db8fbb9d259d219a7c2593,radio_nav_warnings_mapping__971aab0e86db8fbb9d259d219a7c2593
(buoy; unlit),due to unlit buoy,Signal,188131,6,ForeignMinister,due to unlit buoy,,radio_nav_warnings_mapping,b033a68e1c6572419e5b4f85903ad3ea,radio_nav_warnings_mapping__b033a68e1c6572419e5b4f85903ad3ea
(fog signal; inoperative; light vessel),due to light vessel with inoperative fog signal,Signal,188131,6,Keyphrase,due to light vessel with inoperative fog signal,,radio_nav_warnings_mapping,a4c4759b2902b3b64536bb226ccdfdf9,radio_nav_warnings_mapping__a4c4759b2902b3b64536bb226ccdfdf9
(fog signals; inoperative),due to inoperative fog signals,Signal,188131,6,CompanyKeyword,due to inoperative fog signals,,radio_nav_warnings_mapping,ddb02ab2f761eded434e46a212c214ad,radio_nav_warnings_mapping__ddb02ab2f761eded434e46a212c214ad
(fog signal; inoperative),due to inoperative fog signal,Signal,188131,6,AAEntity,due to inoperative fog signal,,radio_nav_warnings_mapping,85086601d1d39f9bf452fc12471275a2,radio_nav_warnings_mapping__85086601d1d39f9bf452fc12471275a2
(buoy; moved),due to moved buoy,Signal,188131,6,Wells,due to moved buoy,,radio_nav_warnings_mapping,794a78e1c8dda6f173ea4aa4f0b0158a,radio_nav_warnings_mapping__794a78e1c8dda6f173ea4aa4f0b0158a
(buoy; missing),due to removed buoy,Signal,188131,6,Exec,due to removed buoy,,radio_nav_warnings_mapping,15f34c4b46a491a2ded7b68ae6780ef7,radio_nav_warnings_mapping__15f34c4b46a491a2ded7b68ae6780ef7
(light-buoy; removed),due to missing light-buoy,Signal,188131,6,Pipeline,due to missing light-buoy,,radio_nav_warnings_mapping,f0028b70458837ca17b76c50fada4408,radio_nav_warnings_mapping__f0028b70458837ca17b76c50fada4408
(buoy; missing),due to missing buoy,Signal,188131,6,ForeignMinistry,due to missing buoy,,radio_nav_warnings_mapping,a196ab092fa162325f5ff89c61a1d265,radio_nav_warnings_mapping__a196ab092fa162325f5ff89c61a1d265
(buoy; ais off-air),due to buoy's AIS system being off air,Signal,188131,6,AAEntity,due to buoy's AIS system being off air,,radio_nav_warnings_mapping,a404d771d3fe5836b187f09b72a8ac74,radio_nav_warnings_mapping__a404d771d3fe5836b187f09b72a8ac74
(buoy; ais; unstable),due to buoy's AIS system being unstable,Signal,188131,6,LegislativeCommittee,due to buoy's AIS system being unstable,,radio_nav_warnings_mapping,22607e148f414748c3134cc64fd2e56c,radio_nav_warnings_mapping__22607e148f414748c3134cc64fd2e56c
(light-buoy; unlit),due to unlit light-buoy,Signal,188131,6,Pipeline,due to unlit light-buoy,,radio_nav_warnings_mapping,883d48db227210981561f22ad4e0f421,radio_nav_warnings_mapping__883d48db227210981561f22ad4e0f421
(light; unlit),due to unlit light,Signal,188131,7,CompanyKeyword,due to unlit light,,radio_nav_warnings_mapping,d32321d42ef51997fa3a4926b6b5aa1b,radio_nav_warnings_mapping__d32321d42ef51997fa3a4926b6b5aa1b
(light; unreliable),due to unreliable light,Signal,188131,7,Wells,due to unreliable light,,radio_nav_warnings_mapping,fbc32e61bc8c53a61169a090bf5cf8c7,radio_nav_warnings_mapping__fbc32e61bc8c53a61169a090bf5cf8c7
(lights; unreliable),due to unreliable light,Signal,188131,7,Consulates,due to unreliable light,,radio_nav_warnings_mapping,fbc32e61bc8c53a61169a090bf5cf8c7,radio_nav_warnings_mapping__fbc32e61bc8c53a61169a090bf5cf8c7
(light-buoy; moved),due to moved light-buoy,Signal,188131,6,DiplomaticFacilities,due to moved light-buoy,,radio_nav_warnings_mapping,8543269a8a0a4d64ce5632fb9bd87584,radio_nav_warnings_mapping__8543269a8a0a4d64ce5632fb9bd87584
(light-buoy; removed),due to removed light-buoy,Signal,188131,6,Exec,due to removed light-buoy,,radio_nav_warnings_mapping,c4ff58c227d64a353efc175a675a6e35,radio_nav_warnings_mapping__c4ff58c227d64a353efc175a675a6e35
(light-buoy; ais off-air),due to light-buoy's AIS system being off air,Signal,188131,6,Media,due to light-buoy's AIS system being off air,,radio_nav_warnings_mapping,3c485e9e0e5a81f2aef4997f62032d5b,radio_nav_warnings_mapping__3c485e9e0e5a81f2aef4997f62032d5b
(turbine; unlit),due to unlit turbine,Signal,188131,6,Shipping,due to unlit turbine,,radio_nav_warnings_mapping,3a8d398fa6cbe87db9e54806a7b9ba25,radio_nav_warnings_mapping__3a8d398fa6cbe87db9e54806a7b9ba25
(turbine; navaids inoperative),due to turbine with navaids inoperative,Signal,188131,5,CompanyKeyword,due to turbine with navaids inoperative,,radio_nav_warnings_mapping,edaa072fd3a58753a9a8a812ec237a28,radio_nav_warnings_mapping__edaa072fd3a58753a9a8a812ec237a28
(platform; navaids; inoperative),due to platform's navaids being inoperative,Signal,188131,5,AAEntity,due to platform's navaids being inoperative,,radio_nav_warnings_mapping,f2be10ace3fcbbb0be9096cb79034c2e,radio_nav_warnings_mapping__f2be10ace3fcbbb0be9096cb79034c2e
(platform; unlit),due to unlit platform,Signal,188131,5,DiplomaticFacilities,due to unlit platform,,radio_nav_warnings_mapping,9e656febe2f57731a834c14796c0f6f7,radio_nav_warnings_mapping__9e656febe2f57731a834c14796c0f6f7
(platform; lights; unreliable),due to unreliable lights on platform,Signal,188131,5,IndustryTerm,due to unreliable lights on platform,,radio_nav_warnings_mapping,661cb4d3e1fae927453af9d3e40f7391,radio_nav_warnings_mapping__661cb4d3e1fae927453af9d3e40f7391
(platform; ais unreliable),due to platform's AIS system being unreliable,Signal,188131,5,Person,due to platform's AIS system being unreliable,,radio_nav_warnings_mapping,48886632047e2ad191a306dfbf821b0d,radio_nav_warnings_mapping__48886632047e2ad191a306dfbf821b0d
(platform; fog signal; inoperative),due to platform's fog signal being inoperative,Signal,188131,5,ForeignMinistry,due to platform's fog signal being inoperative,,radio_nav_warnings_mapping,ee85d1d3ee4333466e188e0bcd88921c,radio_nav_warnings_mapping__ee85d1d3ee4333466e188e0bcd88921c
(platform; signal; inoperative),due to platform's signal being inoperative,Signal,188131,5,DiplomaticFacilities,due to platform's signal being inoperative,,radio_nav_warnings_mapping,394e924cda05493b6c08da2c2f40e61c,radio_nav_warnings_mapping__394e924cda05493b6c08da2c2f40e61c
(platform; ais off-air),due to platform's AIS system being off air,Signal,188131,5,News,due to platform's AIS system being off air,,radio_nav_warnings_mapping,1fe57db3e64f78bb10d6332dd30bafc7,radio_nav_warnings_mapping__1fe57db3e64f78bb10d6332dd30bafc7
(gps; jamming),due to GPS jamming exercise,Local Urgent,188131;188251;188252,2,FTO,due to GPS jamming exercise,,radio_nav_warnings_mapping,5761e0d41d0ff0cce1e1d889ad789e74,radio_nav_warnings_mapping__5761e0d41d0ff0cce1e1d889ad789e74
(sunk; vessel),due to sunk vessel,Signal,188131,2,Media,due to sunk vessel,,radio_nav_warnings_mapping,c3d91156432196b62ff82e93b966fa28,radio_nav_warnings_mapping__c3d91156432196b62ff82e93b966fa28
safety zone,due to safety zone,Local Urgent,188131,2,Organization,due to safety zone,,radio_nav_warnings_mapping,7c2f0e94914238d23f128426df5dbabc,radio_nav_warnings_mapping__7c2f0e94914238d23f128426df5dbabc
towing,due to towing operation,Signal,188131,4,Media,due to towing operation,,radio_nav_warnings_mapping,a1357e6d1c2a8bf8f64dd65b30795abd,radio_nav_warnings_mapping__a1357e6d1c2a8bf8f64dd65b30795abd
(military; operation),due to military operation,Local Urgent,188131;188251,1,IndustryTerm,due to military operation,,radio_nav_warnings_mapping,3497dd0e8b1fa962ef1d2dcc925b81c4,radio_nav_warnings_mapping__3497dd0e8b1fa962ef1d2dcc925b81c4
