german_text,caption_text,location_tag,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
adenauerplatz,"Adenauerplatz Station, Berlin, Germany","U Adenauerplatz, Berlin",DiplomaticFacilities,"Adenauerplatz Station, Berlin, Germany",,s_u_bahnhof_locations,5e03abe5dbe70d6dc07f9f1fb33c0f6c,s_u_bahnhof_locations__5e03abe5dbe70d6dc07f9f1fb33c0f6c
afrikanische straße,"Afrikanische Strasse Station, Berlin, Germany","U Afrikanische Straße, Berlin",Exec,"Afrikanische Strasse Station, Berlin, Germany",,s_u_bahnhof_locations,9b9a48252eaf832e6474788026b06972,s_u_bahnhof_locations__9b9a48252eaf832e6474788026b06972
alexanderplatz,"Alexanderplatz Station, Berlin, Germany","U Alexanderplatz, Berlin",Refinery,"Alexanderplatz Station, Berlin, Germany",,s_u_bahnhof_locations,cd76b6b6ca8c2ca2edcf5e3db6754c52,s_u_bahnhof_locations__cd76b6b6ca8c2ca2edcf5e3db6754c52
altstadt spandau,"Altstadt Spandau Station, Berlin, Germany","U Altstadt Spandau, Berlin",Person,"Altstadt Spandau Station, Berlin, Germany",,s_u_bahnhof_locations,fa4877df456daca8ad780b7cfd83bc1e,s_u_bahnhof_locations__fa4877df456daca8ad780b7cfd83bc1e
alt-mariendorf,"Alt-Mariendorf Station, Berlin, Germany","U Alt-Mariendorf, Berlin",News,"Alt-Mariendorf Station, Berlin, Germany",,s_u_bahnhof_locations,87e3552a175ee231751883d94b6814a9,s_u_bahnhof_locations__87e3552a175ee231751883d94b6814a9
alt-tegel,"Alt-Tegel Station, Berlin, Germany","U Alt-Tegel, Berlin",AAEntity,"Alt-Tegel Station, Berlin, Germany",,s_u_bahnhof_locations,7d8e64dbb30cecedd16f4cfcac893970,s_u_bahnhof_locations__7d8e64dbb30cecedd16f4cfcac893970
alt-tempelhof,"Alt-Tempelhof Station, Berlin, Germany","U Alt-Tempelhof, Berlin",Shipping,"Alt-Tempelhof Station, Berlin, Germany",,s_u_bahnhof_locations,c12f0bcb3bb38f6e5d66a15b31e005a9,s_u_bahnhof_locations__c12f0bcb3bb38f6e5d66a15b31e005a9
amrumer straße,"Amrumer Strasse Station, Berlin, Germany","U Amrumer Strasse, Berlin",Consulates,"Amrumer Strasse Station, Berlin, Germany",,s_u_bahnhof_locations,0d285289fc3d84141c8592fb98f91a0f,s_u_bahnhof_locations__0d285289fc3d84141c8592fb98f91a0f
augsburger straße,"Augsburger Strasse Station, Berlin, Germany","U Augsburger Strasse, Berlin",Refinery,"Augsburger Strasse Station, Berlin, Germany",,s_u_bahnhof_locations,340ac71ba1f1d2e28060bcfed900b498,s_u_bahnhof_locations__340ac71ba1f1d2e28060bcfed900b498
bayerischer platz,"Bayerischer Platz Station, Berlin, Germany","U Bayerischer Platz, Berlin",Keyphrase,"Bayerischer Platz Station, Berlin, Germany",,s_u_bahnhof_locations,e6c62912eac41f49b4f9080cc4ec20cf,s_u_bahnhof_locations__e6c62912eac41f49b4f9080cc4ec20cf
berliner strasse,"Berliner Strasse Station, Berlin, Germany","U Berliner Strasse, Berlin",Keyphrase,"Berliner Strasse Station, Berlin, Germany",,s_u_bahnhof_locations,d6d84b89ee80a75084ecffa09d00e58c,s_u_bahnhof_locations__d6d84b89ee80a75084ecffa09d00e58c
bernauer straße,"Bernauer Strasse Station, Berlin, Germany","U Bernauer Strasse, Berlin",Legislator,"Bernauer Strasse Station, Berlin, Germany",,s_u_bahnhof_locations,90e2d2c9d29afcbe17e519577ef4e5fb,s_u_bahnhof_locations__90e2d2c9d29afcbe17e519577ef4e5fb
biesdorf-süd,"Biesdorf-Sud Station, Berlin, Germany","U Biesdorf-Sud, Berlin",Diplomat,"Biesdorf-Sud Station, Berlin, Germany",,s_u_bahnhof_locations,d689fbadb2d80a3e90229b22d3a08262,s_u_bahnhof_locations__d689fbadb2d80a3e90229b22d3a08262
birkenstraße,"Birkenstrasse Station, Berlin, Germany","U Birkenstrasse, Berlin",Organization,"Birkenstrasse Station, Berlin, Germany",,s_u_bahnhof_locations,08a3a5f66d0a2cd9c6be30d956faa501,s_u_bahnhof_locations__08a3a5f66d0a2cd9c6be30d956faa501
bismarckstraße,"Bismarckstrasse Station, Berlin, Germany","U Bismarckstrasse, Berlin",FTO,"Bismarckstrasse Station, Berlin, Germany",,s_u_bahnhof_locations,533e8d6d191fff6d0fa967aea3fbb346,s_u_bahnhof_locations__533e8d6d191fff6d0fa967aea3fbb346
