keyword,caption_name,guid,address,coordinates,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
1800flowers.com,1800Flowers,894fb3718aef4fac966643eb37b49dea,,,News,1800Flowers,,shodan_keyword_to_guid,588595d2af6c06c1f4884081101931c9,shodan_keyword_to_guid__588595d2af6c06c1f4884081101931c9
1-800-flowers.com inc.,1800Flowers,894fb3718aef4fac966643eb37b49dea,,,Legislator,1800Flowers,,shodan_keyword_to_guid,588595d2af6c06c1f4884081101931c9,shodan_keyword_to_guid__588595d2af6c06c1f4884081101931c9
3m.com,3M Company,48562aee0bffd911051ef423793942e0,,,Keyphrase,3M Company,,shodan_keyword_to_guid,a1403aeaea666f5d840dcdd2b4744915,shodan_keyword_to_guid__a1403aeaea666f5d840dcdd2b4744915
3m company,3M Company,48562aee0bffd911051ef423793942e0,,,ForeignMinister,3M Company,,shodan_keyword_to_guid,a1403aeaea666f5d840dcdd2b4744915,shodan_keyword_to_guid__a1403aeaea666f5d840dcdd2b4744915
spglobal.com,S&P Global,dfebd27ad984ba163dc65df523e8abf0,,,LegislativeCommittee,S&P Global,,shodan_keyword_to_guid,284e8afada93c5f831288575f2c60b0a,shodan_keyword_to_guid__284e8afada93c5f831288575f2c60b0a
99only.com,99 Cents Only Stores,54d2775a1c0ab095f9610aece04e858c,,,Media,99 Cents Only Stores,,shodan_keyword_to_guid,0ccab9d8aebd3d3b49d24cfc0fbbda59,shodan_keyword_to_guid__0ccab9d8aebd3d3b49d24cfc0fbbda59
aarp.org,AARP,2f7155bb7a483ecb151b2c6ef70bc228,,,Legislator,AARP,,shodan_keyword_to_guid,a8984813d6bc1917dd4ce659d13b74db,shodan_keyword_to_guid__a8984813d6bc1917dd4ce659d13b74db
aarp,AARP,2f7155bb7a483ecb151b2c6ef70bc228,,,ForeignMinistry,AARP,,shodan_keyword_to_guid,a8984813d6bc1917dd4ce659d13b74db,shodan_keyword_to_guid__a8984813d6bc1917dd4ce659d13b74db
abcsupply.com,ABC Supply,,,,Refinery,ABC Supply,,shodan_keyword_to_guid,9da2eb2293f706865ee25e1e3aa53197,shodan_keyword_to_guid__9da2eb2293f706865ee25e1e3aa53197
abc supply co.,ABC Supply,,,,Consulates,ABC Supply,,shodan_keyword_to_guid,9da2eb2293f706865ee25e1e3aa53197,shodan_keyword_to_guid__9da2eb2293f706865ee25e1e3aa53197
abc supply company,ABC Supply,,,,Refinery,ABC Supply,,shodan_keyword_to_guid,9da2eb2293f706865ee25e1e3aa53197,shodan_keyword_to_guid__9da2eb2293f706865ee25e1e3aa53197
abm.com,ABM Industries,75281c1dd310569fe2bf55fac09e5238,,,Diplomat,ABM Industries,,shodan_keyword_to_guid,e9f8a902aade3cf7022cb1080d0b84c6,shodan_keyword_to_guid__e9f8a902aade3cf7022cb1080d0b84c6
abm industries,ABM Industries,75281c1dd310569fe2bf55fac09e5238,,,IndustryTerm,ABM Industries,,shodan_keyword_to_guid,e9f8a902aade3cf7022cb1080d0b84c6,shodan_keyword_to_guid__e9f8a902aade3cf7022cb1080d0b84c6
abm industries incorporated,ABM Industries,75281c1dd310569fe2bf55fac09e5238,,,Shipping,ABM Industries,,shodan_keyword_to_guid,e9f8a902aade3cf7022cb1080d0b84c6,shodan_keyword_to_guid__e9f8a902aade3cf7022cb1080d0b84c6
accobrands.com,ACCO Brands,0ef21d01bd663d2e64315cbafdd54d71,,,Consulates,ACCO Brands,,shodan_keyword_to_guid,fc9c7d7049dd0629bab389eb8de26a41,shodan_keyword_to_guid__fc9c7d7049dd0629bab389eb8de26a41
acco brands,ACCO Brands,0ef21d01bd663d2e64315cbafdd54d71,,,ForeignMinistry,ACCO Brands,,shodan_keyword_to_guid,fc9c7d7049dd0629bab389eb8de26a41,shodan_keyword_to_guid__fc9c7d7049dd0629bab389eb8de26a41
acehardware.com,Ace Hardware,33d12e35c640c5bfe758459e5c0cea86,,,Person,Ace Hardware,,shodan_keyword_to_guid,bb4c14c770e74c8ab27333cdd8b7ef37,shodan_keyword_to_guid__bb4c14c770e74c8ab27333cdd8b7ef37
ace hardware,Ace Hardware,33d12e35c640c5bfe758459e5c0cea86,,,ForeignMinister,Ace Hardware,,shodan_keyword_to_guid,bb4c14c770e74c8ab27333cdd8b7ef37,shodan_keyword_to_guid__bb4c14c770e74c8ab27333cdd8b7ef37
ace hardware corp,Ace Hardware,33d12e35c640c5bfe758459e5c0cea86,,,Shipping,Ace Hardware,,shodan_keyword_to_guid,bb4c14c770e74c8ab27333cdd8b7ef37,shodan_keyword_to_guid__bb4c14c770e74c8ab27333cdd8b7ef37
landolakes.com,Land O'Lakes,f96c50719f117892d842d25e57b99604,,,Exec,Land O'Lakes,,shodan_keyword_to_guid,6fda54d101409d26daf865d7204728a4,shodan_keyword_to_guid__6fda54d101409d26daf865d7204728a4
activisionblizzard.com,Activision Blizzard,5f1a65971ad63c9cf9be9b25b89b5e28,,,Person,Activision Blizzard,,shodan_keyword_to_guid,c87cb90e721691623d804d736e398318,shodan_keyword_to_guid__c87cb90e721691623d804d736e398318
