caption_name,address,coordinates,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
Australian myGov Portal,"Russell Offices, Constitution Avenue, Russell, ACT, 2600 Australia","-35.2966725, 149.1519968",FTO,Australian myGov Portal,,shodan_ps_locations,5585ccb080a7cc9d79e9db847d085bac,shodan_ps_locations__5585ccb080a7cc9d79e9db847d085bac
Australian Army,"Russell Offices, Constitution Avenue, Russell, ACT, 2600 Australia","-35.2966725, 149.1519968",Refinery,Australian Army,,shodan_ps_locations,327b484f009ea47c1abb3ed841be9dcb,shodan_ps_locations__327b484f009ea47c1abb3ed841be9dcb
Royal Australian Navy,"Russell Offices, Constitution Avenue, Russell, ACT, 2600 Australia","-35.2966725, 149.1519968",Media,Royal Australian Navy,,shodan_ps_locations,5e1d1638c1eb67f3193dbc0c8e759851,shodan_ps_locations__5e1d1638c1eb67f3193dbc0c8e759851
Royal Australian Air Force,"Russell Offices, Constitution Avenue, Russell, ACT, 2600 Australia","-35.2966725, 149.1519968",Pipeline,Royal Australian Air Force,,shodan_ps_locations,0afeb8c7796a6edfcd996fbc139ca74b,shodan_ps_locations__0afeb8c7796a6edfcd996fbc139ca74b
Australian Department of Defence,"Russell Offices, Constitution Avenue, Russell, ACT, 2600 Australia","-35.2966725, 149.1519968",Wells,Australian Department of Defence,,shodan_ps_locations,3a433d8fb975f9cf1faf2e37c20f56e9,shodan_ps_locations__3a433d8fb975f9cf1faf2e37c20f56e9
Australian Signals Directorate,"Building 5, Russell Offices, Constitution Avenue, Russell, ACT, 2600 Australia","-35.2966725, 149.1519968",IndustryTerm,Australian Signals Directorate,,shodan_ps_locations,c50d04bbd536dbd29e89e17d6b99115d,shodan_ps_locations__c50d04bbd536dbd29e89e17d6b99115d
Australian Security Intelligence Organisation,"ASIO Headquaters, Ben Chifley Building, 70 Constitution Avenue, Parkes, ACT, 2600 Australia","-35.2925812, 149.1447929",ForeignMinistry,Australian Security Intelligence Organisation,,shodan_ps_locations,0a53015ee6d7c3812f2a426afefa371c,shodan_ps_locations__0a53015ee6d7c3812f2a426afefa371c
Australian Secret Intelligence Service,"RG Casey Building, John McEwen Crescent, Barton, ACT, 0221 Australia","-35.3099228, 149.130368",Pipeline,Australian Secret Intelligence Service,,shodan_ps_locations,c98a8e43e409eb8ea7459cb859de8928,shodan_ps_locations__c98a8e43e409eb8ea7459cb859de8928
Australian Office of National Intelligence,"2 National Circuit, Barton, ACT, 2600 Australia","-35.3052452, 149.1337385",Shipping,Australian Office of National Intelligence,,shodan_ps_locations,d5667b84cf6be01d91eba771a942364f,shodan_ps_locations__d5667b84cf6be01d91eba771a942364f
Australian Defence Science and Technology,"David Warren Building, 24 Scherger Drive, Canberra Airport, 2609 Australia","-35.3053198, 149.2043066",CompanyKeyword,Australian Defence Science and Technology,,shodan_ps_locations,930c33f11390c3212c0b1eb458247b62,shodan_ps_locations__930c33f11390c3212c0b1eb458247b62
Capability Acquisition and Sustainment Group,"R2-5 Executive Suite, Russell Offices, Constitution Avenue, Russell, ACT, 2600 Australia","-35.2966725, 149.1519968",ForeignMinister,Capability Acquisition and Sustainment Group,,shodan_ps_locations,5e81e1ca0bd51b1615be49ab73a37903,shodan_ps_locations__5e81e1ca0bd51b1615be49ab73a37903
Defence Housing Australia,"26 Brisbane Avenue, Barton, 2600 Australian Capital Territory Australia","-35.3088339, 149.1346293",Legislator,Defence Housing Australia,,shodan_ps_locations,c8490bd92f65a2b52d1e426804b9ddca,shodan_ps_locations__c8490bd92f65a2b52d1e426804b9ddca
Defence Force Recruiting Australia,"10 Richmond Avenue, Fairbairn, ACT, 2609 Australia","-35.3038646, 149.2031775",DiplomaticFacilities,Defence Force Recruiting Australia,,shodan_ps_locations,d6826c47801f56dc12b77be32ab66172,shodan_ps_locations__d6826c47801f56dc12b77be32ab66172
Air Power Development Centre,"205 Anketell St, Greenway ACT 2900 Australia","-35.4163057, 149.0685322",Wells,Air Power Development Centre,,shodan_ps_locations,55f05dd58b98b577a613bb9b924d655e,shodan_ps_locations__55f05dd58b98b577a613bb9b924d655e
Inspector-General of Intelligence and Security,"3-5 National Circuit, Barton, ACT 2600, Australia Australia","-35.3065442, 149.1327458",Refinery,Inspector-General of Intelligence and Security,,shodan_ps_locations,74120b84be5ac9412d117cf9b4c4efb8,shodan_ps_locations__74120b84be5ac9412d117cf9b4c4efb8
Inspector-General of Australian Defence Force,"Level 5, 25 Brindabella Circuit, Canberra Airport, ACT, 2609 Australia","-35.3150489, 149.1885672",Person,Inspector-General of Australian Defence Force,,shodan_ps_locations,712ac79872c8f86bd5010e5df675b087,shodan_ps_locations__712ac79872c8f86bd5010e5df675b087
Australian Cyber Security Centre,"ASIO Headquaters, Ben Chifley Building, 70 Constitution Avenue, Parkes, ACT, 2600 Australia","-35.2925812, 149.1447929",AAEntity,Australian Cyber Security Centre,,shodan_ps_locations,3706c315bf4a163261ce77cbcbaaadd2,shodan_ps_locations__3706c315bf4a163261ce77cbcbaaadd2
Australian Industry and Defence Network,"Kingston, ACT, 2604 Australia","-35.315556, 149.144167",Diplomat,Australian Industry and Defence Network,,shodan_ps_locations,cc6ca0da9af27a804e1f1c65f7ecd194,shodan_ps_locations__cc6ca0da9af27a804e1f1c65f7ecd194
Thales Australia,"7 Murray Rose Ave, Sydney NSW 2127 Australia","-33.8456829, 151.0702404",Organization,Thales Australia,,shodan_ps_locations,350fae2d494833f85d102659c2e2719f,shodan_ps_locations__350fae2d494833f85d102659c2e2719f
Raytheon Australia,"4 Brindabella Circuit, Canberra Airport, ACT, 2609 Australia","-35.3113785, 149.1901721",LegislativeCommittee,Raytheon Australia,,shodan_ps_locations,2018c719b9273f8ffc4ac6936aae7a0c,shodan_ps_locations__2018c719b9273f8ffc4ac6936aae7a0c
Leonardo Australia,"19 Rocklea Drive, Port Melbourne, VIC, 3207 Australia","-37.82965009999999, 144.9208822",Legislator,Leonardo Australia,,shodan_ps_locations,14cdb266f971cc575d353886c7972511,shodan_ps_locations__14cdb266f971cc575d353886c7972511
BAE Systems Australia,"1 Taranaki Road, Edinburgh, SA, 5111 Australia","-34.7199627, 138.6533784",Legislator,BAE Systems Australia,,shodan_ps_locations,b8770f520663347259261cc275abbf95,shodan_ps_locations__b8770f520663347259261cc275abbf95
Australian Submarine Corporation,"640 Mersey Road, Osborne, SA, 5017 Australia","-34.7877045, 138.5073055",Media,Australian Submarine Corporation,,shodan_ps_locations,c1ec6584b5d2be34e6535c792599235d,shodan_ps_locations__c1ec6584b5d2be34e6535c792599235d
Austal,"100 Clarence Beach Road, Henderson, WA, 6166 Australia","-32.1438259, 115.7684722",CompanyKeyword,Austal,,shodan_ps_locations,e32e86eec4ee4df04e25a211aee0e01b,shodan_ps_locations__e32e86eec4ee4df04e25a211aee0e01b
Lockheed Martin Australia,"8 Brisbane Avenue, Barton, ACT, 2600 Australia","-35.3092822, 149.1377998",Exec,Lockheed Martin Australia,,shodan_ps_locations,3ed710afa738d49562bad03891ea85ba,shodan_ps_locations__3ed710afa738d49562bad03891ea85ba
