vulnerability,caption_name,topic_ids,threshold,key_1,value_1,key_2,value_2,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
defaced,defaced web server,188350,alert2.local,http.title,hacked by,,,Legislator,defaced web server,,shodan_vulnerabilities,42764463f37defd71e6c4c53bef59b9b,shodan_vulnerabilities__42764463f37defd71e6c4c53bef59b9b
Coinhive cryptojacking,Coinhive cryptojacking code,Malware,alert2.local,http.components,coinhive,,,DiplomaticFacilities,Coinhive cryptojacking code,,shodan_vulnerabilities,f1b57a5a7c4afb03ea104ad36798cecd,shodan_vulnerabilities__f1b57a5a7c4afb03ea104ad36798cecd
ADB,Android device with exposed debugging port vulnerable to botnet,Malware,alert2.local,product,Android Debug Bridge,,,IndustryTerm,Android device with exposed debugging port vulnerable to botnet,,shodan_vulnerabilities,7ea84c9c5f40289a7160b1253aab7c23,shodan_vulnerabilities__7ea84c9c5f40289a7160b1253aab7c23
DarkComet trojan C2,DarkComet trojan C2,Malware,alert2.local,product,DarkComet trojan,,,Diplomat,DarkComet trojan C2,,shodan_vulnerabilities,875cb85d75959cc54f693eeeca055e95,shodan_vulnerabilities__875cb85d75959cc54f693eeeca055e95
NanoCore RAT trojan C2,NanoCore RAT trojan C2,Malware,alert2.local,product,NanoCore RAT trojan,,,Exec,NanoCore RAT trojan C2,,shodan_vulnerabilities,184b02fe76a735ae22f713cee041b48e,shodan_vulnerabilities__184b02fe76a735ae22f713cee041b48e
XtremeRAT trojan C2,XtremeRAT trojan C2,Malware,alert2.local,product,XtremeRAT trojan,,,Organization,XtremeRAT trojan C2,,shodan_vulnerabilities,aa6b712ad9eafc01cc05bd533a6e2914,shodan_vulnerabilities__aa6b712ad9eafc01cc05bd533a6e2914
njRAT trojan C2,njRAT trojan C2,Malware,alert2.local,product,njRAT trojan,,,Legislator,njRAT trojan C2,,shodan_vulnerabilities,6ec042b37aa037d89c7ee7d14e45590d,shodan_vulnerabilities__6ec042b37aa037d89c7ee7d14e45590d
Empire C2 C2,Empire C2,Malware,alert2.local,product,Empire C2,,,ForeignMinistry,Empire C2,,shodan_vulnerabilities,ec34ddb1b1c551f5c68826888f580d43,shodan_vulnerabilities__ec34ddb1b1c551f5c68826888f580d43
ZeroAccess trojan C2,ZeroAccess trojan C2,Malware,alert2.local,product,ZeroAccess trojan,,,Organization,ZeroAccess trojan C2,,shodan_vulnerabilities,7c5a172540e2fa81578a986c67eaf09f,shodan_vulnerabilities__7c5a172540e2fa81578a986c67eaf09f
Gh0st RAT trojan C2,Gh0st RAT trojan C2,Malware,alert2.local,product,Gh0st RAT trojan,,,Media,Gh0st RAT trojan C2,,shodan_vulnerabilities,bd66f957789cd93eb5dad8268699556f,shodan_vulnerabilities__bd66f957789cd93eb5dad8268699556f
