keyword,caption_name,groups,topic_id,entity_type,focus_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
new york city police department,New York City Police Department,slg,188120,,3140002,,New York City Police Department,,slg_overlap_terms,48c8005a2be6768a46c29fe7c5ff73b7,slg_overlap_terms__48c8005a2be6768a46c29fe7c5ff73b7
nypdnews,New York City Police Department,slg,188120,,3140002,,New York City Police Department,,slg_overlap_terms,48c8005a2be6768a46c29fe7c5ff73b7,slg_overlap_terms__48c8005a2be6768a46c29fe7c5ff73b7
nypd,New York City Police Department,slg,188120,,3140002,,New York City Police Department,,slg_overlap_terms,48c8005a2be6768a46c29fe7c5ff73b7,slg_overlap_terms__48c8005a2be6768a46c29fe7c5ff73b7
los angeles police department,Los Angeles Police Department,slg,188120,,3140002,,Los Angeles Police Department,,slg_overlap_terms,dada3222a1d88143fb7e561e96e8ca1b,slg_overlap_terms__dada3222a1d88143fb7e561e96e8ca1b
lapd,Los Angeles Police Department,slg,188120,,3140002,,Los Angeles Police Department,,slg_overlap_terms,dada3222a1d88143fb7e561e96e8ca1b,slg_overlap_terms__dada3222a1d88143fb7e561e96e8ca1b
lapdhq,Los Angeles Police Department,slg,188120,,3140002,,Los Angeles Police Department,,slg_overlap_terms,dada3222a1d88143fb7e561e96e8ca1b,slg_overlap_terms__dada3222a1d88143fb7e561e96e8ca1b
dc mpd,"Washington, DC Metropolitan Police Department",slg,188120,,3140002,,"Washington, DC Metropolitan Police Department",,slg_overlap_terms,d8d105aff1260da44806fab1b82e9945,slg_overlap_terms__d8d105aff1260da44806fab1b82e9945
metropolitan police department of the district of columbia,"Washington, DC Metropolitan Police Department",slg,188120,,3140002,,"Washington, DC Metropolitan Police Department",,slg_overlap_terms,d8d105aff1260da44806fab1b82e9945,slg_overlap_terms__d8d105aff1260da44806fab1b82e9945
(mpd; dc),"Washington, DC Metropolitan Police Department",slg,188120,,3140002,,"Washington, DC Metropolitan Police Department",,slg_overlap_terms,d8d105aff1260da44806fab1b82e9945,slg_overlap_terms__d8d105aff1260da44806fab1b82e9945
dcpolicedept,"Washington, DC Metropolitan Police Department",slg,188120,,3140002,,"Washington, DC Metropolitan Police Department",,slg_overlap_terms,d8d105aff1260da44806fab1b82e9945,slg_overlap_terms__d8d105aff1260da44806fab1b82e9945
dallas police department,Dallas Police Department,slg,188120,,3140002,,Dallas Police Department,,slg_overlap_terms,c65810579cdf6b073a367a52cb4a4033,slg_overlap_terms__c65810579cdf6b073a367a52cb4a4033
(dpd; dallas),Dallas Police Department,slg,188120,,3140002,,Dallas Police Department,,slg_overlap_terms,c65810579cdf6b073a367a52cb4a4033,slg_overlap_terms__c65810579cdf6b073a367a52cb4a4033
dallaspd,Dallas Police Department,slg,188120,,3140002,,Dallas Police Department,,slg_overlap_terms,c65810579cdf6b073a367a52cb4a4033,slg_overlap_terms__c65810579cdf6b073a367a52cb4a4033
houston police department,Houston Police Department,slg,188120,,3140002,,Houston Police Department,,slg_overlap_terms,1d0c971f8625e11d1e6993187e4bb22e,slg_overlap_terms__1d0c971f8625e11d1e6993187e4bb22e
hpd,Houston Police Department,slg,188120,,3140002,,Houston Police Department,,slg_overlap_terms,1d0c971f8625e11d1e6993187e4bb22e,slg_overlap_terms__1d0c971f8625e11d1e6993187e4bb22e
houstonpolice,Houston Police Department,slg,188120,,3140002,,Houston Police Department,,slg_overlap_terms,1d0c971f8625e11d1e6993187e4bb22e,slg_overlap_terms__1d0c971f8625e11d1e6993187e4bb22e
miami police department,Miami Police Department,slg,188120,,3140002,,Miami Police Department,,slg_overlap_terms,d2e0b6447e9d30ca1448a7bf0b83ff88,slg_overlap_terms__d2e0b6447e9d30ca1448a7bf0b83ff88
miamipd,Miami Police Department,slg,188120,,3140002,,Miami Police Department,,slg_overlap_terms,d2e0b6447e9d30ca1448a7bf0b83ff88,slg_overlap_terms__d2e0b6447e9d30ca1448a7bf0b83ff88
philly police department,Philadelphia Police Department,slg,188120,,3140002,,Philadelphia Police Department,,slg_overlap_terms,e673160b54761db77c9c25ececc63c1b,slg_overlap_terms__e673160b54761db77c9c25ececc63c1b
philadelphia police department,Philadelphia Police Department,slg,188120,,3140002,,Philadelphia Police Department,,slg_overlap_terms,e673160b54761db77c9c25ececc63c1b,slg_overlap_terms__e673160b54761db77c9c25ececc63c1b
phillypolice,Philadelphia Police Department,slg,188120,,3140002,,Philadelphia Police Department,,slg_overlap_terms,e673160b54761db77c9c25ececc63c1b,slg_overlap_terms__e673160b54761db77c9c25ececc63c1b
detroit police department,Detroit Police Department,slg,188120,,3140002,,Detroit Police Department,,slg_overlap_terms,98b505e9f2d006ae163b7586048b3298,slg_overlap_terms__98b505e9f2d006ae163b7586048b3298
(dpd; detroit),Detroit Police Department,slg,188120,,3140002,,Detroit Police Department,,slg_overlap_terms,98b505e9f2d006ae163b7586048b3298,slg_overlap_terms__98b505e9f2d006ae163b7586048b3298
detroitpolice,Detroit Police Department,slg,188120,,3140002,,Detroit Police Department,,slg_overlap_terms,98b505e9f2d006ae163b7586048b3298,slg_overlap_terms__98b505e9f2d006ae163b7586048b3298
atlanta police department,Atlanta Police Department,slg,188120,,3140002,,Atlanta Police Department,,slg_overlap_terms,534237aa6a70e796e0eeeaf6979e41f9,slg_overlap_terms__534237aa6a70e796e0eeeaf6979e41f9
atlanta_police,Atlanta Police Department,slg,188120,,3140002,,Atlanta Police Department,,slg_overlap_terms,534237aa6a70e796e0eeeaf6979e41f9,slg_overlap_terms__534237aa6a70e796e0eeeaf6979e41f9
apd,Atlanta Police Department,slg,188120,,3140002,,Atlanta Police Department,,slg_overlap_terms,534237aa6a70e796e0eeeaf6979e41f9,slg_overlap_terms__534237aa6a70e796e0eeeaf6979e41f9
chicago police department,Chicago Police Department,slg,188120,,3140002,,Chicago Police Department,,slg_overlap_terms,7c1efbf3fb1247dc74ef52757f66378e,slg_overlap_terms__7c1efbf3fb1247dc74ef52757f66378e
cpd,Chicago Police Department,slg,188120,,3140002,,Chicago Police Department,,slg_overlap_terms,7c1efbf3fb1247dc74ef52757f66378e,slg_overlap_terms__7c1efbf3fb1247dc74ef52757f66378e
chicago_police,Chicago Police Department,slg,188120,,3140002,,Chicago Police Department,,slg_overlap_terms,7c1efbf3fb1247dc74ef52757f66378e,slg_overlap_terms__7c1efbf3fb1247dc74ef52757f66378e
san diego police department,San Diego Police Department,slg,188120,,3140002,,San Diego Police Department,,slg_overlap_terms,422f2839c2cb3cfc3b366faeb6bde8b1,slg_overlap_terms__422f2839c2cb3cfc3b366faeb6bde8b1
san diego pd,San Diego Police Department,slg,188120,,3140002,,San Diego Police Department,,slg_overlap_terms,422f2839c2cb3cfc3b366faeb6bde8b1,slg_overlap_terms__422f2839c2cb3cfc3b366faeb6bde8b1
sandiegopd,San Diego Police Department,slg,188120,,3140002,,San Diego Police Department,,slg_overlap_terms,422f2839c2cb3cfc3b366faeb6bde8b1,slg_overlap_terms__422f2839c2cb3cfc3b366faeb6bde8b1
columbus ohio police,Columbus Police Department,slg,188120,,3140002,,Columbus Police Department,,slg_overlap_terms,c41974b6fdeb33f16a2c3debb2d08d9e,slg_overlap_terms__c41974b6fdeb33f16a2c3debb2d08d9e
columbuspolice,Columbus Police Department,slg,188120,,3140002,,Columbus Police Department,,slg_overlap_terms,c41974b6fdeb33f16a2c3debb2d08d9e,slg_overlap_terms__c41974b6fdeb33f16a2c3debb2d08d9e
cmpd,Charlotte-Mecklenburg Police Department,slg,188120,,3140002,,Charlotte-Mecklenburg Police Department,,slg_overlap_terms,8e0f29117a84c4b6766d5a71c2124d00,slg_overlap_terms__8e0f29117a84c4b6766d5a71c2124d00
charlotte pd,Charlotte-Mecklenburg Police Department,slg,188120,,3140002,,Charlotte-Mecklenburg Police Department,,slg_overlap_terms,8e0f29117a84c4b6766d5a71c2124d00,slg_overlap_terms__8e0f29117a84c4b6766d5a71c2124d00
charlottepd,Charlotte-Mecklenburg Police Department,slg,188120,,3140002,,Charlotte-Mecklenburg Police Department,,slg_overlap_terms,8e0f29117a84c4b6766d5a71c2124d00,slg_overlap_terms__8e0f29117a84c4b6766d5a71c2124d00
