event,caption,topic,topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
tehnična in druga pomoč,Emergency assistance requested in,"Roadways - Safety, Fires and Collapses","188130, 188118",Keyphrase,Emergency assistance requested in,,slovenia_civil_protection_mapping,0a5c4ea9f843cd00681b983564d3b6f7,slovenia_civil_protection_mapping__0a5c4ea9f843cd00681b983564d3b6f7
nesreče v cestnem prometu,Crash in,"Roadways - Safety, Fires and Collapses","188130, 188118",Wells,Crash in,,slovenia_civil_protection_mapping,dc4147d4ea7dbe2486045911a423809b,slovenia_civil_protection_mapping__dc4147d4ea7dbe2486045911a423809b
"nesreče z nevarnimi in drugimi snovmi v naravi, prometu",Hazmat incident reported in,"Roadways - Safety, Fires and Collapses, Public Health - Hazardous Materials","188130, 188118, 188122",Legislator,Hazmat incident reported in,,slovenia_civil_protection_mapping,9c65f1418180ca67e4e880e9f584793e,slovenia_civil_protection_mapping__9c65f1418180ca67e4e880e9f584793e
požari v stanovanjskih stavbah,Fire burns in residential building in,Fires and Collapses,188118,Organization,Fire burns in residential building in,,slovenia_civil_protection_mapping,3c3d632c6ef6acdc29fc12e7caa27deb,slovenia_civil_protection_mapping__3c3d632c6ef6acdc29fc12e7caa27deb
"nesreče pri športnih, rekreativnih in adrenalinskih aktivnostih",Incident reported in,Fires and Collapses,188118,Keyphrase,Incident reported in,,slovenia_civil_protection_mapping,ef7f678e9292c1c82065cc3c08a2f638,slovenia_civil_protection_mapping__ef7f678e9292c1c82065cc3c08a2f638
nesreče v gorah,Alpine incident reported in,Fires and Collapses,188118,Pipeline,Alpine incident reported in,,slovenia_civil_protection_mapping,2d33c7ae15f5b69dbb8b128e3d49ee24,slovenia_civil_protection_mapping__2d33c7ae15f5b69dbb8b128e3d49ee24
požari v komunalnih in drugih zabojnikih,Fire burns in,Fires and Collapses,188118,News,Fire burns in,,slovenia_civil_protection_mapping,2e5b61351dbdb2cbf07c1ce490641926,slovenia_civil_protection_mapping__2e5b61351dbdb2cbf07c1ce490641926
požari v naravi oziroma na prostem,Brush fire burns in,Fires and Collapses,188118,FTO,Brush fire burns in,,slovenia_civil_protection_mapping,f8d642c90c7d9a333ad3bd8e6b9fdf19,slovenia_civil_protection_mapping__f8d642c90c7d9a333ad3bd8e6b9fdf19
reševanje obolelih in helikopterski prevozi med bolnišnicami,Helicopter transports individuals to hospital in,Fires and Collapses,188118,LegislativeCommittee,Helicopter transports individuals to hospital in,,slovenia_civil_protection_mapping,07871aa1f27b031fcab1d2f1be91be76,slovenia_civil_protection_mapping__07871aa1f27b031fcab1d2f1be91be76
"nenačrtne motnje, omejitve, prekinitve oskrbe z električno energijo",Power outage in,"Fires and Collapses, Infrastructure - Utilities - Gas & Electricity","188118, 188241",FTO,Power outage in,,slovenia_civil_protection_mapping,f0fb99edfea8737e0f33f630d54baddd,slovenia_civil_protection_mapping__f0fb99edfea8737e0f33f630d54baddd
požari na sredstvih cestnega prometp,Car on fire in,Roadways - Safety,188130,Wells,Car on fire in,,slovenia_civil_protection_mapping,29be147f19abdf61b049bbd37593871c,slovenia_civil_protection_mapping__29be147f19abdf61b049bbd37593871c
delovne nesreče,Incident reported in,Fires and Collapses,188118,Shipping,Incident reported in,,slovenia_civil_protection_mapping,ef7f678e9292c1c82065cc3c08a2f638,slovenia_civil_protection_mapping__ef7f678e9292c1c82065cc3c08a2f638
sproščanja nevarnih plinov,Gas leak reported in,"Public Health - Hazardous Materials, Infrastructure - Utilities - Gas & Electricity","188122, 188241",Person,Gas leak reported in,,slovenia_civil_protection_mapping,fb7cb39a96d408a4a772f0514e4b2a1c,slovenia_civil_protection_mapping__fb7cb39a96d408a4a772f0514e4b2a1c
pogrešane osebe,Missing individuals reported in,Search and Rescue,188290,Exec,Missing individuals reported in,,slovenia_civil_protection_mapping,4827f0b9816335ecb7ed4adb23716460,slovenia_civil_protection_mapping__4827f0b9816335ecb7ed4adb23716460
požari v kompleksnih industrijskih objektih,Industrial fire burns in,Fires and Collapses,188118,Keyphrase,Industrial fire burns in,,slovenia_civil_protection_mapping,471f76322fe49c6b60318ab05e4ebb3d,slovenia_civil_protection_mapping__471f76322fe49c6b60318ab05e4ebb3d
