lookup,caption,threshold,topic,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
breathing,due to person with breathing difficulties,Alert 5,Fires and collapses,Wells,due to person with breathing difficulties,,south_aus_emer_caption,1acf2b305e7058988ac9274722b16402,south_aus_emer_caption__1acf2b305e7058988ac9274722b16402
haemorrhag,due to person with haemorrhage,Alert 5,Fires and collapses,Person,due to person with haemorrhage,,south_aus_emer_caption,1887abced7c66bd01a57e36af908e0d5,south_aus_emer_caption__1887abced7c66bd01a57e36af908e0d5
sick perso,due to person feeling unwell,Alert 5,Fires and collapses,Person,due to person feeling unwell,,south_aus_emer_caption,c9a6051af54d6d36b53fa6740841c084,south_aus_emer_caption__c9a6051af54d6d36b53fa6740841c084
discharge,to assist with discharge of patient,Alert 5,Fires and collapses,Organization,to assist with discharge of patient,,south_aus_emer_caption,3d75447a2000fcbec55bf0aa1470e354,south_aus_emer_caption__3d75447a2000fcbec55bf0aa1470e354
falls,due to person suffering a fall,Alert 5,Fires and collapses,Organization,due to person suffering a fall,,south_aus_emer_caption,08d901c5389908ce7477da5cda47addd,south_aus_emer_caption__08d901c5389908ce7477da5cda47addd
traumatic,due to person with trauma injury,Alert 5,Fires and collapses,ForeignMinister,due to person with trauma injury,,south_aus_emer_caption,46061d6ec5f69f8f5f1a259345513cf2,south_aus_emer_caption__46061d6ec5f69f8f5f1a259345513cf2
assault,due to assault,Local Urgent,Crime - Active Threat,News,due to assault,,south_aus_emer_caption,1c66b8cd777d610c762d482669c3f437,south_aus_emer_caption__1c66b8cd777d610c762d482669c3f437
heart prob,due to person with heart problem,Alert 5,Fires and collapses,Organization,due to person with heart problem,,south_aus_emer_caption,d65fe6c9a186d6f8efacf919660f26bc,south_aus_emer_caption__d65fe6c9a186d6f8efacf919660f26bc
overdose,due to suspected overdose,Alert 5,Fires and collapses,CompanyKeyword,due to suspected overdose,,south_aus_emer_caption,fe8efca1a93c39082e4c83c6eba9671a,south_aus_emer_caption__fe8efca1a93c39082e4c83c6eba9671a
convulsion,due to person suffering convulsions,Alert 5,Fires and collapses,Person,due to person suffering convulsions,,south_aus_emer_caption,e438fc5a88c1f27a9e45729bb2525517,south_aus_emer_caption__e438fc5a88c1f27a9e45729bb2525517
rollover,due to rollover crash,Signal,Roadways - Safety,FTO,due to rollover crash,,south_aus_emer_caption,d3aaac131208c69f4a7acd43ca6d2f82,south_aus_emer_caption__d3aaac131208c69f4a7acd43ca6d2f82
