keyword,keyword_orig,guid,caption_name,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
addepar,Addepar,242d449c4c9c66a29412d95cf24434c4,Addepar,Consulates,Addepar,,strategic_company_to_guid_caption_name,59e26ddcc8e4e8255bbcb1d6fa4d0dad,strategic_company_to_guid_caption_name__59e26ddcc8e4e8255bbcb1d6fa4d0dad
brightloom,Brightloom,4b0102bdf2e1554f2a9085767d0982f5,Brightloom,space,Brightloom,,strategic_company_to_guid_caption_name,11ef60b233701987e026973a15433f31,strategic_company_to_guid_caption_name__11ef60b233701987e026973a15433f31
fooda,Fooda,89478c99b272d127b136ddc135e20f29,Fooda,News,Fooda,,strategic_company_to_guid_caption_name,c688d35dacb57de878837bc08273e7dd,strategic_company_to_guid_caption_name__c688d35dacb57de878837bc08273e7dd
manduka,Manduka,52486109fc285751023e2c77af9e6071,Manduka,LegislativeCommittee,Manduka,,strategic_company_to_guid_caption_name,bb90d87dd3b9c63f0742ac1d7604743b,strategic_company_to_guid_caption_name__bb90d87dd3b9c63f0742ac1d7604743b
wow bao,Wow Bao,0879dfab4259b9fee3b513d57eb455d4,Wow Bao,Diplomat,Wow Bao,,strategic_company_to_guid_caption_name,7fe15362d784cf7f7671b75671ebc66b,strategic_company_to_guid_caption_name__7fe15362d784cf7f7671b75671ebc66b
benchmark analytics,Benchmark Analytics,e446c339425d492eafa275cdf86972aa,Benchmark Analytics,Refinery,Benchmark Analytics,,strategic_company_to_guid_caption_name,146f02573ad62d486d344d807d6743d7,strategic_company_to_guid_caption_name__146f02573ad62d486d344d807d6743d7
bird rides,Bird Rides,39a80ba7f5500b06d74106910211985e,Bird,Pipeline,Bird,,strategic_company_to_guid_caption_name,ebe418ae757b121b0d636041981fc1d1,strategic_company_to_guid_caption_name__ebe418ae757b121b0d636041981fc1d1
bitgo,BitGo,8636b170a07363fea3816b7f0c45d6d7,BitGo,Keyphrase,BitGo,,strategic_company_to_guid_caption_name,b0d7cb2a59f87925856e9b7bbc408c4e,strategic_company_to_guid_caption_name__b0d7cb2a59f87925856e9b7bbc408c4e
castle creek pharma,Castle Creek Pharma,75e41935556e066205e4ecb82785ca72,Castle Creek Pharma,Legislator,Castle Creek Pharma,,strategic_company_to_guid_caption_name,b28e9b8dca0c648c1663f77723b7b4df,strategic_company_to_guid_caption_name__b28e9b8dca0c648c1663f77723b7b4df
cloud9,Cloud9,a2ce86a4a87659476c5e5289e090deb7,Cloud9,space,Cloud9,,strategic_company_to_guid_caption_name,fc8e90107dabb9a35c490b0d86adea06,strategic_company_to_guid_caption_name__fc8e90107dabb9a35c490b0d86adea06
