ceo_handle,company_name,caption_name,guid,caption,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
adambrotman,Brightloom,Adam Brotman,4b0102bdf2e1554f2a9085767d0982f5,Brightloom CEO Adam Brotman,AAEntity,Adam Brotman,,strategic_modelset_ceo_handle,28c8ed9571beaa182caf35b0053d047b,strategic_modelset_ceo_handle__28c8ed9571beaa182caf35b0053d047b
obuzza,Fooda,Orrazio Buzza,89478c99b272d127b136ddc135e20f29,Fooda CEO Orrazio Buzza,LegislativeCommittee,Orrazio Buzza,,strategic_modelset_ceo_handle,242eb792b2703b89e245b88e0c0c0dfc,strategic_modelset_ceo_handle__242eb792b2703b89e245b88e0c0c0dfc
petersterios,Manduka,Peter Sterios,52486109fc285751023e2c77af9e6071,Manduka CEO Peter Sterios,Consulates,Peter Sterios,,strategic_modelset_ceo_handle,898cc4ec7820dc6cb80e0b9047530b55,strategic_modelset_ceo_handle__898cc4ec7820dc6cb80e0b9047530b55
mattehrlichman,Porch,Matt Ehrlichman,bc76a0292d32132d4c6e97fe7adda3f4,Porch CEO Matt Ehrlichman,Exec,Matt Ehrlichman,,strategic_modelset_ceo_handle,b03c2b92cc75133cad52c91ac29057e2,strategic_modelset_ceo_handle__b03c2b92cc75133cad52c91ac29057e2
mauryblackman,Premise,Maury Blackman,adb4dd6b5cf0b5ba62155075e7405d5f,Premise CEO Maury Blackman,Organization,Maury Blackman,,strategic_modelset_ceo_handle,5624d23eb8874d2f28c0c78a4f5fcbb8,strategic_modelset_ceo_handle__5624d23eb8874d2f28c0c78a4f5fcbb8
geoffalex,Wow Bao,Geoff Alexander,0879dfab4259b9fee3b513d57eb455d4,Wow Bao CEO Geoff Alexander,AAEntity,Geoff Alexander,,strategic_modelset_ceo_handle,2b7ca56115c39fb650177146f5edb638,strategic_modelset_ceo_handle__2b7ca56115c39fb650177146f5edb638
martenmickos,HackerOne,Mårten Mickos,6d1c55eedbd38665e0e517f15cc3e2e3,HackerOne CEO Mårten Mickos,Refinery,Mårten Mickos,,strategic_modelset_ceo_handle,49a5735189fa9914670496af84465850,strategic_modelset_ceo_handle__49a5735189fa9914670496af84465850
dereksteer,Mode,Derek Steer,b838b7bb9eef18840fb3d80e8cf279b4,Mode CEO Derek Steer,Media,Derek Steer,,strategic_modelset_ceo_handle,7e943812b1e6e1a62bbcf3a7b8abb6e6,strategic_modelset_ceo_handle__7e943812b1e6e1a62bbcf3a7b8abb6e6
seamonds,Roti,Justin Seamonds,db26953ea811798f0f522fc64ca1b4cd,Roti CEO Justin Seamonds,Keyphrase,Justin Seamonds,,strategic_modelset_ceo_handle,070fbeb0390b510324e7183819ebbd9f,strategic_modelset_ceo_handle__070fbeb0390b510324e7183819ebbd9f
mmatta10,Solink,Mike Matta,f3a3daae9b5a48571d1af2fdf4a60dbf,Solink CEO Mike Matta,ForeignMinister,Mike Matta,,strategic_modelset_ceo_handle,4832dc9841a3567af95f4002d47c6101,strategic_modelset_ceo_handle__4832dc9841a3567af95f4002d47c6101
