german_text,caption_text,lat,lon,.1,default location,default_lat,default_lon,.2,handle:einszweizweibot,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
linz,"Linz, Austria",48.30694,14.28583,,,,,,,space,"Linz, Austria",,upper_austria_locations,ac2d6ddf3c2c5a5103ba11cc80f646e8,upper_austria_locations__ac2d6ddf3c2c5a5103ba11cc80f646e8
wels,"Wels, Austria",48.16542,14.03664,,,,,,,Organization,"Wels, Austria",,upper_austria_locations,d60370433fab8ada10c8e67899f1ca8b,upper_austria_locations__d60370433fab8ada10c8e67899f1ca8b
steyr,"Steyr, Austria",48.05009,14.41827,,,,,ss,,AAEntity,"Steyr, Austria",,upper_austria_locations,39aedc3ec205e3c692e756a802e19b4f,upper_austria_locations__39aedc3ec205e3c692e756a802e19b4f
braunau am inn,"Braunau am Inn, Austria",48.25573,13.04432,,,,,u,,FTO,"Braunau am Inn, Austria",,upper_austria_locations,f696f7842eea7d1ddfed69d5f18be87d,upper_austria_locations__f696f7842eea7d1ddfed69d5f18be87d
eferding,"Eferding, Austria",48.30879,14.02023,,,,,a,,CompanyKeyword,"Eferding, Austria",,upper_austria_locations,ebad01809b72ba17acce121479c4bf35,upper_austria_locations__ebad01809b72ba17acce121479c4bf35
freistadt,"Freistadt, Austria",48.50217,14.50201,,,,,o,,LegislativeCommittee,"Freistadt, Austria",,upper_austria_locations,6ac1894274846f4621572f210c47900a,upper_austria_locations__6ac1894274846f4621572f210c47900a
gmunden,"Gmunden, Austria",47.91839,13.79933,,,,,,,Shipping,"Gmunden, Austria",,upper_austria_locations,178840057449da1231f6886f2861a6f5,upper_austria_locations__178840057449da1231f6886f2861a6f5
grieskirchen,"Grieskirchen, Austria",48.23587,13.82617,,,,,,,Person,"Grieskirchen, Austria",,upper_austria_locations,27211c1a56d6fc6d8f5bec807b1bd0ef,upper_austria_locations__27211c1a56d6fc6d8f5bec807b1bd0ef
kirchdorf,"Kirchdorf, Austria",47.5573206,12.4474459,,,,,,,Organization,"Kirchdorf, Austria",,upper_austria_locations,6d59f576fd8c52fc2e6fd15cb591397b,upper_austria_locations__6d59f576fd8c52fc2e6fd15cb591397b
linz-land,"Linz-Land, Austria",48.1679636,14.2926786,,,,,,,Shipping,"Linz-Land, Austria",,upper_austria_locations,2880778ff44d4059c62e707fe7e9282b,upper_austria_locations__2880778ff44d4059c62e707fe7e9282b
perg,"Perg, Austria",48.24992,14.63474,,,,,,,Wells,"Perg, Austria",,upper_austria_locations,675a91978664ce392b6f792e61b06fff,upper_austria_locations__675a91978664ce392b6f792e61b06fff
ried im innkreis,"Ried im Innkreis, Austria",48.21272,13.49272,,,,,,,FTO,"Ried im Innkreis, Austria",,upper_austria_locations,6699e86bc0517cb3cca91ed453b05b6f,upper_austria_locations__6699e86bc0517cb3cca91ed453b05b6f
rohrbach,"Rohrbach, Austria",48.5724264,13.9892409,,,,,,,CompanyKeyword,"Rohrbach, Austria",,upper_austria_locations,28c8be115979823679443b5545c4b5cf,upper_austria_locations__28c8be115979823679443b5545c4b5cf
scharding,"Scharding, Austria",48.46051,13.43268,,,,,,,Pipeline,"Scharding, Austria",,upper_austria_locations,34a6dbe2659890bd2d2bcc1a34ebab6f,upper_austria_locations__34a6dbe2659890bd2d2bcc1a34ebab6f
