brand,caption_name,caption_name_german,caption_name_french,threshold,guid,location_name,lat,lon,additional_topic_id,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
assurance maladie,Assurance Maladie,Assurance Maladie,,general.alert4,,"Paris, France",48.856614,2.3522219,,Media,Assurance Maladie,,urlscan_ps_brand_mapping,e2ffc95b5b577e61335a5ec9a31a8853,urlscan_ps_brand_mapping__e2ffc95b5b577e61335a5ec9a31a8853
australian government,Australian government,Australische Regierung,,general.alert4,,"Canberra, Australia",-35.2809368,149.1300092,,ForeignMinistry,Australian government,,urlscan_ps_brand_mapping,517a2bb72e0cbbe0ad8b7c1cc02bffb8,urlscan_ps_brand_mapping__517a2bb72e0cbbe0ad8b7c1cc02bffb8
belgian government,Belgian government,Belgische Regierung,,general.alert5,,"Brussels, Belgium",50.8503396,4.3517103,,Consulates,Belgian government,,urlscan_ps_brand_mapping,e1d85464c9f58fe15bc34c80ad51ed45,urlscan_ps_brand_mapping__e1d85464c9f58fe15bc34c80ad51ed45
belgian post group,Belgian Post Group,Belgian Post Group,,general.alert5,,"Brussels, Belgium",50.8503396,4.3517103,,Wells,Belgian Post Group,,urlscan_ps_brand_mapping,a51dddaa30d187311073b8c7f442a568,urlscan_ps_brand_mapping__a51dddaa30d187311073b8c7f442a568
canada post,Canada Post,Canada Post,,general.alert4,,"Ottawa, Canada",45.4215296,-75.6971931,,AAEntity,Canada Post,,urlscan_ps_brand_mapping,bf012586d7b97355a63f65b5e271b4c2,urlscan_ps_brand_mapping__bf012586d7b97355a63f65b5e271b4c2
canadian government,Canadian government,Kanadische Regierung,,general.alert4,,"Ottawa, Canada",45.4215296,-75.6971931,,Keyphrase,Canadian government,,urlscan_ps_brand_mapping,61c48f2cdd1cfd3e59d43e340c6cb059,urlscan_ps_brand_mapping__61c48f2cdd1cfd3e59d43e340c6cb059
dk government,Danish government,Dänische Regierung,,general.alert5,,"Copenhagen, Denmark",55.6760968,12.5683372,,Diplomat,Danish government,,urlscan_ps_brand_mapping,7f7ed34cfff1d7f978f09854c6e7dc63,urlscan_ps_brand_mapping__7f7ed34cfff1d7f978f09854c6e7dc63
électricité de france,Électricité de France,Électricité de France,,general.alert4,,"Paris, France",48.856614,2.3522219,,Person,Électricité de France,,urlscan_ps_brand_mapping,d1d6c7b3042a7c86e77fb8aa6f4438b0,urlscan_ps_brand_mapping__d1d6c7b3042a7c86e77fb8aa6f4438b0
esta,Electronic System for Travel Authorization,Electronic System for Travel Authorization,,general.alert4,,"Washington D.C., United States",38.9071923,-77.0368707,,AAEntity,Electronic System for Travel Authorization,,urlscan_ps_brand_mapping,8f9d7de1a75762ec5205cf0816e929b3,urlscan_ps_brand_mapping__8f9d7de1a75762ec5205cf0816e929b3
generic government,Generic government,Regierung,,general.alert5,,"Washington D.C., United States",38.9071923,-77.0368707,,Consulates,Generic government,,urlscan_ps_brand_mapping,e5fd3610324e0771a4aae1b4d9465133,urlscan_ps_brand_mapping__e5fd3610324e0771a4aae1b4d9465133
hungarian government,Hungarian government,Ungarische Regierung,,general.alert5,,"Budapest, Hungary",47.497912,19.040235,,IndustryTerm,Hungarian government,,urlscan_ps_brand_mapping,45f7b7b333f0d737dadc70a27f457f24,urlscan_ps_brand_mapping__45f7b7b333f0d737dadc70a27f457f24
