company,guid,company_caption,tier,location,lat,lon,ENTITY_LABEL,name,description,source,source_identifier,global_identifier
1 800 flowers,894fb3718aef4fac966643eb37b49dea,1800Flowers,Tier 2,"Carle Place, NY, USA",40.7526008,-73.6104058,Shipping,1800Flowers,,us_sec_company,ad16af71f32fb5666cb92ba000847ae7,us_sec_company__ad16af71f32fb5666cb92ba000847ae7
111 inc,65d5a240d63f417e2f9c402a43a3cd1d,111 Inc,Other,"Shanghai, China",31.230416,121.473701,Legislator,111 Inc,,us_sec_company,f4cacc8fd012da94f3bf1f9b215af526,us_sec_company__f4cacc8fd012da94f3bf1f9b215af526
1347 property insurance,479b38f38e88cf95e63ab00abe6aa37f,1347 Property Insurance Holdings,Other,"Tampa, FL, USA",27.950575,-82.4571776,Legislator,1347 Property Insurance Holdings,,us_sec_company,1cb9997db7ef89f5dcc344d9a66ca472,us_sec_company__1cb9997db7ef89f5dcc344d9a66ca472
180 degree capital,68fd679ddb13d72f19d91c31bf849ad1,180 Degree Capital,Other,"Montclair, NJ, USA",40.8259007,-74.2090053,CompanyKeyword,180 Degree Capital,,us_sec_company,672e69e12b378c484657f46cd9e52aa0,us_sec_company__672e69e12b378c484657f46cd9e52aa0
1895 bancorp of wisconsin,5c096947a8dfe8415bda772b6c164211,1895 Bancorp of Wisconsin,Other,"Greenfield, WI, USA",42.9614039,-88.0125865,Legislator,1895 Bancorp of Wisconsin,,us_sec_company,19688b7542cc27ab80f1faa1008d3bf6,us_sec_company__19688b7542cc27ab80f1faa1008d3bf6
1st constitution bancorp,2084e9b63e1e624651708716fc37236e,1st Constitution Bancorp,Other,"Cranbury, NJ, USA",40.3025907,-74.511172,space,1st Constitution Bancorp,,us_sec_company,acf210b49851dae9e6625aaf064b9f15,us_sec_company__acf210b49851dae9e6625aaf064b9f15
1st source corp,05b1d7e99d80edf72969d525463eb23e,1st Source,Other,"South Bend, IN, USA",41.6763545,-86.2519898,AAEntity,1st Source,,us_sec_company,0d4aca0282e863f5eede730713fff3e3,us_sec_company__0d4aca0282e863f5eede730713fff3e3
21vianet group,c5776d087c5e02a8d58186a334042e59,21Vianet Group,Other,"Beijing, China",39.9041999,116.4073963,IndustryTerm,21Vianet Group,,us_sec_company,eb5471fb4aa13e1dcbc1dfdad921d312,us_sec_company__eb5471fb4aa13e1dcbc1dfdad921d312
22nd century group,01b4b107f5a4a0d3afb39a4bffcf995b,22nd Century Group,Other,"Williamsville, NY, USA",42.963947,-78.7378091,Wells,22nd Century Group,,us_sec_company,417c25325430db845db3ba657df4e826,us_sec_company__417c25325430db845db3ba657df4e826
2u,b72150fa373cb55b69fb3c2f1002ffa0,2U Inc,Other,"Lanham, MD, USA",38.9685112,-76.8620327,News,2U Inc,,us_sec_company,a67bbf1405f81bb438fa5494cedc1ce1,us_sec_company__a67bbf1405f81bb438fa5494cedc1ce1
