identifier,name
0848e1597fcda627be8e7e1ac0d33502,HEALTH CARE
0b88909b0346d11bfafdd3017851c19c,RETAIL
19607461bc9a11988406fcb058e24302,TRAVEL & LEISURE
28bec7666fba0acf0bacc7563ac90654,PERSONAL & HOUSEHOLD GOODS
31937e97ffb5daa3a2df08ba9c3ed780,FINANCIAL SERVICES
3251005b44492bda3edaf64bc1b8e8dd,INDUSTRIAL GOODS & SERVICES
5acbd717da2b8480d919bc794f566f80,FOOD & BEVERAGE
5b2a433ec56985a1b329393d9ab2668a,MEDIA
5b8853fc4e5aa02c68c7210edd8eee1b,TELECOMMUNICATIONS
649b464fec3f34c1630e72c66a188769,BANKS
77d1570a6a007c8dde27678334142fb2,CHEMICALS
a28f1d071d9ef1edf2e0d44a3b8c361f,INSURANCE
a342eb602e3e878f00320cedcb841068,REAL ESTATE
ac406bfc80c207c0ed07d082b5431cad,CONSTRUCTION & MATERIALS
c1816ea23601f183dcbd6f08a2979811,TECHNOLOGY
d74fa847c61b1605bdac2c24b2ed54e1,AUTOMOBILES & PARTS
f34902714a04d98fcfa9b7944b5c993a,BASIC RESOURCES
fde7d9081ab574e525cf47eb1ffb184a,OIL & GAS
fef841fb4df5fd64183c59d9eda5b03b,UTILITIES
