id,entity_type,relationship_type,relationship_self
00oklbkFVL2cVY5IsS0R90,Person,NameVariant,"{'type': 'Mention', 'id': '62b2yM7NL4AetmFvi6S7Mk', 'meta': {'mentionSupport': 17}}"
04MTZQdN37Dd69hjIo8kej,Person,NameVariant,"{'type': 'Mention', 'id': '0orN5e5TGcPfruSxyxZiJY', 'meta': {'mentionSupport': 10}}"
04MTZQdN37Dd69hjIo8kej,Person,NameVariant,"{'type': 'Mention', 'id': '2Z5Wtj7SxWbbouDXs5tSz6', 'meta': {'mentionSupport': 5}}"
04MTZQdN37Dd69hjIo8kej,Person,NameVariant,"{'type': 'Mention', 'id': 'WRE5bac4BNQamikdkdTnfd', 'meta': {'mentionSupport': 3}}"
04z19DwGFvaecErH2FyCmj,Person,NameVariant,"{'type': 'Mention', 'id': '2Y37k29IBVce1oBqcUKsHv', 'meta': {'mentionSupport': 1}}"
04z19DwGFvaecErH2FyCmj,Person,NameVariant,"{'type': 'Mention', 'id': '34wgH5JhKtqeGcsw4pblaN', 'meta': {'mentionSupport': 78}}"
04z19DwGFvaecErH2FyCmj,Person,NameVariant,"{'type': 'Mention', 'id': '3fSIXRD7VvZbykqKGARY5N', 'meta': {'mentionSupport': 1}}"
04z19DwGFvaecErH2FyCmj,Person,NameVariant,"{'type': 'Mention', 'id': '4hBdnoicKdqd4EovRlj3j5', 'meta': {'mentionSupport': 1}}"
07ca0vZjtXlbKZlAUn7f61,Person,NameVariant,"{'type': 'TwitterHandle', 'id': '4rNXrX3opLcco7PTchUzNc', 'meta': {}}"
07ca0vZjtXlbKZlAUn7f61,Person,NameVariant,"{'type': 'Mention', 'id': '6X0oCChtPuSfNRPKtxZttY', 'meta': {'mentionSupport': 2}}"
07ca0vZjtXlbKZlAUn7f61,Person,NameVariant,"{'type': 'Mention', 'id': 'AsoqfRwaBCIayjQ6Od53tZ', 'meta': {'mentionSupport': 1}}"
090G45rizzedjCmkaxLfKJ,Person,NameVariant,"{'type': 'Mention', 'id': 'eFrIbrehy70bnUMmtcYJR4', 'meta': {'mentionSupport': 1}}"
090G45rizzedjCmkaxLfKJ,Person,NameVariant,"{'type': 'Mention', 'id': 'fNx87JSjMCLavS8rFyVIUk', 'meta': {'mentionSupport': 42}}"
0BLcL0tl3cyddWhITHXy6Y,Person,NameVariant,"{'type': 'Mention', 'id': 'AjGMKZg8DORdqELazuXen1', 'meta': {'mentionSupport': 3}}"
0BLcL0tl3cyddWhITHXy6Y,Person,NameVariant,"{'type': 'Mention', 'id': 'WP6NT1SnzBBbz2Bdj52OA3', 'meta': {'mentionSupport': 1}}"
0BLcL0tl3cyddWhITHXy6Y,Person,NameVariant,"{'type': 'Mention', 'id': 'dl2R6z3JMgEafMtzhtMsHk', 'meta': {'mentionSupport': 32}}"
0C33meXw85iduaRfDhwFLt,Person,NameVariant,"{'type': 'Mention', 'id': '98BTSVrJ6pdedaLkzYNg9N', 'meta': {'mentionSupport': 12}}"
0C33meXw85iduaRfDhwFLt,Person,NameVariant,"{'type': 'TwitterHandle', 'id': 'eoBhDbNXOlrbKsgOmxXmlk', 'meta': {}}"
0DCw34enIzWbu28dhqmczQ,Person,NameVariant,"{'type': 'Mention', 'id': 'eiMRnP0voSCev2IsAd9AlF', 'meta': {'mentionSupport': 19}}"
0HBYjtui2NdbIjFMOmmArf,Person,NameVariant,"{'type': 'Mention', 'id': '77TenZ4D3Sjd2WFN1Lo9qy', 'meta': {'mentionSupport': 1}}"
0HBYjtui2NdbIjFMOmmArf,Person,NameVariant,"{'type': 'Mention', 'id': 'Ya7fD2Z8lltfHYSL8p0Z37', 'meta': {'mentionSupport': 4}}"
0ODhQMg5FtOdUjI4g0ps0R,Person,NameVariant,"{'type': 'Mention', 'id': 'bm6qUntTEcebfu5neVX2kS', 'meta': {'mentionSupport': 8}}"
0ODhQMg5FtOdUjI4g0ps0R,Person,NameVariant,"{'type': 'Mention', 'id': 'emBe7jbDBE2chwyeZ4pH8Q', 'meta': {'mentionSupport': 14}}"
0PN4jf4kfeyc2f9BkHWeFK,Person,NameVariant,"{'type': 'Mention', 'id': '1rqCGXoARKxbOhNdyX4FVJ', 'meta': {'mentionSupport': 9}}"
0PN4jf4kfeyc2f9BkHWeFK,Person,NameVariant,"{'type': 'TwitterHandle', 'id': '3QehMVBi9zPatlAYvqDDUP', 'meta': {}}"
0QGfO7VO3bdfKqL59XTqAp,Person,NameVariant,"{'type': 'Mention', 'id': 'Aay7Z4fC8UDaj4hOlb3ktu', 'meta': {'mentionSupport': 5}}"
0R866KYBTgdfM0rGw2Mwjf,Person,NameVariant,"{'type': 'Mention', 'id': '0bk876eFsajb9lAAUF3tOU', 'meta': {'mentionSupport': 3}}"
0R866KYBTgdfM0rGw2Mwjf,Person,NameVariant,"{'type': 'Mention', 'id': '2SXgTy0F3vlbMHAOcnMkAj', 'meta': {'mentionSupport': 1}}"
0R866KYBTgdfM0rGw2Mwjf,Person,NameVariant,"{'type': 'Mention', 'id': '3zxNsi9YowPf7T9Omt0OhT', 'meta': {'mentionSupport': 60}}"
0R866KYBTgdfM0rGw2Mwjf,Person,NameVariant,"{'type': 'Mention', 'id': '5mDi5ByXMJffUPwY1leSbZ', 'meta': {'mentionSupport': 1}}"
0R866KYBTgdfM0rGw2Mwjf,Person,NameVariant,"{'type': 'TwitterHandle', 'id': 'aLaVcgB9EUbaV9XuLj8rwh', 'meta': {}}"
0RcKCH1rzYFaW2Kxt4iLHA,Person,NameVariant,"{'type': 'Mention', 'id': '1M08rJ7s3IgcLLVwUXTmqS', 'meta': {'mentionSupport': 3}}"
0RcKCH1rzYFaW2Kxt4iLHA,Person,NameVariant,"{'type': 'Mention', 'id': '24YScODGF7ib7PcA5wGNjy', 'meta': {'mentionSupport': 1}}"
0RcKCH1rzYFaW2Kxt4iLHA,Person,NameVariant,"{'type': 'Mention', 'id': '5QkfnEu5gBpddZyI9nqJed', 'meta': {'mentionSupport': 158}}"
