source_global_identifier,destination_global_identifier,rel_type,rel_properties
"mapping__https://en.wikipedia.org/wiki/1-800-Flowers.com,_Inc.",KP__894fb3718aef4fac966643eb37b49dea,SAMEAS,"{""from"":""shodan_keyword_to_guid""}"
"mapping__https://en.wikipedia.org/wiki/1-800-Flowers.com,_Inc.",mapping__fd1d771d1c1f5242c804f0879e9276e6,NAMEVARIANT,"{""from"":""shodan_keyword_to_guid""}"
"mapping__https://en.wikipedia.org/wiki/1-800-Flowers.com,_Inc.",mapping__e6f222eff930d132799c9c10746ed4e0,NAMEVARIANT,"{""from"":""shodan_keyword_to_guid""}"
"mapping__https://en.wikipedia.org/wiki/1-800-Flowers.com,_Inc.",mapping__1ce7ace4d46d97d72cbf0d2b60d33259,NAMEVARIANT,"{""from"":""shodan_keyword_to_guid""}"
"mapping__https://en.wikipedia.org/wiki/1-800-Flowers.com,_Inc.",mapping__980b4617f498df98f228e46ef788bd6d,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/3M,KP__48562aee0bffd911051ef423793942e0,SAMEAS,"{""from"":""shodan_keyword_to_guid""}"
mapping__https://en.wikipedia.org/wiki/3M,mapping__892b6dbdf8027ffb38bd9fd751bc6f68,NAMEVARIANT,"{""from"":""shodan_keyword_to_guid""}"
mapping__https://en.wikipedia.org/wiki/3M,mapping__a6ea9dd3129fdd8524b9149a510a65bd,NAMEVARIANT,"{""from"":""shodan_keyword_to_guid""}"
mapping__https://en.wikipedia.org/wiki/3M,mapping__de312cedea18616809f6ef06147990e4,NAMEVARIANT,"{""from"":""shodan_keyword_to_guid""}"
mapping__https://en.wikipedia.org/wiki/3M,mapping__0a3799ef4806ad0d475df680b239f2a9,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/3M,mapping__9d0bde60b8ab8fdfa0333c11828d06b2,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/3M,mapping__73f176adc1edd84954506c651a0239e7,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/S&P_Global,KP__dfebd27ad984ba163dc65df523e8abf0,SAMEAS,"{""from"":""shodan_keyword_to_guid""}"
mapping__https://en.wikipedia.org/wiki/S&P_Global,mapping__e26113996d4cb0d7fccb682ce4a4e36d,NAMEVARIANT,"{""from"":""shodan_keyword_to_guid""}"
mapping__https://en.wikipedia.org/wiki/S&P_Global,mapping__ea7d3c873797529a5f413ad923eb806d,NAMEVARIANT,"{""from"":""shodan_keyword_to_guid""}"
mapping__https://en.wikipedia.org/wiki/S&P_Global,mapping__2c8df7f4f14d7e7d2574b75efcfad139,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/S&P_Global,mapping__64d15111edaa8af505aca8371aa9c039,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/S&P_Global,mapping__bb4a2e68fab19b81416106d4d865e982,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/S&P_Global,mapping__5f490c543ac26005dcbe66ed71415da0,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/99_Cents_Only_Stores,KP__54d2775a1c0ab095f9610aece04e858c,SAMEAS,"{""from"":""shodan_keyword_to_guid""}"
mapping__https://en.wikipedia.org/wiki/99_Cents_Only_Stores,mapping__bac704916fa4dd58f1949b498f9fd43f,NAMEVARIANT,"{""from"":""shodan_keyword_to_guid""}"
mapping__https://en.wikipedia.org/wiki/99_Cents_Only_Stores,mapping__9b82d116011bed3533cee8602b0adb70,NAMEVARIANT,"{""from"":""shodan_keyword_to_guid""}"
mapping__https://en.wikipedia.org/wiki/99_Cents_Only_Stores,mapping__0575dfcec65410c0f5aa361aa4b91bd8,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/AARP,KP__2f7155bb7a483ecb151b2c6ef70bc228,RELATED,"{""from"":""shodan_keyword_to_guid""}"
mapping__https://en.wikipedia.org/wiki/AARP,mapping__842d53d750fbc918deac444441600a3f,NAMEVARIANT,"{""from"":""shodan_keyword_to_guid""}"
