source_global_identifier,destination_global_identifier,rel_type,rel_properties
logo_classes__https://en.wikipedia.org/wiki/3M,KP__48562aee0bffd911051ef423793942e0,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/3M,logo_classes__2cbfd721bc172f74461bb9b0ef20d17a,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/3M,logo_classes__344119d2ed2cb4143ae670d7a86ec79d,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/3M,logo_classes__7f662cb57e8ca8dabd162b24dc69e86b,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/3M,logo_classes__9c273488b07d5da30380030dbf57f060,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/7-Eleven,KP__245b0259ae4cedd5cd8c07e8f06e24fc,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/7-Eleven,logo_classes__b0250d52de04ada103ca2dc85455c955,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/7-Eleven,logo_classes__acffff4a81d5d4a3fd04f11274317bd4,NAMEVARIANT,"{""from"":""external""}"
logo_classes__abbvie,KP__7f7f1f259450586c8366da36a1489ff8,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__abbvie,logo_classes__811d82f114c10225fee8cc78fc837aaa,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__abbvie,logo_classes__ed4a3d62d79717d4901d8f4768e4e319,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Arbutus_Biopharma,KP__e3ab0c8cd9af08bc75a37f8cb179a385,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Arbutus_Biopharma,logo_classes__f3019e87351ea51afc4b0f6673f5dba3,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Arbutus_Biopharma,logo_classes__e119030688a33ec1ca7d8ffcf2863bea,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Arbutus_Biopharma,logo_classes__f6ff4fd47329101ec20fc48b1000b92d,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Accenture,KP__23f2482029477cdcc861ccbbf55de206,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Accenture,logo_classes__328fa8a8bcaeda3ebd1e0ee89d274b2d,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Adidas,KP__439c65e8f6b37a38f36d70c5150004f4,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Adidas,logo_classes__983c7915a871ab393ea4a75ca4f35727,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Adidas,logo_classes__19cc13b52cc63efc7167190972d401b4,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Aflac,KP__5367c43b852ae374e6076d251c5d52d5,SAMEAS,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Aflac,logo_classes__0d4c1703895a9d88477f99496be549df,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Aflac,logo_classes__e478b3dce4b4d58ca01907f6fc357d11,NAMEVARIANT,"{""from"":""external""}"
logo_classes__https://en.wikipedia.org/wiki/Airhawk,logo_classes__6b2489e097beee6f861c5ca74f9823b5,NAMEVARIANT,"{""from"":""logo_classes""}"
logo_classes__https://en.wikipedia.org/wiki/Airness,logo_classes__23c19de44b85c9a839119ad3aac06b50,NAMEVARIANT,"{""from"":""logo_classes""}"
