source_global_identifier,destination_global_identifier,rel_type,rel_properties$
mapping__Robert E. Birkenholz,mapping__d2ad9a53ef9ffd30c2228f83ed9bada7,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert E. Sadler Jr.,mapping__https://en.wikipedia.org/wiki/M&T_Bank,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert E. Sadler Jr.,mapping__688ed1814d6ba2306862bb7206497c2b,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert E. Sadler Jr.,mapping__6f0833d43e6ab51df7ad8113822ebdd2,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert E. Switz,KP__bgRdPtRMZnhcu4QJwKNdIp,SAMEAS,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert E. Switz,mapping__https://en.wikipedia.org/wiki/Micron_Technology,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert E. Switz,mapping__8e648959f3e37b0d9bbb5dfaffb2c75d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert E. Switz,mapping__74a2a8a0dd314b40a8ae6150fd5da573,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Eck,mapping__https://en.wikipedia.org/wiki/Ryder,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Eck,mapping__b49870f8a28f6bf09848c46a9f816fcb,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Eck,mapping__2f45871d85cc491addaf8d038e1145e3,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Eskridge,mapping__https://en.wikipedia.org/wiki/Intercontinental_Exchange,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Eskridge,mapping__526bf8b08145ba374e6c77ae5a4819bd,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Eskridge,mapping__69239b7c8d5c09db1ef044aed65ed60d,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Fatovic,mapping__https://en.wikipedia.org/wiki/Ryder,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Fatovic,mapping__3ac445d5692b242c8b8d25cc78c71006,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Fatovic,mapping__5af2572a2ebc7e757379b1d3ac1754f0,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Flanagan,mapping__The Clarks Enterprise,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""CEO""}"
mapping__Robert Flanagan,mapping__7bb4cacfc599b6d05309a1baf60c78ef,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Flanagan,mapping__f0e7b7826e816651ec5b8420b7a07a61,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Flexon,KP__ZbZTvvN53EMbPwWa13fKu7,SAMEAS,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Flexon,mapping__e64fe6f7ab96b8bdb40230617833a9ef,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Flexon,mapping__f7c412a2556c9e4ba981930d29267dd3,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert France,KP__28ff220341de5b3a7a2547c9b40f3365,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert France,mapping__967fc28ba01a409ddb160fdff2fe2387,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert France,mapping__f231d6145f579585a9090d48b4963c2a,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Fretel,mapping__https://en.wikipedia.org/wiki/Capgemini,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Fretel,mapping__2dad45f89f193100110b66f3cf09123e,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Fretel,mapping__5a02c7f61d4c977e7762c3e496484318,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Friess,mapping__https://en.wikipedia.org/wiki/Applied_Materials,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Friess,mapping__042047ecb53c78c1055e73e842a68433,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Friess,mapping__ddd1d76f1a34fb32b3df3cb23fa5ce43,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert G. Anderson,mapping__https://en.wikipedia.org/wiki/International_Flavors_&_Fragrances,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert G. Anderson,mapping__1009ec94cca6ed54766223e7ef536eb7,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert G. Anderson,mapping__789c9919710847b2f9f6ad57774ff430,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert G. Breighner Jr.,mapping__https://en.wikipedia.org/wiki/Select_Medical,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert G. Breighner Jr.,mapping__9a8fbf5cefb3b7ce91729eefad57b5f1,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert G. Breighner Jr.,mapping__416382f6e07b061900f84d0614051dad,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Gama,mapping__https://en.wikipedia.org/wiki/Advanced_Micro_Devices,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Gama,mapping__d8ced3fc50030edcb7f48e7a3d8b34da,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Gama,mapping__ecc171f9f59a5796facd8dedde6b4cbb,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Genter,mapping__https://en.wikipedia.org/wiki/Science_Applications_International_Corporation,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Genter,mapping__8d5b15c4110a2cde5968a3bdca0eb7c7,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Genter,mapping__076826b48a3d189daa1580d3858e0aa5,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Gentz,mapping__https://en.wikipedia.org/wiki/Zalando,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Gentz,mapping__48f15abb2eec68eeed312136d88c566a,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Gentz,mapping__e4a5c465555dd9cac82e19e735c5ba52,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Grand Philipson,KP__950c98859eeb54b637a1d157af87cf39,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Grand Philipson,mapping__4dc232c201e759c7cf297dfcdad67809,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Grand Philipson,mapping__a946e5e41bb832db14206ad399f47dc2,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Grote,mapping__https://en.wikipedia.org/wiki/Post_Holdings,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Grote,mapping__0c23e78beee56c2bc1945f010672e819,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Grote,mapping__b844b79a949c26f85dcedd8d946504f3,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Voya,KP__ad8b4b85151acf677495bc7344574bcb,SAMEAS,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Grubka,mapping__Voya,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Grubka,mapping__1032de7afefadee11e21e01247c419c9,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Grubka,mapping__46c1696ba7c3b8adb500da7cda214104,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert H. Kurnick Jr.,mapping__https://en.wikipedia.org/wiki/Penske_Automotive_Group,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert H. Kurnick Jr.,mapping__5f0e726696550aa191074660a421b064,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert H. Kurnick Jr.,mapping__b054e712768bb32ecd03ce8b4e66018c,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Hagemann,mapping__https://en.wikipedia.org/wiki/Zimmer_Biomet,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Hagemann,mapping__68a7fbc54b773d7c417dc4e54ad50caa,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Hagemann,mapping__253a2f3111f000a12abaf01ffc6e70aa,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Halliday,mapping__https://en.wikipedia.org/wiki/Applied_Materials,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Halliday,mapping__1a012dd0bb2a3474573fc0c006d3a84a,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Halliday,mapping__809675b55694de3b35ecdd967fe40df8,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Harding,mapping__https://en.wikipedia.org/wiki/First_Quantum_Minerals,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Harding,mapping__e949abb711203b8a644e85e2a1c50ef5,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Harding,mapping__4fc9920e7d32d8293dd6f598ae9d9117,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Hau,mapping__https://en.wikipedia.org/wiki/Fiserv,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Hau,mapping__cc2475e828d6b8024ed954b2c43ca71a,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Hau,mapping__fd3489db3f3b05bc4be109a93560742b,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Heidorn,mapping__https://en.wikipedia.org/wiki/CenterPoint_Energy,ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
mapping__Robert Heidorn,mapping__d6235183433d4360c21b2b3de07d270b,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Heidorn,mapping__ed75873ac8524426ec3d07b3aab90fc0,NAMEVARIANT,"{""from"":""crisk_keyword_to_guid_caption_name""}"
mapping__Robert Hendrickson,mapping__https://en.wikipedia.org/wiki/RNDC_(Republic_National_Distributing_Company),ROLE,"{""from"":""crisk_keyword_to_guid_caption_name"",""role"":""executive""}"
