source_global_identifier,destination_global_identifier,rel_type,rel_properties
https://en.wikipedia.org/wiki/Air_Zonk__P0 - Military Aircrafts,super__P0 - Military Aircrafts,ROLE,"{""role"":""king""}"
https://en.wikipedia.org/wiki/Canadair_CT-114_Tutor__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Canadair_CT-114_Tutor__P0 - Military Aircrafts,ROLE,"{""role"":""tutor""}"
air 350__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Beechcraft_Super_King_Air__P0 - Military Aircrafts,ROLE,"{""role"":""king""}"
Dassault Falcon 200 Guardian__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Dassault_Falcon_20__P0 - Military Aircrafts,ROLE,"{""role"":""guardian""}"
mk.41__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Westland_Sea_King__P0 - Military Aircrafts,ROLE,"{""role"":""king""}"
DJI Mavic Pro__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Mavic_(UAV)__P0 - Military Aircrafts,ROLE,"{""role"":""PRO""}"
t1__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Konrad_Grob__P0 - Military Aircrafts,ROLE,"{""role"":""tutor""}"
Boeing AH-64E Guardian__P0 - Military Aircrafts,boeing ah-64e__P0 - Military Aircrafts,ROLE,"{""role"":""guardian""}"
https://en.wikipedia.org/wiki/Westland_Sea_King__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Westland_Sea_King__P0 - Military Aircrafts,ROLE,"{""role"":""king""}"
ii__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Lockheed_HC-130__P0 - Military Aircrafts,ROLE,"{""role"":""king""}"
TU-2S Dragon Lady__P0 - Military Aircrafts,tu-2s dragon__P0 - Military Aircrafts,ROLE,"{""role"":""lady""}"
U-2S Dragon Lady__P0 - Military Aircrafts,u-2s dragon__P0 - Military Aircrafts,ROLE,"{""role"":""lady""}"
"AH-64 Apache Longbow, Guardian__P0 - Military Aircrafts","ah-64 apache longbow,__P0 - Military Aircrafts",ROLE,"{""role"":""guardian""}"
VH-3D Sea King__P0 - Military Aircrafts,vh-3d sea__P0 - Military Aircrafts,ROLE,"{""role"":""king""}"
MQ-8B Fire Scout__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Northrop_Grumman_MQ-8_Fire_Scout__P0 - Military Aircrafts,ROLE,"{""role"":""scout""}"
https://en.wikipedia.org/wiki/McDonnell_Douglas_F/A-18_Hornet__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Boeing_F/A-18E/F_Super_Hornet__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Lockheed_Martin_F-35_Lightning_II__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Boeing_737__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Boeing_EA-18G_Growler__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Gulfstream_G550__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Boeing_P-8_Poseidon__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Boeing_P-8_Poseidon__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_New_Zealand_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Lockheed_AP-3C_Orion__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Airbus_A330_MRTT__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Airbus_A330_MRTT__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Boeing_C-17_Globemaster_III__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Alenia_C-27J_Spartan__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Alenia_C-27J_Spartan__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/United_States_Army__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Air_Zonk__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Air_Zonk__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_New_Zealand_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Bombardier_Challenger_600_series__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Lockheed_Martin_C-130J_Super_Hercules__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Lockheed_Martin_C-130J_Super_Hercules__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/German_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Lockheed_Martin_C-130J_Super_Hercules__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_New_Zealand_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Lockheed_Martin_C-130J_Super_Hercules__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/United_States_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/BAE_Systems_Hawk__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Pilatus_PC-21__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Pilatus_PC-21__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/French_Air_and_Space_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Northrop_Grumman_MQ-4C_Triton__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Northrop_Grumman_MQ-4C_Triton__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/United_States_Navy__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/General_Atomics_MQ-9_Reaper__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/General_Atomics_MQ-9_Reaper__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Boeing_Airpower_Teaming_System__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
Airbus Helicopters Tiger ARH__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Australian_Army__P0 - Military Aircrafts,OperatingOrganization,{}
NHIndustries MRH-90 Taipan__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Australian_Army__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Australian_Army__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Sikorsky_UH-60_Black_Hawk__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/United_States_Army__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Boeing_CH-47_Chinook__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Australian_Army__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Eurocopter_EC135__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Australian_Army__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Sikorsky_SH-60_Seahawk__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Navy__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Sikorsky_SH-60_Seahawk__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/United_States_Navy__P0 - Military Aircrafts,OperatingOrganization,{}
NHI MRH 90__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Navy__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Bell_429_GlobalRanger__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Navy__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/Eurocopter_EC135__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Navy__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/De_Havilland_Canada_Dash_8__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Australian_Navy__P0 - Military Aircrafts,OperatingOrganization,{}
https://en.wikipedia.org/wiki/AgustaWestland_CH-149_Cormorant__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Canadian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
Airbus CC-150 & CC-150T Polaris__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Canadian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
Airbus CC-295 Kingfisher__P0 - Military Aircrafts,https://en.wikipedia.org/wiki/Royal_Canadian_Air_Force__P0 - Military Aircrafts,OperatingOrganization,{}
