source_global_identifier,destination_global_identifier,rel_type,rel_properties
"mapping__""Beazer East""",mapping__d9ae6635577ef0a51cbec22c73dcfbe9,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
"mapping__""Beazer East""",mapping__63124066d8e907c5032b5ae1fd58b8ce,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Ashland_Global,mapping__37879d56fccc8f12cb4fc25d974436f1,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Ashland_Global,mapping__d44109f28022b4226273d8448ecdf74f,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Ashland_Global,mapping__e8c5036d4ddd7c5dd9df88557c950f61,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Ashland_Global,mapping__eda62efee822ab9ef8f4a3bec2f5d7a5,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Ashland_Global,mapping__2c1b990cc447fab322125cf47a1d018d,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Hexion,mapping__0a950a6b5816d3fa39f1059cd1d252d3,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Hexion,mapping__459efbd43b528953299386945805b38a,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Hexion,mapping__524f7305e22d1e623d033f89f1a7dc93,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Honeywell,KP__7395326a8ed236e596b882d5e0ea7828,SAMEAS,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Honeywell,mapping__36b90d8036390f66db3a2fdc1ddcce8f,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Honeywell,mapping__cef5801864dc5343cd0ebc40f35a6568,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Honeywell,mapping__2e69d61cfad4728ab2f0f5560077f7eb,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Honeywell,mapping__c32a32a24844ab6ac35ebafafb8d539d,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Honeywell,mapping__542fee624a2fd3875fb4b8f75764815a,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Honeywell,mapping__b8fe9fc5b337089cef8ed5868572894a,NAMEVARIANT,"{""from"":""external""}"
mapping__https://en.wikipedia.org/wiki/Hosokawa_Micron_Powder_Systems,mapping__f919cd692edb0dff1ac55e53212f8428,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Hosokawa_Micron_Powder_Systems,mapping__2163b2e2c2d344f71c485374b5ff5bb7,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
mapping__https://en.wikipedia.org/wiki/Houston_Refining,mapping__3cce471eae791b8c60459783e30d5543,NAMEVARIANT,"{""from"":""EntityCollectionTask_Cognizant""}"
